,variable,value,status
0,0hr,1.1102230246251565e-16,bad
1,0hr,-2.7755575615628914e-17,bad
2,0hr,0.0,bad
3,0hr,0.0,bad
4,0hr,-2.42861286636753e-17,bad
5,0hr,5.551115123125783e-17,bad
6,0hr,1.3877787807814457e-17,bad
7,0hr,2.7755575615628914e-17,bad
8,0hr,-1.1102230246251565e-16,bad
9,0hr,-2.7755575615628914e-17,bad
10,12hr,-2.098041607565145,bad
11,12hr,0.17743674403309043,bad
12,12hr,-1.1190182756473845,bad
13,12hr,-0.9725159078839863,bad
14,12hr,-0.7372055741126182,bad
15,12hr,-2.090960830511738,bad
16,12hr,-1.0572705707528172,bad
17,12hr,-2.005769718184518,bad
18,12hr,-2.074952120538491,bad
19,12hr,-1.1994403961521984,bad
20,24hr,-1.1820335812845117,bad
21,24hr,0.462664188440301,bad
22,24hr,-1.1134281665135808,bad
23,24hr,-0.546231426009435,bad
24,24hr,-0.32861914489938415,bad
25,24hr,-1.2853072134324963,bad
26,24hr,-0.18200503595786713,bad
27,24hr,-0.9818083257657447,bad
28,24hr,-1.322820622133921,bad
29,24hr,-0.5864618974312165,bad
30,36hr,-1.023529064513808,bad
31,36hr,0.09661445449616213,bad
32,36hr,-0.7739293157082612,bad
33,36hr,-0.9522495745927766,bad
34,36hr,-0.8018071668836027,bad
35,36hr,-1.7105286615648163,bad
36,36hr,-0.5103448001976802,bad
37,36hr,-0.9619322194618675,bad
38,36hr,-1.1880870953692741,bad
39,36hr,-0.7928723415203278,bad
40,48hr,-1.3600270687723213,bad
41,48hr,1.9719857948925041,bad
42,48hr,-0.39780947086202323,bad
43,48hr,0.006742201153323732,bad
44,48hr,0.3937458033413247,bad
45,48hr,-1.6639599771323104,bad
46,48hr,0.24357772006727638,bad
47,48hr,-0.4939977191023631,bad
48,48hr,-0.3469555987184909,bad
49,48hr,0.3560922134491614,bad
50,72hr,-1.2894037112048875,bad
51,72hr,0.7697354853785524,bad
52,72hr,-0.2712706523420234,bad
53,72hr,0.4320048670363248,bad
54,72hr,0.7367320917941851,bad
55,72hr,-1.4765655915417881,bad
56,72hr,1.233955114672573,bad
57,72hr,-0.40245625777426874,bad
58,72hr,0.1456811238783714,bad
59,72hr,-0.2199074572084368,bad
