,variable,value,status
0,0hr,5.551115123125783e-17,good
1,0hr,-5.551115123125783e-17,good
2,0hr,1.6653345369377348e-16,good
3,0hr,0.0,good
4,0hr,-1.1102230246251565e-16,good
5,0hr,-2.7755575615628914e-17,good
6,0hr,0.0,good
7,0hr,-1.1102230246251565e-16,good
8,0hr,2.220446049250313e-16,good
9,0hr,-1.3877787807814457e-16,good
10,12hr,1.9300125018754808,good
11,12hr,1.3207706136795072,good
12,12hr,1.5656524489181858,good
13,12hr,1.8997924196383387,good
14,12hr,1.5123086119430162,good
15,12hr,1.396621544183564,good
16,12hr,2.1435876495161517,good
17,12hr,1.400056144536416,good
18,12hr,1.8716975956804804,good
19,12hr,1.300653370079994,good
20,24hr,1.577167436529536,good
21,24hr,1.5940156261520857,good
22,24hr,1.8156649967998406,good
23,24hr,1.3138039993952575,good
24,24hr,1.680750897792918,good
25,24hr,1.9091429802124804,good
26,24hr,2.0810326740575436,good
27,24hr,1.8942606893276097,good
28,24hr,1.7532836676405834,good
29,24hr,1.4569643992395027,good
30,36hr,0.8790072432172297,good
31,36hr,1.1574846587380545,good
32,36hr,1.1681457392508479,good
33,36hr,0.9950561279388712,good
34,36hr,1.1497410105219366,good
35,36hr,1.360893290460736,good
36,36hr,1.5156942987568573,good
37,36hr,1.5479801534984594,good
38,36hr,1.3631089070087565,good
39,36hr,1.5027513587015058,good
40,48hr,2.6498666142693157,good
41,48hr,2.88680997472294,good
42,48hr,2.7464810601490117,good
43,48hr,2.646187367470396,good
44,48hr,2.7335721694206434,good
45,48hr,2.8427529655186934,good
46,48hr,2.8698967757098264,good
47,48hr,2.819842082275867,good
48,48hr,2.8800546514789644,good
49,48hr,2.8833114774914534,good
50,72hr,0.822102642090051,good
51,72hr,0.7497600828864273,good
52,72hr,0.6817302049414667,good
53,72hr,0.8668751646847407,good
54,72hr,0.7284626929608629,good
55,72hr,0.5700727466334052,good
56,72hr,1.2003864869440208,good
57,72hr,0.8340850687246042,good
58,72hr,1.0444948467888826,good
59,72hr,0.740112749307412,good
