,variable,value,status
0,0hr,1.3877787807814457e-17,total
1,12hr,-0.11732196852929284,total
2,24hr,-0.019771046679831844,total
3,36hr,-0.8154241368939243,total
4,48hr,-0.2695852982499096,total
5,72hr,-0.4866548922667475,total
