,variable,value,status
0,0hr,1.1102230246251565e-16,good
1,0hr,5.551115123125783e-17,good
2,0hr,8.326672684688674e-17,good
3,0hr,-5.551115123125783e-17,good
4,0hr,0.0,good
5,0hr,5.551115123125783e-17,good
6,0hr,-1.6653345369377348e-16,good
7,0hr,-8.326672684688674e-17,good
8,0hr,2.7755575615628914e-17,good
9,0hr,-5.551115123125783e-17,good
10,12hr,-2.098041607565145,good
11,12hr,-1.9713339809380057,good
12,12hr,-1.8921919118338788,good
13,12hr,-2.381337325065242,good
14,12hr,-1.7464694280037363,good
15,12hr,-2.4264821274386703,good
16,12hr,-2.4349928586760368,good
17,12hr,-2.5925163425128446,good
18,12hr,-2.722661939154832,good
19,12hr,-2.0688686114510353,good
20,24hr,-1.1820335812845117,good
21,24hr,-1.1011551162264568,good
22,24hr,-1.3208408083566725,good
23,24hr,-0.677867134572264,good
24,24hr,-1.1529269931497719,good
25,24hr,-0.5693076041616295,good
26,24hr,-1.2887982324803233,good
27,24hr,-1.518160405976365,good
28,24hr,-1.0304754240695813,good
29,24hr,-1.4232370697595695,good
30,36hr,-1.023529064513808,good
31,36hr,-0.3517288579926156,good
32,36hr,-2.1991309018943697,good
33,36hr,-0.3149623330723534,good
34,36hr,-1.7860456099357218,good
35,36hr,-0.08869366753864383,good
36,36hr,-1.1559469239234506,good
37,36hr,-0.7948952335589918,good
38,36hr,-0.7293160120249098,good
39,36hr,-0.8650951121875695,good
40,48hr,-1.3600270687723213,good
41,48hr,-0.7037188577470661,good
42,48hr,-2.310472334082613,good
43,48hr,-0.5263722321033507,good
44,48hr,-2.1400268509849827,good
45,48hr,-1.2425771616895056,good
46,48hr,-1.7611918186941546,good
47,48hr,-1.9915384544183676,good
48,48hr,-1.1248617097129818,good
49,48hr,-0.7736211995438993,good
50,72hr,-1.2894037112048875,good
51,72hr,-0.5607303849430195,good
52,72hr,-1.7099405226589712,good
53,72hr,-0.3426466542741706,good
54,72hr,-1.9216108972555703,good
55,72hr,-0.46148036086492866,good
56,72hr,-1.3143234958025989,good
57,72hr,-1.4624289682666807,good
58,72hr,-1.1741884523525785,good
59,72hr,-0.8036917659683932,good
