,variable,value,status
0,0hr,1.1102230246251565e-16,total
1,12hr,-2.191586524220187,total
2,24hr,-1.527779216265125,total
3,36hr,-1.8459038536628374,total
4,48hr,-1.3570119637011708,total
5,72hr,-1.1017815789561207,total
