,variable,value,status
0,0hr,5.551115123125783e-17,bad
1,0hr,1.6653345369377348e-16,bad
2,0hr,-2.7755575615628914e-17,bad
3,0hr,1.1102230246251565e-16,bad
4,0hr,-2.7755575615628914e-17,bad
5,0hr,-8.326672684688674e-17,bad
6,0hr,4.163336342344337e-17,bad
7,0hr,8.326672684688674e-17,bad
8,0hr,-5.551115123125783e-17,bad
9,0hr,5.551115123125783e-17,bad
10,12hr,1.9300125018754808,bad
11,12hr,0.7772678268650159,bad
12,12hr,1.4461312223027503,bad
13,12hr,-0.1583003658690469,bad
14,12hr,-0.020443569940615497,bad
15,12hr,0.91023867946532,bad
16,12hr,0.5135010329452591,bad
17,12hr,1.5244062229398434,bad
18,12hr,0.5622729969992133,bad
19,12hr,0.9022886859640041,bad
20,24hr,1.577167436529536,bad
21,24hr,0.7624320135683883,bad
22,24hr,2.148821517660611,bad
23,24hr,0.16466675021183325,bad
24,24hr,0.2932730608113054,bad
25,24hr,1.4273706941282058,bad
26,24hr,1.014979603952081,bad
27,24hr,1.6896268478832215,bad
28,24hr,1.1710230107501995,bad
29,24hr,0.9235614119588402,bad
30,36hr,0.8790072432172297,bad
31,36hr,1.6453271612613212,bad
32,36hr,1.3950246721845267,bad
33,36hr,1.1797672466754512,bad
34,36hr,1.344199179901982,bad
35,36hr,0.7749736469895316,bad
36,36hr,1.0128715321310493,bad
37,36hr,1.7040415489233927,bad
38,36hr,0.5425994857869921,bad
39,36hr,0.9063307582225901,bad
40,48hr,2.6498666142693157,bad
41,48hr,2.602781236067681,bad
42,48hr,1.5251070872323576,bad
43,48hr,2.2785405812920447,bad
44,48hr,2.4220800385570573,bad
45,48hr,1.630986004842362,bad
46,48hr,2.221096017825091,bad
47,48hr,2.611820394507484,bad
48,48hr,1.7270789414597023,bad
49,48hr,2.1527214676687225,bad
50,72hr,0.822102642090051,bad
51,72hr,1.007010841403146,bad
52,72hr,-0.16226265779600244,bad
53,72hr,0.5915282770844184,bad
54,72hr,0.7556882119534483,bad
55,72hr,-0.40152445068411413,bad
56,72hr,0.0664445393662902,bad
57,72hr,0.5918607263334608,bad
58,72hr,-0.5044664952729537,bad
59,72hr,-0.05902035956506092,bad
