,variable,value,status
0,0hr,-2.0816681711721685e-17,good
1,0hr,6.938893903907228e-17,good
2,0hr,2.7755575615628914e-17,good
3,0hr,2.7755575615628914e-17,good
4,0hr,1.3877787807814457e-17,good
5,0hr,-4.85722573273506e-17,good
6,0hr,0.0,good
7,0hr,6.938893903907228e-18,good
8,0hr,-1.3877787807814457e-17,good
9,0hr,-1.3877787807814457e-17,good
10,12hr,1.858766884590123,good
11,12hr,2.0999464417763036,good
12,12hr,1.932518290093018,good
13,12hr,1.529682059242022,good
14,12hr,2.2253077095304583,good
15,12hr,2.150388929540383,good
16,12hr,2.4102150701920535,good
17,12hr,1.697409748905518,good
18,12hr,1.835996478482468,good
19,12hr,2.3270000706952496,good
20,24hr,0.9775435298411889,good
21,24hr,1.8606666944729655,good
22,24hr,1.4749451739344555,good
23,24hr,0.632264299328189,good
24,24hr,1.7246854959761488,good
25,24hr,0.7694182656848432,good
26,24hr,1.8927542195435707,good
27,24hr,0.9366758757455045,good
28,24hr,1.1748797594588123,good
29,24hr,1.5787340302121133,good
30,36hr,-0.42621986784749755,good
31,36hr,0.6498970676770399,good
32,36hr,0.28842380636531206,good
33,36hr,-0.5514616606162951,good
34,36hr,0.6537371651549042,good
35,36hr,-0.15879503247072518,good
36,36hr,0.8038934427977336,good
37,36hr,-0.49236661684239713,good
38,36hr,-0.3454232447763558,good
39,36hr,0.2795719809226593,good
40,48hr,-0.7425105588568711,good
41,48hr,0.608230368758852,good
42,48hr,0.8631304808945641,good
43,48hr,-1.0874244237707629,good
44,48hr,1.0153349049929559,good
45,48hr,-0.4765221359240097,good
46,48hr,0.8722641491174576,good
47,48hr,-0.7594376900710436,good
48,48hr,-0.34648662430451993,good
49,48hr,0.3305292782134696,good
50,72hr,-0.4249551807483771,good
51,72hr,-0.322693838640787,good
52,72hr,-0.47110332671927735,good
53,72hr,-0.5053429638307924,good
54,72hr,-0.3858836289224243,good
55,72hr,-0.22676447207352668,good
56,72hr,0.07579378323032931,good
57,72hr,-0.7320451765314641,good
58,72hr,-0.6858120725965277,good
59,72hr,-0.29438580405454723,good
