Mixture,B,Basophil,CD4,CD8,Cholangiocyte,Eosinophil,Hepatocyte,Kupffer,LSEC,Monocyte,NK,Neutrophil,Stellate
CCl4_12,0,0.02281004,0,0.139808314,0.138514698,0,0.347450758,0.064942185,0.040930119,0.06005639,0,0.011329349,0.174158147
CCl4_5,0,0.043795995,0,0.207129991,0.16782391,0,0.288495369,0.047356681,0.028012841,0.032510556,0,0.016546959,0.168327698
CCl4_6,0,0.053880562,0,0.186445184,0.156716875,0.000199355,0.326585902,0.047079609,0.033797257,0.017163893,0,0,0.178131363
CCl4_8,0,0.060863299,0,0.152878125,0.16653273,0,0.354892508,0.011511511,0.008749869,0.026140804,0,0.019791771,0.198639382
Ctrl_7,0,0.024668174,0,0.167753622,0.151137585,0,0.415067144,0.059291829,0,0.018178473,0,0.017839833,0.14606334
Ctrl_8,0,0.007923502,0,0.149025769,0.128861599,0,0.438867695,0.075879234,0.023779822,0,0,0.005216223,0.170446156
Ctrl_9,0,0.044232626,0,0.180906566,0.115151004,0,0.401687844,0.065552513,0.007094273,0.012147504,0,0.015883736,0.157343934
ConA_11,0,0.016873275,0,0.295803899,0.165567231,0.029852384,0.323300726,0,0.023067205,0,0,0.019332268,0.126203012
ConA_12,0,0.013733687,0,0.281290084,0.163405384,0.035519786,0.317803707,0,0.061650977,0,0,0.01884476,0.107751615
ConA_2,0,0.003436141,0,0.219328258,0.163826327,0,0.306830358,0,0.056248709,0.012803787,0,0.072848557,0.164677863
ConA_3,0,0.007896669,0,0.292311031,0.162882607,0,0.333509893,0,0.028326827,0,0,0.044339223,0.13073375
ConA_4,0,0.001507536,0,0.256760395,0.174540778,0,0.305353393,0,0.025545104,0.001907431,0,0.082862572,0.151522791
ConA_5,0,0,0,0.248481977,0.145993083,0,0.321377389,0,0.056337558,0.032571639,0,0.05911496,0.136123394
ConA_8,0,0.020754243,0,0.262869827,0.152855157,0.026510363,0.365028255,0,0,0,0,0.02952457,0.142457585
CIP_7,0,0.011526365,0,0.096011825,0.131736655,0,0.432540069,0.096061833,0.036188762,0.021458269,0,0.025747991,0.148728231
CIP_8,0,0.023320551,0,0.180744807,0.114179382,0,0.395932367,0.089169098,0.003546372,0,0,0.007905509,0.185201914
CIV_7,0,0.008281776,0,0.145897982,0.105455324,0,0.472180209,0.054996678,0.016951265,0.036420295,0,0,0.159816471
CIV_8,0,0.010896641,0,0,0.131458113,0,0.540864619,0.062039387,0.026329655,0,0,0.03436815,0.194043434
MDA_1,0,0.055170865,0,0.154913818,0.122848042,0,0.469014343,0.077975286,0.01099973,0,0,0,0.109077917
MDA_2,0,0.07361529,0,0.164240332,0.109525867,0,0.43753408,0.02769217,0,0.049171738,0,0.008268783,0.129951741
MDA_3,0,0.067807397,0,0.134543343,0.195910143,0,0.427293894,0.06513599,0.003529591,0.002676752,0,0.013060885,0.090042006
MDA_4,0,0.0286529,0,0.208416499,0.187962335,0,0.427503614,0.078649355,0.003638242,0,0,0,0.065177055
MDA_12,0,0,0,0.201442825,0.164818693,0,0.450860433,0.104998878,0.027478883,0.013891609,0,0,0.036508679
MDA_7,0,0.045331521,0,0.232769116,0.177685027,0,0.349870199,0.059596144,0.02198557,0.016817992,0,0.007546285,0.088398146
MDA_8,0,0.030978874,0,0.051900083,0.187116066,0,0.493171213,0.076759476,0,0.010674801,0,0,0.149399487
TAA_1,0,0.046694755,0,0.220371409,0.137330465,0,0.351245968,0.009592487,0,0.028808836,0,0.026805292,0.179150787
TAA_3,0,0.012507927,0,0.284842643,0.123809967,0.016659492,0.323958481,0.066121693,0.016495025,0,0,0.022243009,0.133361763
TAA_6,0,0.022623423,0,0.236809058,0.164233047,0,0.339953328,0.016544235,0.023746287,0.002845684,0,0.067506268,0.12573867
TAA_7,0,0.040239902,0,0.211738521,0.161792516,0,0.262030897,0.027108515,0.051570899,0.029201972,0,0.116840421,0.099476356
TAA_8,0,0.014723191,0,0.236018743,0.123658452,0,0.340728048,0.08886927,0.000871246,0,0,0.043690396,0.151440655
GAL_2,0,0,0,0.201230619,0.108897333,0,0.330631015,0.104877795,0.0335444,0.050710227,0,0.009170268,0.160938345
GAL_4,0,0,0,0.189769572,0.155800465,0,0.242035989,0.126815962,0.061645661,0.073594142,0,0,0.150338208
GAL_7,0,0,0,0.222749532,0.117392277,0.0022446,0.28078987,0.11861634,0.059955975,0,0,0.024366883,0.173884523
GAL_8,0,0,0,0.163041725,0.141764795,0,0.31935194,0.143155305,0.06007151,0,0,0.013359087,0.159255638
