"","B","Basophil","CD4","CD8","Cholangiocyte","Eosinophil","Hepatocyte","Kupffer","LSEC","Monocyte","NK","Neutrophil","Stellate"
"ANIT_1",0.0016193306435858,0,0.00582415938829827,0.0289985433467766,0.041007506044623,0.000649787926120872,0.380657206576325,0.00924385664568033,0.00682523260703056,0.00525060562447277,0,0.000217495122262191,0.0109381775001617
"ANIT_2",0.00268174037905037,0.00166763988801427,0.0027178678481311,0.0173020786991353,0.0541605066101083,0.000190119660006247,0.279472884324138,0.00806174852758404,0.0067365917450546,0,0,0,0.0217429575891952
"ANIT_3",0,0.000819762284201572,0.00608789799431323,0.000888700907762265,0.015134099354202,0.000128019207042296,0.442447875537379,0.0095436844867321,0.00664082231779091,0.00743952765784466,0,0.000190642029042928,0.0118469227086708
"ANIT_4",0,0,0,0,0.0164082071473333,0.000605566378800613,0.464905814917803,0.00714950422021105,0.00603305364766208,0,0.000204182970653384,0.000169273415230769,0.024801896958943
"APAP_1",0,0.0206138695539443,0.00214480208220463,0.0244832832002622,0.053269563808126,0,0.371519963023897,0.0123549650495511,0.00551948234879008,0.00413618279979409,0.00216345237656253,0.0035298091921998,0.0256730167176614
"APAP_11",0,0,0.0161991390255876,0.00039941548176647,0.0419811742021143,0.00107543816876475,0.521261107928312,0.0159788220349118,0.0143412818685736,0,0,0,0.0336810234153705
"APAP_2",0,0.00278041757641289,0.014424146691996,0.00364585554794806,0.0394646522871211,0.000470640958643059,0.419599361962993,0.0111952678369183,0.00647244773128994,0.00167084325496534,0,0,0.0193351275792412
"APAP_4",0,0.0155210337570157,0.0177343301188593,0.000436682594736704,0.0128374032727162,0.000891830993928741,0.398381414781129,0.0140894008018446,0.0132131406812253,0.00225859720533025,0,3.84640920534769e-05,0.0243996595364499
"APAP_6",0,0.00837858874376645,0,0.0826749094162991,0.0113629538827633,0.000225092097493767,0.237475381236935,0.0118983230871824,0.0100205025005334,0.000424137799387394,0,0,0.0248652113896204
"APAP_8",0,0,0.0301231737981039,0,0.0434172263104328,0.000681691822168267,0.249738189116953,0.0103776352069578,0.00979141504408046,0.0211449815935527,0,0.000631702222513843,0.0177881590075797
"Ctrl_1",0,0,0,0.0367534762293867,0.021504892632053,0,0.313628443932666,0.00652311700943317,0.00674817415891604,0.00690317949307776,0,0,0.0205385498857954
"Ctrl_10",0,0,0,0.0422940116890539,0.0118976579496719,0,0.38232734953619,0.00996539839030117,0.0081679885878723,0.00901645345397323,0,0,0.0215392964892788
"Ctrl_12",0,0,0.00429432421473408,0,0.0146456909044485,0,0.41779417933892,0.0114247568077002,0.00973149834954085,0.013569231189797,0,0,0.0281138389314288
"Ctrl_15",0,0,0,0.0417004754925098,0.0179819167902549,0,0.33860248768165,0.010869121149632,0.00654284370044334,0.0107170506444749,0,0,0.0278828501235115
"Ctrl_16",4.07291417642354e-05,0,0,0.00124524161348578,0.0190241591247148,0,0.246925243210317,0.00835907312403386,0.00793778641996731,0.00710812763232516,0,0,0.0222064075009429
"Ctrl_17",0,0,0,0.019988746952117,0.0257021872676505,0.000169221954352665,0.403675441750464,0.00742799302863677,0.00515836451619836,0,0,0,0.0140882243194785
"Ctrl_18",0,0.000142663020223167,0,0.0523093370481462,0.014150426600961,0,0.298088531662754,0.010342901759381,0.00582078110366491,0.0189602645152587,0,0,0.0129837973400637
"Ctrl_2",0,0,0,0.0373484968816396,0.0186686208491013,0,0.384372617293853,0.0058825347278087,0.0096036951670967,0.00625400657828116,0,0,0.0158481745099808
"Ctrl_3",0,0,0,0.0398638365262833,0.0177668232285625,0,0.337182099816923,0.00904916568331398,0.00593682474490372,0.00766743531952228,0,0,0.0267608118710153
"Ctrl_4",0,0,0,0.0405190449357651,0.0267794614248374,0,0.389530399719715,0.00647671082159786,0.00729084205716402,0.004652850610232,0,0,0.0216707927490642
"CCl4_1",0,0.00586845816751642,0,0.107980667491836,0.0166601451365738,3.12848970695544e-05,0.097491546050791,0.00582810942253644,0.0044765521592731,0.000855293015698528,0,0,0.0138186788058972
"CCl4_10",0.0028301638575052,0.00463804256761245,0.0153017043531256,0.0966721728889347,0.0169808560876748,0.000224110535212625,0.155222492349386,0.0060003460105419,0.00310529039000483,0.000516624113369478,0,0.000337467631966643,0.0212817594346028
"CCl4_11",0.000509631930856487,0.0127066134548218,0.0190981593982137,0.0607705379760362,0.0113940462696935,0.000149907599926032,0.301548484789162,0.0101278375028085,0.00552816997655273,0,0,0,0.00983970346053258
"CCl4_12",0.00753846326808217,0.00135356701059796,0.00911297627102818,0.110534577136346,0.0181212777322956,0.000255379552861197,0.324155060777414,0.00676122542529684,0.00363009590313798,0.00187423365438911,0,0.000409120169221179,0.0132407742050548
"CCl4_5",0,0.00177788775727108,0.0234117946318795,0.0883705439847003,0.0179956332611798,0.000339014089135437,0.135853726403026,0.00839678516907323,0.00567183147976189,0.000420484932836341,0,0,0.0290408748448774
"CCl4_6",0.00546021711526365,0.0106283096147119,0,0.0395657357976507,0.0412188240995941,0,0.0493936378496928,0.00759379142648236,0.0054875499707639,0,0,0,0.0203703944302884
"CCl4_8",0.00669904616803287,0.00325510436736321,0.0214314380276503,0.10301960463274,0.0172201757560824,4.82833219475443e-05,0.264929776438785,0.00437233983206874,0.00450428496950687,0,0,0,0.0124293790089682
"Ctrl_7",9.0881156455069e-06,0,0.00437181413837992,0.000587393135958031,0.015493456416484,0.000177633474455733,0.385310767772357,0.00896461705965972,0.00706523027794498,0.0118565489605101,0,0,0.0168655058994422
"Ctrl_8",0,0,0,0.046197142741845,0.0192914909446238,0.000159221416070389,0.400464977069489,0.00991361543898259,0.00830339291020832,0.0102561302076694,0,0,0.0289332757691932
"Ctrl_9",0,0,0.00813145926617751,8.47388750632598e-06,0.00906777195735281,2.19432998900097e-05,0.316815068587329,0.0103532859772156,0.00732640437038137,0.0197608379830722,0,0,0.0192027651123833
"ConA_11",0,0.00553115621346972,0.00992872069864615,0.0200764723148027,0.0284388753971605,0,0.337431628324922,0.000130742927871868,0.000207336850270359,0,0.00616873719921985,0.0011707348922437,0.0299708132877618
"ConA_12",0,0.00509605791297071,0.00164295820109282,0.0250391688062956,0.0668092040269424,0,0.351918649703679,0.000903908433483416,0,0.0115587612614343,0.00946728139812292,0.000845489055124828,0.0288122145751066
"ConA_2",0,0.00561443530327583,0.00807889897243791,0.0225120747363824,0.0369760023395624,0.000173689390864276,0.339829930234172,0.00315832693471471,0.00159614126733132,0,0.00398569963531817,0,0.0339000799709032
"ConA_3",0,0.00371027044728361,0,0.014476102625061,0.0254356474759935,0.00014520019009237,0.372567488793297,0.00370973919094606,0.00150699827389779,0.012520580086141,0.00400051821293369,0.000580718314505055,0.021855046034182
"ConA_4",0,0.00310567952213109,0,0.0160145710086751,0.0539938897808961,0,0.298505420366722,0.00242926355488081,0.000321256371076025,0.00310321919972562,0.00349875329606049,0.000890626273578398,0.0362603871048737
"ConA_5",0,0.00303851709357892,0.00845815655395328,0.0251220935114698,0.0493220333583423,2.93361774490641e-05,0.340579785504969,0.00149437146238381,0.000495131705647482,0.000108133153944302,0.00114302461207094,0,0.0269180776394112
"ConA_8",0,0.00331254185383844,0.00826480995260249,0.0138130949837545,0.0774544906325128,0,0.383199371597275,0.00113716133940248,0.000276539130759375,0.000208476007954772,0.00186776028607259,0,0.0305409524678876
"CIP_7",0,0,0,0.0414295678485399,0.0132686077840114,0,0.36456946796229,0.0087579019872449,0.00715730694587419,0.005978440071233,0,0,0.017692846405903
"CIP_8",1.5668094561536e-05,0,0.0151108787748723,0.00123459517641477,0.0181189682257026,0,0.382336602827352,0.0114769106141189,0.00655038609830498,0.00862132559752533,0,0,0.0238844486677255
"CIV_7",0,0.00059271428888065,0,0.0298601488029723,0.00714274242965665,0,0.29981280639334,0.00744467314294372,0.00600873777057692,0.0112118053484122,0,0,0.0208069238413674
"CIV_8",0.000439209294673054,0,0.00408663434995884,0.0459406543825559,0.00681686519336993,8.81201136776117e-05,0.373125637163585,0.00551566429700475,0.00536083006993346,0,0,0,0.0174555231039341
"MDA_1",0,0,0.00774882648077646,0,0.0220337576927549,0.000358671751320309,0.404320164973149,0.00734692951931879,0.00626657544608671,0.00609981495065171,0,3.0658426982567e-06,0.0179858655207601
"MDA_2",0,0.000250164344878517,0.00842861957953458,0,0.0162732141015592,0.000630146144512537,0.549649408850891,0.00799384254736487,0.00421190853780764,3.27519226760183e-05,0,0.000109488219607639,0.01204415364886
"MDA_3",0,6.18001804610143e-05,0.00699300105399346,0,0.0374717643901617,0.000531067164808761,0.382042283704645,0.00498088340445427,0.00616950712408938,0,0.00026085816998323,0.000304565695933036,0.0133604881049181
"MDA_4",0,0,0.00207387426695659,0.0177341820118318,0.0382051795200916,0.000407492830166313,0.385448808820254,0.00704309211615618,0.00730749211183564,0.0057665573709528,0,0.000326669181038721,0.00450647140924385
