,Monocyte
B,-0.141259026166341
Basophil,-0.07042890510503175
CD4,0.12668000236626775
CD8,0.29475657020945284
Cholangiocyte,-0.08767355810332189
Eosinophil,0.05183318957620908
Hepatocyte,0.09838712139716654
Kupffer,-0.5154878423455056
LSEC,0.08335344978932585
Neutrophil,-0.10217601215192967
NK,0.14859063950293117
Stellate,0.09492573926783099
