,Eosinophil
B,-0.15558114771617004
Basophil,0.04106738710613089
CD4,0.05829414997557403
CD8,-0.08233395098009277
Cholangiocyte,0.24161477734184172
NK,0.051596085735222286
Hepatocyte,0.5018102425042745
Kupffer,-0.13743578636419151
LSEC,0.15700520197239864
Neutrophil,0.10382357375122131
Monocyte,-0.12674726925073276
Stellate,-0.26637853222703956
