,Eosinophil,pair
"('CD8', 'Hepatocyte', 'Kupffer', 'NK')",0.2792,"('CD8', 'Hepatocyte', 'Kupffer', 'NK')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.4525,"('CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Stellate')",-0.1402,"('CD8', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte')",0.3343,"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('CD8', 'Hepatocyte', 'LSEC', 'NK')",0.4478,"('CD8', 'Hepatocyte', 'LSEC', 'NK')"
"('CD8', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.6704,"('CD8', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'LSEC', 'Stellate')",0.1294,"('CD8', 'Hepatocyte', 'LSEC', 'Stellate')"
"('CD8', 'Hepatocyte', 'Monocyte', 'NK')",0.3463,"('CD8', 'Hepatocyte', 'Monocyte', 'NK')"
"('CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil')",0.2649,"('CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'Monocyte', 'Stellate')",-0.0803,"('CD8', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('CD8', 'Hepatocyte', 'NK', 'Neutrophil')",0.7216,"('CD8', 'Hepatocyte', 'NK', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'NK', 'Stellate')",-0.0252,"('CD8', 'Hepatocyte', 'NK', 'Stellate')"
"('CD8', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.4807,"('CD8', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC', 'Monocyte')",-0.3971,"('CD8', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD8', 'Kupffer', 'LSEC', 'NK')",0.0131,"('CD8', 'Kupffer', 'LSEC', 'NK')"
"('CD8', 'Kupffer', 'LSEC', 'Neutrophil')",0.0858,"('CD8', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD8', 'Kupffer', 'LSEC', 'Stellate')",-0.3445,"('CD8', 'Kupffer', 'LSEC', 'Stellate')"
"('CD8', 'Kupffer', 'Monocyte', 'NK')",-0.4401,"('CD8', 'Kupffer', 'Monocyte', 'NK')"
"('CD8', 'Kupffer', 'Monocyte', 'Neutrophil')",-0.1048,"('CD8', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('CD8', 'Kupffer', 'Monocyte', 'Stellate')",-0.7616,"('CD8', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD8', 'Kupffer', 'NK', 'Neutrophil')",0.2265,"('CD8', 'Kupffer', 'NK', 'Neutrophil')"
"('CD8', 'Kupffer', 'NK', 'Stellate')",-0.4589,"('CD8', 'Kupffer', 'NK', 'Stellate')"
"('CD8', 'Kupffer', 'Neutrophil', 'Stellate')",-0.6458,"('CD8', 'Kupffer', 'Neutrophil', 'Stellate')"
"('CD8', 'LSEC', 'Monocyte', 'NK')",-0.1557,"('CD8', 'LSEC', 'Monocyte', 'NK')"
"('CD8', 'LSEC', 'Monocyte', 'Neutrophil')",0.34,"('CD8', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD8', 'LSEC', 'Monocyte', 'Stellate')",-0.2716,"('CD8', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'LSEC', 'NK', 'Neutrophil')",0.2868,"('CD8', 'LSEC', 'NK', 'Neutrophil')"
"('CD8', 'LSEC', 'NK', 'Stellate')",-0.2202,"('CD8', 'LSEC', 'NK', 'Stellate')"
"('CD8', 'LSEC', 'Neutrophil', 'Stellate')",0.2591,"('CD8', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD8', 'Monocyte', 'NK', 'Neutrophil')",-0.1387,"('CD8', 'Monocyte', 'NK', 'Neutrophil')"
"('CD8', 'Monocyte', 'NK', 'Stellate')",-0.5284,"('CD8', 'Monocyte', 'NK', 'Stellate')"
"('CD8', 'Monocyte', 'Neutrophil', 'Stellate')",-0.4716,"('CD8', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'NK', 'Neutrophil', 'Stellate')",-0.1174,"('CD8', 'NK', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')",0.6268,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.4786,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')",0.5643,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.8296,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')",0.4184,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')",0.4956,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')",0.4992,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.8783,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')",0.3732,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK')",0.5114,"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'NK')"
"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')",0.7283,"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')",0.3283,"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'NK', 'Neutrophil')",0.8325,"('Cholangiocyte', 'Hepatocyte', 'NK', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')",0.2495,"('Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.8319,"('Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.229,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'NK')",0.2898,"('Cholangiocyte', 'Kupffer', 'LSEC', 'NK')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.7003,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')",0.4402,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'Monocyte', 'NK')",-0.1102,"('Cholangiocyte', 'Kupffer', 'Monocyte', 'NK')"
"('Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.6342,"('Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')",-0.6012,"('Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'NK', 'Neutrophil')",0.7626,"('Cholangiocyte', 'Kupffer', 'NK', 'Neutrophil')"
"('Cholangiocyte', 'Kupffer', 'NK', 'Stellate')",-0.2398,"('Cholangiocyte', 'Kupffer', 'NK', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.3479,"('Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'Monocyte', 'NK')",0.3126,"('Cholangiocyte', 'LSEC', 'Monocyte', 'NK')"
"('Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.5912,"('Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')",0.1769,"('Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'NK', 'Neutrophil')",0.7143,"('Cholangiocyte', 'LSEC', 'NK', 'Neutrophil')"
"('Cholangiocyte', 'LSEC', 'NK', 'Stellate')",0.1126,"('Cholangiocyte', 'LSEC', 'NK', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.7661,"('Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Monocyte', 'NK', 'Neutrophil')",0.4101,"('Cholangiocyte', 'Monocyte', 'NK', 'Neutrophil')"
"('Cholangiocyte', 'Monocyte', 'NK', 'Stellate')",-0.2866,"('Cholangiocyte', 'Monocyte', 'NK', 'Stellate')"
"('Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.0552,"('Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'NK', 'Neutrophil', 'Stellate')",0.5854,"('Cholangiocyte', 'NK', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.3145,"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'NK')",0.5458,"('Hepatocyte', 'Kupffer', 'LSEC', 'NK')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.6458,"('Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.5592,"('Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'Monocyte', 'NK')",-0.1105,"('Hepatocyte', 'Kupffer', 'Monocyte', 'NK')"
"('Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.0058,"('Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",-0.2525,"('Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'NK', 'Neutrophil')",0.3111,"('Hepatocyte', 'Kupffer', 'NK', 'Neutrophil')"
"('Hepatocyte', 'Kupffer', 'NK', 'Stellate')",0.0823,"('Hepatocyte', 'Kupffer', 'NK', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.5211,"('Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'LSEC', 'Monocyte', 'NK')",0.3812,"('Hepatocyte', 'LSEC', 'Monocyte', 'NK')"
"('Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.4339,"('Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.4995,"('Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('Hepatocyte', 'LSEC', 'NK', 'Neutrophil')",0.6723,"('Hepatocyte', 'LSEC', 'NK', 'Neutrophil')"
"('Hepatocyte', 'LSEC', 'NK', 'Stellate')",0.3399,"('Hepatocyte', 'LSEC', 'NK', 'Stellate')"
"('Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.7564,"('Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'Monocyte', 'NK', 'Neutrophil')",-0.2197,"('Hepatocyte', 'Monocyte', 'NK', 'Neutrophil')"
"('Hepatocyte', 'Monocyte', 'NK', 'Stellate')",0.2065,"('Hepatocyte', 'Monocyte', 'NK', 'Stellate')"
"('Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.1902,"('Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'NK', 'Neutrophil', 'Stellate')",0.3232,"('Hepatocyte', 'NK', 'Neutrophil', 'Stellate')"
"('Kupffer', 'LSEC', 'Monocyte', 'NK')",-0.2565,"('Kupffer', 'LSEC', 'Monocyte', 'NK')"
"('Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.1862,"('Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('Kupffer', 'LSEC', 'Monocyte', 'Stellate')",-0.4826,"('Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('Kupffer', 'LSEC', 'NK', 'Neutrophil')",0.4073,"('Kupffer', 'LSEC', 'NK', 'Neutrophil')"
"('Kupffer', 'LSEC', 'NK', 'Stellate')",0.3688,"('Kupffer', 'LSEC', 'NK', 'Stellate')"
"('Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.4788,"('Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('Kupffer', 'Monocyte', 'NK', 'Neutrophil')",0.3779,"('Kupffer', 'Monocyte', 'NK', 'Neutrophil')"
"('Kupffer', 'Monocyte', 'NK', 'Stellate')",-0.5855,"('Kupffer', 'Monocyte', 'NK', 'Stellate')"
"('Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",-0.6942,"('Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Kupffer', 'NK', 'Neutrophil', 'Stellate')",-0.1669,"('Kupffer', 'NK', 'Neutrophil', 'Stellate')"
"('LSEC', 'Monocyte', 'NK', 'Neutrophil')",0.595,"('LSEC', 'Monocyte', 'NK', 'Neutrophil')"
"('LSEC', 'Monocyte', 'NK', 'Stellate')",-0.0967,"('LSEC', 'Monocyte', 'NK', 'Stellate')"
"('LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.262,"('LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('LSEC', 'NK', 'Neutrophil', 'Stellate')",0.4253,"('LSEC', 'NK', 'Neutrophil', 'Stellate')"
"('Monocyte', 'NK', 'Neutrophil', 'Stellate')",0.3443,"('Monocyte', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'CD4', 'CD8', 'Cholangiocyte')",0.0516,"('B', 'Basophil', 'CD4', 'CD8', 'Cholangiocyte')"
"('B', 'Basophil', 'CD4', 'CD8', 'Hepatocyte')",0.0733,"('B', 'Basophil', 'CD4', 'CD8', 'Hepatocyte')"
"('B', 'Basophil', 'CD4', 'CD8', 'Kupffer')",-0.3139,"('B', 'Basophil', 'CD4', 'CD8', 'Kupffer')"
"('B', 'Basophil', 'CD4', 'CD8', 'LSEC')",-0.1962,"('B', 'Basophil', 'CD4', 'CD8', 'LSEC')"
"('B', 'Basophil', 'CD4', 'CD8', 'Monocyte')",-0.2191,"('B', 'Basophil', 'CD4', 'CD8', 'Monocyte')"
"('B', 'Basophil', 'CD4', 'CD8', 'NK')",-0.5715,"('B', 'Basophil', 'CD4', 'CD8', 'NK')"
"('B', 'Basophil', 'CD4', 'CD8', 'Neutrophil')",-0.3218,"('B', 'Basophil', 'CD4', 'CD8', 'Neutrophil')"
"('B', 'Basophil', 'CD4', 'CD8', 'Stellate')",-0.3841,"('B', 'Basophil', 'CD4', 'CD8', 'Stellate')"
"('B', 'Basophil', 'CD4', 'Cholangiocyte', 'Hepatocyte')",0.4617,"('B', 'Basophil', 'CD4', 'Cholangiocyte', 'Hepatocyte')"
"('B', 'Basophil', 'CD4', 'Cholangiocyte', 'Kupffer')",-0.1429,"('B', 'Basophil', 'CD4', 'Cholangiocyte', 'Kupffer')"
"('B', 'Basophil', 'CD4', 'Cholangiocyte', 'LSEC')",0.0497,"('B', 'Basophil', 'CD4', 'Cholangiocyte', 'LSEC')"
"('B', 'Basophil', 'CD4', 'Cholangiocyte', 'Monocyte')",-0.5915,"('B', 'Basophil', 'CD4', 'Cholangiocyte', 'Monocyte')"
"('B', 'Basophil', 'CD4', 'Cholangiocyte', 'NK')",-0.1489,"('B', 'Basophil', 'CD4', 'Cholangiocyte', 'NK')"
"('B', 'Basophil', 'CD4', 'Cholangiocyte', 'Neutrophil')",-0.0205,"('B', 'Basophil', 'CD4', 'Cholangiocyte', 'Neutrophil')"
"('B', 'Basophil', 'CD4', 'Cholangiocyte', 'Stellate')",-0.2872,"('B', 'Basophil', 'CD4', 'Cholangiocyte', 'Stellate')"
"('B', 'Basophil', 'CD4', 'Hepatocyte', 'Kupffer')",0.0445,"('B', 'Basophil', 'CD4', 'Hepatocyte', 'Kupffer')"
"('B', 'Basophil', 'CD4', 'Hepatocyte', 'LSEC')",0.2401,"('B', 'Basophil', 'CD4', 'Hepatocyte', 'LSEC')"
"('B', 'Basophil', 'CD4', 'Hepatocyte', 'Monocyte')",-0.2426,"('B', 'Basophil', 'CD4', 'Hepatocyte', 'Monocyte')"
"('B', 'Basophil', 'CD4', 'Hepatocyte', 'NK')",-0.1292,"('B', 'Basophil', 'CD4', 'Hepatocyte', 'NK')"
"('B', 'Basophil', 'CD4', 'Hepatocyte', 'Neutrophil')",0.2428,"('B', 'Basophil', 'CD4', 'Hepatocyte', 'Neutrophil')"
"('B', 'Basophil', 'CD4', 'Hepatocyte', 'Stellate')",-0.0823,"('B', 'Basophil', 'CD4', 'Hepatocyte', 'Stellate')"
"('B', 'Basophil', 'CD4', 'Kupffer', 'LSEC')",0.0854,"('B', 'Basophil', 'CD4', 'Kupffer', 'LSEC')"
"('B', 'Basophil', 'CD4', 'Kupffer', 'Monocyte')",-0.2686,"('B', 'Basophil', 'CD4', 'Kupffer', 'Monocyte')"
"('B', 'Basophil', 'CD4', 'Kupffer', 'NK')",-0.0581,"('B', 'Basophil', 'CD4', 'Kupffer', 'NK')"
"('B', 'Basophil', 'CD4', 'Kupffer', 'Neutrophil')",0.0433,"('B', 'Basophil', 'CD4', 'Kupffer', 'Neutrophil')"
"('B', 'Basophil', 'CD4', 'Kupffer', 'Stellate')",-0.4297,"('B', 'Basophil', 'CD4', 'Kupffer', 'Stellate')"
"('B', 'Basophil', 'CD4', 'LSEC', 'Monocyte')",-0.0937,"('B', 'Basophil', 'CD4', 'LSEC', 'Monocyte')"
"('B', 'Basophil', 'CD4', 'LSEC', 'NK')",-0.0132,"('B', 'Basophil', 'CD4', 'LSEC', 'NK')"
"('B', 'Basophil', 'CD4', 'LSEC', 'Neutrophil')",0.1347,"('B', 'Basophil', 'CD4', 'LSEC', 'Neutrophil')"
"('B', 'Basophil', 'CD4', 'LSEC', 'Stellate')",-0.266,"('B', 'Basophil', 'CD4', 'LSEC', 'Stellate')"
"('B', 'Basophil', 'CD4', 'Monocyte', 'NK')",-0.39,"('B', 'Basophil', 'CD4', 'Monocyte', 'NK')"
"('B', 'Basophil', 'CD4', 'Monocyte', 'Neutrophil')",-0.2686,"('B', 'Basophil', 'CD4', 'Monocyte', 'Neutrophil')"
"('B', 'Basophil', 'CD4', 'Monocyte', 'Stellate')",-0.3436,"('B', 'Basophil', 'CD4', 'Monocyte', 'Stellate')"
"('B', 'Basophil', 'CD4', 'NK', 'Neutrophil')",-0.2323,"('B', 'Basophil', 'CD4', 'NK', 'Neutrophil')"
"('B', 'Basophil', 'CD4', 'NK', 'Stellate')",-0.2024,"('B', 'Basophil', 'CD4', 'NK', 'Stellate')"
"('B', 'Basophil', 'CD4', 'Neutrophil', 'Stellate')",-0.4624,"('B', 'Basophil', 'CD4', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'CD8', 'Cholangiocyte', 'Hepatocyte')",0.5044,"('B', 'Basophil', 'CD8', 'Cholangiocyte', 'Hepatocyte')"
"('B', 'Basophil', 'CD8', 'Cholangiocyte', 'Kupffer')",-0.3657,"('B', 'Basophil', 'CD8', 'Cholangiocyte', 'Kupffer')"
"('B', 'Basophil', 'CD8', 'Cholangiocyte', 'LSEC')",-0.0526,"('B', 'Basophil', 'CD8', 'Cholangiocyte', 'LSEC')"
"('B', 'Basophil', 'CD8', 'Cholangiocyte', 'Monocyte')",-0.6601,"('B', 'Basophil', 'CD8', 'Cholangiocyte', 'Monocyte')"
"('B', 'Basophil', 'CD8', 'Cholangiocyte', 'NK')",-0.4172,"('B', 'Basophil', 'CD8', 'Cholangiocyte', 'NK')"
"('B', 'Basophil', 'CD8', 'Cholangiocyte', 'Neutrophil')",-0.2895,"('B', 'Basophil', 'CD8', 'Cholangiocyte', 'Neutrophil')"
"('B', 'Basophil', 'CD8', 'Cholangiocyte', 'Stellate')",-0.5156,"('B', 'Basophil', 'CD8', 'Cholangiocyte', 'Stellate')"
"('B', 'Basophil', 'CD8', 'Hepatocyte', 'Kupffer')",-0.0409,"('B', 'Basophil', 'CD8', 'Hepatocyte', 'Kupffer')"
"('B', 'Basophil', 'CD8', 'Hepatocyte', 'LSEC')",0.0632,"('B', 'Basophil', 'CD8', 'Hepatocyte', 'LSEC')"
"('B', 'Basophil', 'CD8', 'Hepatocyte', 'Monocyte')",-0.1432,"('B', 'Basophil', 'CD8', 'Hepatocyte', 'Monocyte')"
"('B', 'Basophil', 'CD8', 'Hepatocyte', 'NK')",0.0332,"('B', 'Basophil', 'CD8', 'Hepatocyte', 'NK')"
"('B', 'Basophil', 'CD8', 'Hepatocyte', 'Neutrophil')",0.238,"('B', 'Basophil', 'CD8', 'Hepatocyte', 'Neutrophil')"
"('B', 'Basophil', 'CD8', 'Hepatocyte', 'Stellate')",-0.1679,"('B', 'Basophil', 'CD8', 'Hepatocyte', 'Stellate')"
"('B', 'Basophil', 'CD8', 'Kupffer', 'LSEC')",-0.0773,"('B', 'Basophil', 'CD8', 'Kupffer', 'LSEC')"
"('B', 'Basophil', 'CD8', 'Kupffer', 'Monocyte')",-0.3866,"('B', 'Basophil', 'CD8', 'Kupffer', 'Monocyte')"
"('B', 'Basophil', 'CD8', 'Kupffer', 'NK')",-0.4102,"('B', 'Basophil', 'CD8', 'Kupffer', 'NK')"
"('B', 'Basophil', 'CD8', 'Kupffer', 'Neutrophil')",-0.033,"('B', 'Basophil', 'CD8', 'Kupffer', 'Neutrophil')"
"('B', 'Basophil', 'CD8', 'Kupffer', 'Stellate')",-0.6318,"('B', 'Basophil', 'CD8', 'Kupffer', 'Stellate')"
"('B', 'Basophil', 'CD8', 'LSEC', 'Monocyte')",-0.0155,"('B', 'Basophil', 'CD8', 'LSEC', 'Monocyte')"
"('B', 'Basophil', 'CD8', 'LSEC', 'NK')",-0.3903,"('B', 'Basophil', 'CD8', 'LSEC', 'NK')"
"('B', 'Basophil', 'CD8', 'LSEC', 'Neutrophil')",-0.0567,"('B', 'Basophil', 'CD8', 'LSEC', 'Neutrophil')"
"('B', 'Basophil', 'CD8', 'LSEC', 'Stellate')",-0.4317,"('B', 'Basophil', 'CD8', 'LSEC', 'Stellate')"
"('B', 'Basophil', 'CD8', 'Monocyte', 'NK')",-0.2315,"('B', 'Basophil', 'CD8', 'Monocyte', 'NK')"
"('B', 'Basophil', 'CD8', 'Monocyte', 'Neutrophil')",-0.3271,"('B', 'Basophil', 'CD8', 'Monocyte', 'Neutrophil')"
"('B', 'Basophil', 'CD8', 'Monocyte', 'Stellate')",-0.2589,"('B', 'Basophil', 'CD8', 'Monocyte', 'Stellate')"
"('B', 'Basophil', 'CD8', 'NK', 'Neutrophil')",-0.4227,"('B', 'Basophil', 'CD8', 'NK', 'Neutrophil')"
"('B', 'Basophil', 'CD8', 'NK', 'Stellate')",-0.3745,"('B', 'Basophil', 'CD8', 'NK', 'Stellate')"
"('B', 'Basophil', 'CD8', 'Neutrophil', 'Stellate')",-0.47,"('B', 'Basophil', 'CD8', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.4349,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'LSEC')",0.5263,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')",0.5577,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'NK')",0.4365,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'NK')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')",0.6223,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')"
"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Stellate')",0.2821,"('B', 'Basophil', 'Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'LSEC')",0.1453,"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'LSEC')"
"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'Monocyte')",-0.3529,"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'Monocyte')"
"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'NK')",0.1951,"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'NK')"
"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'Neutrophil')",-0.5742,"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'Neutrophil')"
"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'Stellate')",-0.3633,"('B', 'Basophil', 'Cholangiocyte', 'Kupffer', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'LSEC', 'Monocyte')",-0.049,"('B', 'Basophil', 'Cholangiocyte', 'LSEC', 'Monocyte')"
"('B', 'Basophil', 'Cholangiocyte', 'LSEC', 'NK')",0.1214,"('B', 'Basophil', 'Cholangiocyte', 'LSEC', 'NK')"
"('B', 'Basophil', 'Cholangiocyte', 'LSEC', 'Neutrophil')",0.4413,"('B', 'Basophil', 'Cholangiocyte', 'LSEC', 'Neutrophil')"
"('B', 'Basophil', 'Cholangiocyte', 'LSEC', 'Stellate')",-0.3699,"('B', 'Basophil', 'Cholangiocyte', 'LSEC', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Monocyte', 'NK')",-0.556,"('B', 'Basophil', 'Cholangiocyte', 'Monocyte', 'NK')"
"('B', 'Basophil', 'Cholangiocyte', 'Monocyte', 'Neutrophil')",-0.3522,"('B', 'Basophil', 'Cholangiocyte', 'Monocyte', 'Neutrophil')"
"('B', 'Basophil', 'Cholangiocyte', 'Monocyte', 'Stellate')",-0.4661,"('B', 'Basophil', 'Cholangiocyte', 'Monocyte', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'NK', 'Neutrophil')",0.31,"('B', 'Basophil', 'Cholangiocyte', 'NK', 'Neutrophil')"
"('B', 'Basophil', 'Cholangiocyte', 'NK', 'Stellate')",-0.1702,"('B', 'Basophil', 'Cholangiocyte', 'NK', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Neutrophil', 'Stellate')",-0.1969,"('B', 'Basophil', 'Cholangiocyte', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'LSEC')",0.3035,"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'LSEC')"
