,Eosinophil,pair
"('B', 'Basophil', 'Neutrophil')",-0.4575,"('B', 'Basophil', 'Neutrophil')"
"('B', 'Basophil', 'Stellate')",-0.3233,"('B', 'Basophil', 'Stellate')"
"('B', 'CD4', 'CD8')",0.4862,"('B', 'CD4', 'CD8')"
"('B', 'CD4', 'Cholangiocyte')",0.5806,"('B', 'CD4', 'Cholangiocyte')"
"('B', 'CD4', 'Hepatocyte')",0.3524,"('B', 'CD4', 'Hepatocyte')"
"('B', 'CD4', 'Kupffer')",-0.2421,"('B', 'CD4', 'Kupffer')"
"('B', 'CD4', 'LSEC')",0.0358,"('B', 'CD4', 'LSEC')"
"('B', 'CD4', 'Monocyte')",-0.0841,"('B', 'CD4', 'Monocyte')"
"('B', 'CD4', 'NK')",0.3246,"('B', 'CD4', 'NK')"
"('B', 'CD4', 'Neutrophil')",0.0951,"('B', 'CD4', 'Neutrophil')"
"('B', 'CD4', 'Stellate')",-0.0697,"('B', 'CD4', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte')",0.0612,"('B', 'CD8', 'Cholangiocyte')"
"('B', 'CD8', 'Hepatocyte')",0.0995,"('B', 'CD8', 'Hepatocyte')"
"('B', 'CD8', 'Kupffer')",-0.1703,"('B', 'CD8', 'Kupffer')"
"('B', 'CD8', 'LSEC')",-0.1753,"('B', 'CD8', 'LSEC')"
"('B', 'CD8', 'Monocyte')",0.1481,"('B', 'CD8', 'Monocyte')"
"('B', 'CD8', 'NK')",0.4215,"('B', 'CD8', 'NK')"
"('B', 'CD8', 'Neutrophil')",0.2343,"('B', 'CD8', 'Neutrophil')"
"('B', 'CD8', 'Stellate')",-0.3945,"('B', 'CD8', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte')",0.5511,"('B', 'Cholangiocyte', 'Hepatocyte')"
"('B', 'Cholangiocyte', 'Kupffer')",0.2373,"('B', 'Cholangiocyte', 'Kupffer')"
"('B', 'Cholangiocyte', 'LSEC')",0.3178,"('B', 'Cholangiocyte', 'LSEC')"
"('B', 'Cholangiocyte', 'Monocyte')",-0.0235,"('B', 'Cholangiocyte', 'Monocyte')"
"('B', 'Cholangiocyte', 'NK')",0.3798,"('B', 'Cholangiocyte', 'NK')"
"('B', 'Cholangiocyte', 'Neutrophil')",0.617,"('B', 'Cholangiocyte', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Stellate')",-0.228,"('B', 'Cholangiocyte', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer')",0.3089,"('B', 'Hepatocyte', 'Kupffer')"
"('B', 'Hepatocyte', 'LSEC')",0.3723,"('B', 'Hepatocyte', 'LSEC')"
"('B', 'Hepatocyte', 'Monocyte')",0.1674,"('B', 'Hepatocyte', 'Monocyte')"
"('B', 'Hepatocyte', 'NK')",0.0988,"('B', 'Hepatocyte', 'NK')"
"('B', 'Hepatocyte', 'Neutrophil')",0.3878,"('B', 'Hepatocyte', 'Neutrophil')"
"('B', 'Hepatocyte', 'Stellate')",-0.0341,"('B', 'Hepatocyte', 'Stellate')"
"('B', 'Kupffer', 'LSEC')",0.4362,"('B', 'Kupffer', 'LSEC')"
"('B', 'Kupffer', 'Monocyte')",-0.6264,"('B', 'Kupffer', 'Monocyte')"
"('B', 'Kupffer', 'NK')",0.0792,"('B', 'Kupffer', 'NK')"
"('B', 'Kupffer', 'Neutrophil')",0.3976,"('B', 'Kupffer', 'Neutrophil')"
"('B', 'Kupffer', 'Stellate')",-0.611,"('B', 'Kupffer', 'Stellate')"
"('B', 'LSEC', 'Monocyte')",0.4546,"('B', 'LSEC', 'Monocyte')"
"('B', 'LSEC', 'NK')",0.126,"('B', 'LSEC', 'NK')"
"('B', 'LSEC', 'Neutrophil')",0.5913,"('B', 'LSEC', 'Neutrophil')"
"('B', 'LSEC', 'Stellate')",0.0021,"('B', 'LSEC', 'Stellate')"
"('B', 'Monocyte', 'NK')",-0.2428,"('B', 'Monocyte', 'NK')"
"('B', 'Monocyte', 'Neutrophil')",-0.4856,"('B', 'Monocyte', 'Neutrophil')"
"('B', 'Monocyte', 'Stellate')",-0.3144,"('B', 'Monocyte', 'Stellate')"
"('B', 'NK', 'Neutrophil')",0.2534,"('B', 'NK', 'Neutrophil')"
"('B', 'NK', 'Stellate')",-0.0236,"('B', 'NK', 'Stellate')"
"('B', 'Neutrophil', 'Stellate')",-0.0029,"('B', 'Neutrophil', 'Stellate')"
"('Basophil', 'CD4', 'CD8')",-0.5671,"('Basophil', 'CD4', 'CD8')"
"('Basophil', 'CD4', 'Cholangiocyte')",0.1426,"('Basophil', 'CD4', 'Cholangiocyte')"
"('Basophil', 'CD4', 'Hepatocyte')",0.2745,"('Basophil', 'CD4', 'Hepatocyte')"
"('Basophil', 'CD4', 'Kupffer')",-0.0588,"('Basophil', 'CD4', 'Kupffer')"
"('Basophil', 'CD4', 'LSEC')",0.1925,"('Basophil', 'CD4', 'LSEC')"
"('Basophil', 'CD4', 'Monocyte')",-0.385,"('Basophil', 'CD4', 'Monocyte')"
"('Basophil', 'CD4', 'NK')",-0.2846,"('Basophil', 'CD4', 'NK')"
"('Basophil', 'CD4', 'Neutrophil')",-0.6041,"('Basophil', 'CD4', 'Neutrophil')"
"('Basophil', 'CD4', 'Stellate')",-0.0127,"('Basophil', 'CD4', 'Stellate')"
"('Basophil', 'CD8', 'Cholangiocyte')",-0.1157,"('Basophil', 'CD8', 'Cholangiocyte')"
"('Basophil', 'CD8', 'Hepatocyte')",-0.0309,"('Basophil', 'CD8', 'Hepatocyte')"
"('Basophil', 'CD8', 'Kupffer')",0.2322,"('Basophil', 'CD8', 'Kupffer')"
"('Basophil', 'CD8', 'LSEC')",-0.1311,"('Basophil', 'CD8', 'LSEC')"
"('Basophil', 'CD8', 'Monocyte')",-0.3207,"('Basophil', 'CD8', 'Monocyte')"
"('Basophil', 'CD8', 'NK')",-0.2065,"('Basophil', 'CD8', 'NK')"
"('Basophil', 'CD8', 'Neutrophil')",-0.3066,"('Basophil', 'CD8', 'Neutrophil')"
"('Basophil', 'CD8', 'Stellate')",-0.1587,"('Basophil', 'CD8', 'Stellate')"
"('Basophil', 'Cholangiocyte', 'Hepatocyte')",0.5425,"('Basophil', 'Cholangiocyte', 'Hepatocyte')"
"('Basophil', 'Cholangiocyte', 'Kupffer')",0.2729,"('Basophil', 'Cholangiocyte', 'Kupffer')"
"('Basophil', 'Cholangiocyte', 'LSEC')",0.3116,"('Basophil', 'Cholangiocyte', 'LSEC')"
"('Basophil', 'Cholangiocyte', 'Monocyte')",-0.1029,"('Basophil', 'Cholangiocyte', 'Monocyte')"
"('Basophil', 'Cholangiocyte', 'NK')",-0.0026,"('Basophil', 'Cholangiocyte', 'NK')"
"('Basophil', 'Cholangiocyte', 'Neutrophil')",0.0932,"('Basophil', 'Cholangiocyte', 'Neutrophil')"
"('Basophil', 'Cholangiocyte', 'Stellate')",-0.0881,"('Basophil', 'Cholangiocyte', 'Stellate')"
"('Basophil', 'Hepatocyte', 'Kupffer')",0.375,"('Basophil', 'Hepatocyte', 'Kupffer')"
"('Basophil', 'Hepatocyte', 'LSEC')",0.4511,"('Basophil', 'Hepatocyte', 'LSEC')"
"('Basophil', 'Hepatocyte', 'Monocyte')",-0.0121,"('Basophil', 'Hepatocyte', 'Monocyte')"
"('Basophil', 'Hepatocyte', 'NK')",-0.0877,"('Basophil', 'Hepatocyte', 'NK')"
"('Basophil', 'Hepatocyte', 'Neutrophil')",0.4374,"('Basophil', 'Hepatocyte', 'Neutrophil')"
"('Basophil', 'Hepatocyte', 'Stellate')",0.216,"('Basophil', 'Hepatocyte', 'Stellate')"
"('Basophil', 'Kupffer', 'LSEC')",0.3017,"('Basophil', 'Kupffer', 'LSEC')"
"('Basophil', 'Kupffer', 'Monocyte')",-0.1389,"('Basophil', 'Kupffer', 'Monocyte')"
"('Basophil', 'Kupffer', 'NK')",0.2188,"('Basophil', 'Kupffer', 'NK')"
"('Basophil', 'Kupffer', 'Neutrophil')",0.3219,"('Basophil', 'Kupffer', 'Neutrophil')"
"('Basophil', 'Kupffer', 'Stellate')",-0.1214,"('Basophil', 'Kupffer', 'Stellate')"
