,Neutrophil,pair
"('Cholangiocyte', 'Kupffer', 'NK')",0.6907,"('Cholangiocyte', 'Kupffer', 'NK')"
"('Cholangiocyte', 'Kupffer', 'Stellate')",0.6586,"('Cholangiocyte', 'Kupffer', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'Monocyte')",0.7018,"('Cholangiocyte', 'LSEC', 'Monocyte')"
"('Cholangiocyte', 'LSEC', 'NK')",0.6526,"('Cholangiocyte', 'LSEC', 'NK')"
"('Cholangiocyte', 'LSEC', 'Stellate')",0.6288,"('Cholangiocyte', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Monocyte', 'NK')",0.7216,"('Cholangiocyte', 'Monocyte', 'NK')"
"('Cholangiocyte', 'Monocyte', 'Stellate')",0.7468,"('Cholangiocyte', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'NK', 'Stellate')",0.5688,"('Cholangiocyte', 'NK', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC')",0.4936,"('Hepatocyte', 'Kupffer', 'LSEC')"
"('Hepatocyte', 'Kupffer', 'Monocyte')",0.5683,"('Hepatocyte', 'Kupffer', 'Monocyte')"
"('Hepatocyte', 'Kupffer', 'NK')",0.506,"('Hepatocyte', 'Kupffer', 'NK')"
"('Hepatocyte', 'Kupffer', 'Stellate')",0.5017,"('Hepatocyte', 'Kupffer', 'Stellate')"
"('Hepatocyte', 'LSEC', 'Monocyte')",0.5413,"('Hepatocyte', 'LSEC', 'Monocyte')"
"('Hepatocyte', 'LSEC', 'NK')",0.372,"('Hepatocyte', 'LSEC', 'NK')"
"('Hepatocyte', 'LSEC', 'Stellate')",0.3201,"('Hepatocyte', 'LSEC', 'Stellate')"
"('Hepatocyte', 'Monocyte', 'NK')",0.4649,"('Hepatocyte', 'Monocyte', 'NK')"
"('Hepatocyte', 'Monocyte', 'Stellate')",0.4982,"('Hepatocyte', 'Monocyte', 'Stellate')"
"('Hepatocyte', 'NK', 'Stellate')",0.2767,"('Hepatocyte', 'NK', 'Stellate')"
"('Kupffer', 'LSEC', 'Monocyte')",0.7049,"('Kupffer', 'LSEC', 'Monocyte')"
"('Kupffer', 'LSEC', 'NK')",0.6852,"('Kupffer', 'LSEC', 'NK')"
"('Kupffer', 'LSEC', 'Stellate')",0.6462,"('Kupffer', 'LSEC', 'Stellate')"
"('Kupffer', 'Monocyte', 'NK')",0.7449,"('Kupffer', 'Monocyte', 'NK')"
"('Kupffer', 'Monocyte', 'Stellate')",0.7406,"('Kupffer', 'Monocyte', 'Stellate')"
"('Kupffer', 'NK', 'Stellate')",0.6755,"('Kupffer', 'NK', 'Stellate')"
"('LSEC', 'Monocyte', 'NK')",0.7564,"('LSEC', 'Monocyte', 'NK')"
"('LSEC', 'Monocyte', 'Stellate')",0.7469,"('LSEC', 'Monocyte', 'Stellate')"
"('LSEC', 'NK', 'Stellate')",0.6684,"('LSEC', 'NK', 'Stellate')"
"('Monocyte', 'NK', 'Stellate')",0.7321,"('Monocyte', 'NK', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte')",0.193,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer')",0.6885,"('B', 'CD8', 'Cholangiocyte', 'Kupffer')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC')",0.6614,"('B', 'CD8', 'Cholangiocyte', 'LSEC')"
"('B', 'CD8', 'Cholangiocyte', 'Monocyte')",0.7102,"('B', 'CD8', 'Cholangiocyte', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'NK')",0.5938,"('B', 'CD8', 'Cholangiocyte', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'Stellate')",0.6511,"('B', 'CD8', 'Cholangiocyte', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer')",0.5309,"('B', 'CD8', 'Hepatocyte', 'Kupffer')"
"('B', 'CD8', 'Hepatocyte', 'LSEC')",0.4191,"('B', 'CD8', 'Hepatocyte', 'LSEC')"
"('B', 'CD8', 'Hepatocyte', 'Monocyte')",0.4721,"('B', 'CD8', 'Hepatocyte', 'Monocyte')"
"('B', 'CD8', 'Hepatocyte', 'NK')",0.2641,"('B', 'CD8', 'Hepatocyte', 'NK')"
"('B', 'CD8', 'Hepatocyte', 'Stellate')",0.364,"('B', 'CD8', 'Hepatocyte', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'LSEC')",0.7038,"('B', 'CD8', 'Kupffer', 'LSEC')"
"('B', 'CD8', 'Kupffer', 'Monocyte')",0.7555,"('B', 'CD8', 'Kupffer', 'Monocyte')"
"('B', 'CD8', 'Kupffer', 'NK')",0.7091,"('B', 'CD8', 'Kupffer', 'NK')"
"('B', 'CD8', 'Kupffer', 'Stellate')",0.7165,"('B', 'CD8', 'Kupffer', 'Stellate')"
"('B', 'CD8', 'LSEC', 'Monocyte')",0.762,"('B', 'CD8', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'LSEC', 'NK')",0.6938,"('B', 'CD8', 'LSEC', 'NK')"
"('B', 'CD8', 'LSEC', 'Stellate')",0.7034,"('B', 'CD8', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Monocyte', 'NK')",0.6961,"('B', 'CD8', 'Monocyte', 'NK')"
"('B', 'CD8', 'Monocyte', 'Stellate')",0.7501,"('B', 'CD8', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'NK', 'Stellate')",0.5558,"('B', 'CD8', 'NK', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.4919,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC')",0.3803,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')",0.4872,"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'NK')",0.2349,"('B', 'Cholangiocyte', 'Hepatocyte', 'NK')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Stellate')",0.3037,"('B', 'Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC')",0.6757,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC')"
"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte')",0.7265,"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte')"
"('B', 'Cholangiocyte', 'Kupffer', 'NK')",0.7095,"('B', 'Cholangiocyte', 'Kupffer', 'NK')"
"('B', 'Cholangiocyte', 'Kupffer', 'Stellate')",0.7013,"('B', 'Cholangiocyte', 'Kupffer', 'Stellate')"
"('B', 'Cholangiocyte', 'LSEC', 'Monocyte')",0.706,"('B', 'Cholangiocyte', 'LSEC', 'Monocyte')"
"('B', 'Cholangiocyte', 'LSEC', 'NK')",0.6772,"('B', 'Cholangiocyte', 'LSEC', 'NK')"
"('B', 'Cholangiocyte', 'LSEC', 'Stellate')",0.6917,"('B', 'Cholangiocyte', 'LSEC', 'Stellate')"
"('B', 'Cholangiocyte', 'Monocyte', 'NK')",0.725,"('B', 'Cholangiocyte', 'Monocyte', 'NK')"
"('B', 'Cholangiocyte', 'Monocyte', 'Stellate')",0.7548,"('B', 'Cholangiocyte', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'NK', 'Stellate')",0.6413,"('B', 'Cholangiocyte', 'NK', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC')",0.5456,"('B', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('B', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.5886,"('B', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('B', 'Hepatocyte', 'Kupffer', 'NK')",0.5371,"('B', 'Hepatocyte', 'Kupffer', 'NK')"
"('B', 'Hepatocyte', 'Kupffer', 'Stellate')",0.5545,"('B', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('B', 'Hepatocyte', 'LSEC', 'Monocyte')",0.5619,"('B', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('B', 'Hepatocyte', 'LSEC', 'NK')",0.4364,"('B', 'Hepatocyte', 'LSEC', 'NK')"
"('B', 'Hepatocyte', 'LSEC', 'Stellate')",0.4452,"('B', 'Hepatocyte', 'LSEC', 'Stellate')"
"('B', 'Hepatocyte', 'Monocyte', 'NK')",0.485,"('B', 'Hepatocyte', 'Monocyte', 'NK')"
"('B', 'Hepatocyte', 'Monocyte', 'Stellate')",0.5524,"('B', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('B', 'Hepatocyte', 'NK', 'Stellate')",0.3606,"('B', 'Hepatocyte', 'NK', 'Stellate')"
"('B', 'Kupffer', 'LSEC', 'Monocyte')",0.7202,"('B', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'Kupffer', 'LSEC', 'NK')",0.6971,"('B', 'Kupffer', 'LSEC', 'NK')"
"('B', 'Kupffer', 'LSEC', 'Stellate')",0.6712,"('B', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'Kupffer', 'Monocyte', 'NK')",0.7661,"('B', 'Kupffer', 'Monocyte', 'NK')"
"('B', 'Kupffer', 'Monocyte', 'Stellate')",0.756,"('B', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'Kupffer', 'NK', 'Stellate')",0.6943,"('B', 'Kupffer', 'NK', 'Stellate')"
"('B', 'LSEC', 'Monocyte', 'NK')",0.7663,"('B', 'LSEC', 'Monocyte', 'NK')"
"('B', 'LSEC', 'Monocyte', 'Stellate')",0.7599,"('B', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'LSEC', 'NK', 'Stellate')",0.693,"('B', 'LSEC', 'NK', 'Stellate')"
"('B', 'Monocyte', 'NK', 'Stellate')",0.7599,"('B', 'Monocyte', 'NK', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.5003,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC')",0.3402,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')",0.5104,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'NK')",0.1275,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'NK')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Stellate')",0.2192,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC')",0.6735,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte')",0.7281,"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'NK')",0.6835,"('CD8', 'Cholangiocyte', 'Kupffer', 'NK')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Stellate')",0.6984,"('CD8', 'Cholangiocyte', 'Kupffer', 'Stellate')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte')",0.7095,"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'LSEC', 'NK')",0.6495,"('CD8', 'Cholangiocyte', 'LSEC', 'NK')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Stellate')",0.6746,"('CD8', 'Cholangiocyte', 'LSEC', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Monocyte', 'NK')",0.7253,"('CD8', 'Cholangiocyte', 'Monocyte', 'NK')"
"('CD8', 'Cholangiocyte', 'Monocyte', 'Stellate')",0.7419,"('CD8', 'Cholangiocyte', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'NK', 'Stellate')",0.5695,"('CD8', 'Cholangiocyte', 'NK', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC')",0.523,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.5972,"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('CD8', 'Hepatocyte', 'Kupffer', 'NK')",0.5074,"('CD8', 'Hepatocyte', 'Kupffer', 'NK')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Stellate')",0.5402,"('CD8', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte')",0.57,"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('CD8', 'Hepatocyte', 'LSEC', 'NK')",0.3888,"('CD8', 'Hepatocyte', 'LSEC', 'NK')"
