,NK,pair
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')",0.708,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.6835,"('Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.7717,"('Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.715,"('Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.7548,"('Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')",0.71,"('Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.6334,"('Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.764,"('Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.59,"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.7149,"('Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.6561,"('Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.6812,"('Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.7382,"('Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.6834,"('Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.7247,"('Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.6175,"('Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.6489,"('Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.7054,"('Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.6549,"('Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.7254,"('Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.7014,"('Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.7831,"('Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.7429,"('LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.6992,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC')",0.5036,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')",0.6809,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')",0.6385,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Stellate')",0.7145,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC')",0.5768,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte')",0.7169,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil')",0.6702,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Stellate')",0.7767,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte')",0.7026,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil')",0.7831,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Stellate')",0.6552,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Monocyte', 'Neutrophil')",0.7299,"('B', 'CD8', 'Cholangiocyte', 'Monocyte', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Monocyte', 'Stellate')",0.812,"('B', 'CD8', 'Cholangiocyte', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Neutrophil', 'Stellate')",0.6831,"('B', 'CD8', 'Cholangiocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC')",0.4875,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.679,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.6602,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Stellate')",0.7024,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte')",0.477,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.7172,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Stellate')",0.4797,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil')",0.6756,"('B', 'CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil')"
"('B', 'CD8', 'Hepatocyte', 'Monocyte', 'Stellate')",0.7558,"('B', 'CD8', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.564,"('B', 'CD8', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'Monocyte')",0.6254,"('B', 'CD8', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'Neutrophil')",0.6528,"('B', 'CD8', 'Kupffer', 'LSEC', 'Neutrophil')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'Stellate')",0.6992,"('B', 'CD8', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'Monocyte', 'Neutrophil')",0.722,"('B', 'CD8', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('B', 'CD8', 'Kupffer', 'Monocyte', 'Stellate')",0.7148,"('B', 'CD8', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'Neutrophil', 'Stellate')",0.7773,"('B', 'CD8', 'Kupffer', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'LSEC', 'Monocyte', 'Neutrophil')",0.6737,"('B', 'CD8', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'CD8', 'LSEC', 'Monocyte', 'Stellate')",0.6975,"('B', 'CD8', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'LSEC', 'Neutrophil', 'Stellate')",0.7261,"('B', 'CD8', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Monocyte', 'Neutrophil', 'Stellate')",0.7604,"('B', 'CD8', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')",0.57,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.7034,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.6974,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')",0.7482,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')",0.619,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.4457,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')",0.6343,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')",0.7158,"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')",0.7507,"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.6915,"('B', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.5947,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.6239,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')",0.7,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.6856,"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.7686,"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.7218,"('B', 'Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.7393,"('B', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')",0.6885,"('B', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.6387,"('B', 'Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.7672,"('B', 'Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.5908,"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.7492,"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.6581,"('B', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.6957,"('B', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('B', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.728,"('B', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.6666,"('B', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('B', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.7506,"('B', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.5702,"('B', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.7309,"('B', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.6465,"('B', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.6619,"('B', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.7266,"('B', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.7098,"('B', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.7728,"('B', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.7401,"('B', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')",0.579,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.6885,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.7013,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')",0.7372,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')",0.5838,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.4925,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')",0.621,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')",0.7283,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')",0.7317,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.5441,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.5806,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.6983,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')",0.6689,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.6689,"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.7737,"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.7419,"('CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.7729,"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')",0.6799,"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.5947,"('CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.7687,"('CD8', 'Cholangiocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.5175,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.7139,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.4843,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.6583,"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.7462,"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.6988,"('CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.7157,"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.5592,"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.5622,"('CD8', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.6936,"('CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.6437,"('CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.71,"('CD8', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.6979,"('CD8', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD8', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.7789,"('CD8', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.734,"('CD8', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.6169,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.5612,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.6457,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.7105,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')",0.7372,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.7073,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')",0.5737,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')",0.6544,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.5751,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')",0.7198,"('Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.6261,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.6901,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.6299,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.7332,"('Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6537,"('Cholangiocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')",0.7034,"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Neutrophil')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')",0.6574,"('Hepatocyte', 'Kupffer', 'LSEC', 'Monocyte', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')",0.651,"('Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')",0.7004,"('Hepatocyte', 'Kupffer', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.6318,"('Hepatocyte', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')",0.7123,"('Kupffer', 'LSEC', 'Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')",0.57,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.7033,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.7193,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')",0.7418,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')",0.6158,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.4426,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')",0.6057,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')",0.7511,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')",0.754,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.6543,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')",0.5849,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.6503,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')",0.6614,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')",0.6877,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte', 'Neutrophil')"
