,NK,pair
"('Cholangiocyte', 'Kupffer', 'LSEC')",0.6691,"('Cholangiocyte', 'Kupffer', 'LSEC')"
"('Cholangiocyte', 'Kupffer', 'Monocyte')",0.6915,"('Cholangiocyte', 'Kupffer', 'Monocyte')"
"('Cholangiocyte', 'Kupffer', 'Neutrophil')",0.6871,"('Cholangiocyte', 'Kupffer', 'Neutrophil')"
"('Cholangiocyte', 'Kupffer', 'Stellate')",0.7742,"('Cholangiocyte', 'Kupffer', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'Monocyte')",0.6664,"('Cholangiocyte', 'LSEC', 'Monocyte')"
"('Cholangiocyte', 'LSEC', 'Neutrophil')",0.7182,"('Cholangiocyte', 'LSEC', 'Neutrophil')"
"('Cholangiocyte', 'LSEC', 'Stellate')",0.7474,"('Cholangiocyte', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Monocyte', 'Neutrophil')",0.7809,"('Cholangiocyte', 'Monocyte', 'Neutrophil')"
"('Cholangiocyte', 'Monocyte', 'Stellate')",0.8242,"('Cholangiocyte', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Neutrophil', 'Stellate')",0.6308,"('Cholangiocyte', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC')",0.6301,"('Hepatocyte', 'Kupffer', 'LSEC')"
"('Hepatocyte', 'Kupffer', 'Monocyte')",0.663,"('Hepatocyte', 'Kupffer', 'Monocyte')"
"('Hepatocyte', 'Kupffer', 'Neutrophil')",0.6596,"('Hepatocyte', 'Kupffer', 'Neutrophil')"
"('Hepatocyte', 'Kupffer', 'Stellate')",0.7215,"('Hepatocyte', 'Kupffer', 'Stellate')"
"('Hepatocyte', 'LSEC', 'Monocyte')",0.5411,"('Hepatocyte', 'LSEC', 'Monocyte')"
"('Hepatocyte', 'LSEC', 'Neutrophil')",0.6106,"('Hepatocyte', 'LSEC', 'Neutrophil')"
"('Hepatocyte', 'LSEC', 'Stellate')",0.6707,"('Hepatocyte', 'LSEC', 'Stellate')"
"('Hepatocyte', 'Monocyte', 'Neutrophil')",0.6028,"('Hepatocyte', 'Monocyte', 'Neutrophil')"
"('Hepatocyte', 'Monocyte', 'Stellate')",0.7313,"('Hepatocyte', 'Monocyte', 'Stellate')"
"('Hepatocyte', 'Neutrophil', 'Stellate')",0.5626,"('Hepatocyte', 'Neutrophil', 'Stellate')"
"('Kupffer', 'LSEC', 'Monocyte')",0.6326,"('Kupffer', 'LSEC', 'Monocyte')"
"('Kupffer', 'LSEC', 'Neutrophil')",0.6452,"('Kupffer', 'LSEC', 'Neutrophil')"
"('Kupffer', 'LSEC', 'Stellate')",0.7187,"('Kupffer', 'LSEC', 'Stellate')"
"('Kupffer', 'Monocyte', 'Neutrophil')",0.7409,"('Kupffer', 'Monocyte', 'Neutrophil')"
"('Kupffer', 'Monocyte', 'Stellate')",0.7756,"('Kupffer', 'Monocyte', 'Stellate')"
"('Kupffer', 'Neutrophil', 'Stellate')",0.78,"('Kupffer', 'Neutrophil', 'Stellate')"
"('LSEC', 'Monocyte', 'Neutrophil')",0.6762,"('LSEC', 'Monocyte', 'Neutrophil')"
"('LSEC', 'Monocyte', 'Stellate')",0.7334,"('LSEC', 'Monocyte', 'Stellate')"
"('LSEC', 'Neutrophil', 'Stellate')",0.6923,"('LSEC', 'Neutrophil', 'Stellate')"
"('Monocyte', 'Neutrophil', 'Stellate')",0.7923,"('Monocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte')",0.5924,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer')",0.6996,"('B', 'CD8', 'Cholangiocyte', 'Kupffer')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC')",0.7198,"('B', 'CD8', 'Cholangiocyte', 'LSEC')"
"('B', 'CD8', 'Cholangiocyte', 'Monocyte')",0.6886,"('B', 'CD8', 'Cholangiocyte', 'Monocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Neutrophil')",0.6314,"('B', 'CD8', 'Cholangiocyte', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Stellate')",0.7882,"('B', 'CD8', 'Cholangiocyte', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer')",0.6218,"('B', 'CD8', 'Hepatocyte', 'Kupffer')"
"('B', 'CD8', 'Hepatocyte', 'LSEC')",0.5066,"('B', 'CD8', 'Hepatocyte', 'LSEC')"
"('B', 'CD8', 'Hepatocyte', 'Monocyte')",0.6712,"('B', 'CD8', 'Hepatocyte', 'Monocyte')"
"('B', 'CD8', 'Hepatocyte', 'Neutrophil')",0.4705,"('B', 'CD8', 'Hepatocyte', 'Neutrophil')"
"('B', 'CD8', 'Hepatocyte', 'Stellate')",0.6415,"('B', 'CD8', 'Hepatocyte', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'LSEC')",0.608,"('B', 'CD8', 'Kupffer', 'LSEC')"
"('B', 'CD8', 'Kupffer', 'Monocyte')",0.6549,"('B', 'CD8', 'Kupffer', 'Monocyte')"
"('B', 'CD8', 'Kupffer', 'Neutrophil')",0.7544,"('B', 'CD8', 'Kupffer', 'Neutrophil')"
"('B', 'CD8', 'Kupffer', 'Stellate')",0.7202,"('B', 'CD8', 'Kupffer', 'Stellate')"
"('B', 'CD8', 'LSEC', 'Monocyte')",0.5904,"('B', 'CD8', 'LSEC', 'Monocyte')"
"('B', 'CD8', 'LSEC', 'Neutrophil')",0.6876,"('B', 'CD8', 'LSEC', 'Neutrophil')"
"('B', 'CD8', 'LSEC', 'Stellate')",0.6956,"('B', 'CD8', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Monocyte', 'Neutrophil')",0.7358,"('B', 'CD8', 'Monocyte', 'Neutrophil')"
"('B', 'CD8', 'Monocyte', 'Stellate')",0.7221,"('B', 'CD8', 'Monocyte', 'Stellate')"
"('B', 'CD8', 'Neutrophil', 'Stellate')",0.6765,"('B', 'CD8', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.7056,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC')",0.5362,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')",0.7076,"('B', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')",0.6514,"('B', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Stellate')",0.7562,"('B', 'Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC')",0.6352,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC')"
"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte')",0.6914,"('B', 'Cholangiocyte', 'Kupffer', 'Monocyte')"
"('B', 'Cholangiocyte', 'Kupffer', 'Neutrophil')",0.6895,"('B', 'Cholangiocyte', 'Kupffer', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Kupffer', 'Stellate')",0.7737,"('B', 'Cholangiocyte', 'Kupffer', 'Stellate')"
"('B', 'Cholangiocyte', 'LSEC', 'Monocyte')",0.6704,"('B', 'Cholangiocyte', 'LSEC', 'Monocyte')"
"('B', 'Cholangiocyte', 'LSEC', 'Neutrophil')",0.7749,"('B', 'Cholangiocyte', 'LSEC', 'Neutrophil')"
"('B', 'Cholangiocyte', 'LSEC', 'Stellate')",0.7379,"('B', 'Cholangiocyte', 'LSEC', 'Stellate')"
"('B', 'Cholangiocyte', 'Monocyte', 'Neutrophil')",0.7508,"('B', 'Cholangiocyte', 'Monocyte', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Monocyte', 'Stellate')",0.8225,"('B', 'Cholangiocyte', 'Monocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Neutrophil', 'Stellate')",0.7264,"('B', 'Cholangiocyte', 'Neutrophil', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC')",0.6394,"('B', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('B', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.6484,"('B', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('B', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.6809,"('B', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('B', 'Hepatocyte', 'Kupffer', 'Stellate')",0.7074,"('B', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('B', 'Hepatocyte', 'LSEC', 'Monocyte')",0.5578,"('B', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('B', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.7321,"('B', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('B', 'Hepatocyte', 'LSEC', 'Stellate')",0.7097,"('B', 'Hepatocyte', 'LSEC', 'Stellate')"
"('B', 'Hepatocyte', 'Monocyte', 'Neutrophil')",0.6652,"('B', 'Hepatocyte', 'Monocyte', 'Neutrophil')"
"('B', 'Hepatocyte', 'Monocyte', 'Stellate')",0.7564,"('B', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('B', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.5908,"('B', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('B', 'Kupffer', 'LSEC', 'Monocyte')",0.6391,"('B', 'Kupffer', 'LSEC', 'Monocyte')"
"('B', 'Kupffer', 'LSEC', 'Neutrophil')",0.6631,"('B', 'Kupffer', 'LSEC', 'Neutrophil')"
"('B', 'Kupffer', 'LSEC', 'Stellate')",0.7217,"('B', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'Kupffer', 'Monocyte', 'Neutrophil')",0.7423,"('B', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('B', 'Kupffer', 'Monocyte', 'Stellate')",0.7489,"('B', 'Kupffer', 'Monocyte', 'Stellate')"
"('B', 'Kupffer', 'Neutrophil', 'Stellate')",0.7802,"('B', 'Kupffer', 'Neutrophil', 'Stellate')"
"('B', 'LSEC', 'Monocyte', 'Neutrophil')",0.6881,"('B', 'LSEC', 'Monocyte', 'Neutrophil')"
"('B', 'LSEC', 'Monocyte', 'Stellate')",0.726,"('B', 'LSEC', 'Monocyte', 'Stellate')"
"('B', 'LSEC', 'Neutrophil', 'Stellate')",0.736,"('B', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'Monocyte', 'Neutrophil', 'Stellate')",0.8016,"('B', 'Monocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.6705,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC')",0.5269,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')",0.6417,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')",0.5066,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Stellate')",0.5734,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC')",0.6129,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte')",0.7237,"('CD8', 'Cholangiocyte', 'Kupffer', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil')",0.7049,"('CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Stellate')",0.7749,"('CD8', 'Cholangiocyte', 'Kupffer', 'Stellate')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte')",0.7092,"('CD8', 'Cholangiocyte', 'LSEC', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil')",0.6359,"('CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Stellate')",0.5158,"('CD8', 'Cholangiocyte', 'LSEC', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Monocyte', 'Neutrophil')",0.6762,"('CD8', 'Cholangiocyte', 'Monocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Monocyte', 'Stellate')",0.8211,"('CD8', 'Cholangiocyte', 'Monocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Neutrophil', 'Stellate')",0.5617,"('CD8', 'Cholangiocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC')",0.502,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte')",0.694,"('CD8', 'Hepatocyte', 'Kupffer', 'Monocyte')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.6548,"('CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Stellate')",0.7161,"('CD8', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte')",0.4326,"('CD8', 'Hepatocyte', 'LSEC', 'Monocyte')"
"('CD8', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.582,"('CD8', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'LSEC', 'Stellate')",0.4784,"('CD8', 'Hepatocyte', 'LSEC', 'Stellate')"
"('CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil')",0.6092,"('CD8', 'Hepatocyte', 'Monocyte', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'Monocyte', 'Stellate')",0.7301,"('CD8', 'Hepatocyte', 'Monocyte', 'Stellate')"
"('CD8', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.5335,"('CD8', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC', 'Monocyte')",0.6237,"('CD8', 'Kupffer', 'LSEC', 'Monocyte')"
"('CD8', 'Kupffer', 'LSEC', 'Neutrophil')",0.6411,"('CD8', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD8', 'Kupffer', 'LSEC', 'Stellate')",0.6892,"('CD8', 'Kupffer', 'LSEC', 'Stellate')"
"('CD8', 'Kupffer', 'Monocyte', 'Neutrophil')",0.7318,"('CD8', 'Kupffer', 'Monocyte', 'Neutrophil')"
"('CD8', 'Kupffer', 'Monocyte', 'Stellate')",0.7559,"('CD8', 'Kupffer', 'Monocyte', 'Stellate')"
"('CD8', 'Kupffer', 'Neutrophil', 'Stellate')",0.79,"('CD8', 'Kupffer', 'Neutrophil', 'Stellate')"
