,Monocyte,pair
"('B', 'LSEC', 'NK')",0.514,"('B', 'LSEC', 'NK')"
"('B', 'LSEC', 'Neutrophil')",0.7005,"('B', 'LSEC', 'Neutrophil')"
"('B', 'LSEC', 'Stellate')",0.2609,"('B', 'LSEC', 'Stellate')"
"('B', 'NK', 'Neutrophil')",0.695,"('B', 'NK', 'Neutrophil')"
"('B', 'NK', 'Stellate')",0.5607,"('B', 'NK', 'Stellate')"
"('B', 'Neutrophil', 'Stellate')",0.6389,"('B', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte')",0.7568,"('CD8', 'Cholangiocyte', 'Hepatocyte')"
"('CD8', 'Cholangiocyte', 'Kupffer')",0.3536,"('CD8', 'Cholangiocyte', 'Kupffer')"
"('CD8', 'Cholangiocyte', 'LSEC')",0.6091,"('CD8', 'Cholangiocyte', 'LSEC')"
"('CD8', 'Cholangiocyte', 'NK')",0.7034,"('CD8', 'Cholangiocyte', 'NK')"
"('CD8', 'Cholangiocyte', 'Neutrophil')",0.7232,"('CD8', 'Cholangiocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Stellate')",0.6661,"('CD8', 'Cholangiocyte', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer')",0.3883,"('CD8', 'Hepatocyte', 'Kupffer')"
"('CD8', 'Hepatocyte', 'LSEC')",0.5038,"('CD8', 'Hepatocyte', 'LSEC')"
"('CD8', 'Hepatocyte', 'NK')",0.74,"('CD8', 'Hepatocyte', 'NK')"
"('CD8', 'Hepatocyte', 'Neutrophil')",0.6913,"('CD8', 'Hepatocyte', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'Stellate')",0.6751,"('CD8', 'Hepatocyte', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC')",0.1861,"('CD8', 'Kupffer', 'LSEC')"
"('CD8', 'Kupffer', 'NK')",0.4431,"('CD8', 'Kupffer', 'NK')"
"('CD8', 'Kupffer', 'Neutrophil')",0.7446,"('CD8', 'Kupffer', 'Neutrophil')"
"('CD8', 'Kupffer', 'Stellate')",0.527,"('CD8', 'Kupffer', 'Stellate')"
"('CD8', 'LSEC', 'NK')",0.5823,"('CD8', 'LSEC', 'NK')"
"('CD8', 'LSEC', 'Neutrophil')",0.7188,"('CD8', 'LSEC', 'Neutrophil')"
"('CD8', 'LSEC', 'Stellate')",0.5541,"('CD8', 'LSEC', 'Stellate')"
"('CD8', 'NK', 'Neutrophil')",0.658,"('CD8', 'NK', 'Neutrophil')"
"('CD8', 'NK', 'Stellate')",0.5369,"('CD8', 'NK', 'Stellate')"
"('CD8', 'Neutrophil', 'Stellate')",0.6075,"('CD8', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.1222,"('Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC')",0.3141,"('Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('Cholangiocyte', 'Hepatocyte', 'NK')",0.7388,"('Cholangiocyte', 'Hepatocyte', 'NK')"
"('Cholangiocyte', 'Hepatocyte', 'Neutrophil')",0.7123,"('Cholangiocyte', 'Hepatocyte', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'Stellate')",0.5644,"('Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'LSEC')",-0.0714,"('Cholangiocyte', 'Kupffer', 'LSEC')"
"('Cholangiocyte', 'Kupffer', 'NK')",0.3519,"('Cholangiocyte', 'Kupffer', 'NK')"
"('Cholangiocyte', 'Kupffer', 'Neutrophil')",0.3853,"('Cholangiocyte', 'Kupffer', 'Neutrophil')"
"('Cholangiocyte', 'Kupffer', 'Stellate')",0.2165,"('Cholangiocyte', 'Kupffer', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'NK')",0.5649,"('Cholangiocyte', 'LSEC', 'NK')"
"('Cholangiocyte', 'LSEC', 'Neutrophil')",0.6634,"('Cholangiocyte', 'LSEC', 'Neutrophil')"
"('Cholangiocyte', 'LSEC', 'Stellate')",0.4232,"('Cholangiocyte', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'NK', 'Neutrophil')",0.6967,"('Cholangiocyte', 'NK', 'Neutrophil')"
"('Cholangiocyte', 'NK', 'Stellate')",0.6642,"('Cholangiocyte', 'NK', 'Stellate')"
"('Cholangiocyte', 'Neutrophil', 'Stellate')",0.6576,"('Cholangiocyte', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC')",0.0257,"('Hepatocyte', 'Kupffer', 'LSEC')"
"('Hepatocyte', 'Kupffer', 'NK')",0.3723,"('Hepatocyte', 'Kupffer', 'NK')"
"('Hepatocyte', 'Kupffer', 'Neutrophil')",0.456,"('Hepatocyte', 'Kupffer', 'Neutrophil')"
"('Hepatocyte', 'Kupffer', 'Stellate')",0.1729,"('Hepatocyte', 'Kupffer', 'Stellate')"
"('Hepatocyte', 'LSEC', 'NK')",0.4951,"('Hepatocyte', 'LSEC', 'NK')"
"('Hepatocyte', 'LSEC', 'Neutrophil')",0.5969,"('Hepatocyte', 'LSEC', 'Neutrophil')"
"('Hepatocyte', 'LSEC', 'Stellate')",0.3609,"('Hepatocyte', 'LSEC', 'Stellate')"
"('Hepatocyte', 'NK', 'Neutrophil')",0.6835,"('Hepatocyte', 'NK', 'Neutrophil')"
"('Hepatocyte', 'NK', 'Stellate')",0.6656,"('Hepatocyte', 'NK', 'Stellate')"
"('Hepatocyte', 'Neutrophil', 'Stellate')",0.5932,"('Hepatocyte', 'Neutrophil', 'Stellate')"
"('Kupffer', 'LSEC', 'NK')",0.1827,"('Kupffer', 'LSEC', 'NK')"
"('Kupffer', 'LSEC', 'Neutrophil')",0.2703,"('Kupffer', 'LSEC', 'Neutrophil')"
"('Kupffer', 'LSEC', 'Stellate')",0.0694,"('Kupffer', 'LSEC', 'Stellate')"
"('Kupffer', 'NK', 'Neutrophil')",0.7291,"('Kupffer', 'NK', 'Neutrophil')"
"('Kupffer', 'NK', 'Stellate')",0.5136,"('Kupffer', 'NK', 'Stellate')"
"('Kupffer', 'Neutrophil', 'Stellate')",0.4801,"('Kupffer', 'Neutrophil', 'Stellate')"
"('LSEC', 'NK', 'Neutrophil')",0.7154,"('LSEC', 'NK', 'Neutrophil')"
"('LSEC', 'NK', 'Stellate')",0.5403,"('LSEC', 'NK', 'Stellate')"
"('LSEC', 'Neutrophil', 'Stellate')",0.5841,"('LSEC', 'Neutrophil', 'Stellate')"
"('NK', 'Neutrophil', 'Stellate')",0.6138,"('NK', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte')",0.766,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer')",0.3142,"('B', 'CD8', 'Cholangiocyte', 'Kupffer')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC')",0.5804,"('B', 'CD8', 'Cholangiocyte', 'LSEC')"
"('B', 'CD8', 'Cholangiocyte', 'NK')",0.7467,"('B', 'CD8', 'Cholangiocyte', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'Neutrophil')",0.7176,"('B', 'CD8', 'Cholangiocyte', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Stellate')",0.6831,"('B', 'CD8', 'Cholangiocyte', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer')",0.3642,"('B', 'CD8', 'Hepatocyte', 'Kupffer')"
"('B', 'CD8', 'Hepatocyte', 'LSEC')",0.4947,"('B', 'CD8', 'Hepatocyte', 'LSEC')"
"('B', 'CD8', 'Hepatocyte', 'NK')",0.7498,"('B', 'CD8', 'Hepatocyte', 'NK')"
"('B', 'CD8', 'Hepatocyte', 'Neutrophil')",0.6807,"('B', 'CD8', 'Hepatocyte', 'Neutrophil')"
"('B', 'CD8', 'Hepatocyte', 'Stellate')",0.7084,"('B', 'CD8', 'Hepatocyte', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'LSEC')",0.1533,"('B', 'CD8', 'Kupffer', 'LSEC')"
"('B', 'CD8', 'Kupffer', 'NK')",0.3883,"('B', 'CD8', 'Kupffer', 'NK')"
"('B', 'CD8', 'Kupffer', 'Neutrophil')",0.7646,"('B', 'CD8', 'Kupffer', 'Neutrophil')"
"('B', 'CD8', 'Kupffer', 'Stellate')",0.4975,"('B', 'CD8', 'Kupffer', 'Stellate')"
"('B', 'CD8', 'LSEC', 'NK')",0.5561,"('B', 'CD8', 'LSEC', 'NK')"
"('B', 'CD8', 'LSEC', 'Neutrophil')",0.7537,"('B', 'CD8', 'LSEC', 'Neutrophil')"
"('B', 'CD8', 'LSEC', 'Stellate')",0.569,"('B', 'CD8', 'LSEC', 'Stellate')"
"('B', 'CD8', 'NK', 'Neutrophil')",0.6973,"('B', 'CD8', 'NK', 'Neutrophil')"
"('B', 'CD8', 'NK', 'Stellate')",0.5705,"('B', 'CD8', 'NK', 'Stellate')"
"('B', 'CD8', 'Neutrophil', 'Stellate')",0.6528,"('B', 'CD8', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.19,"('B', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC')",0.3507,"('B', 'Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'NK')",0.7415,"('B', 'Cholangiocyte', 'Hepatocyte', 'NK')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')",0.758,"('B', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Hepatocyte', 'Stellate')",0.612,"('B', 'Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('B', 'Cholangiocyte', 'Kupffer', 'LSEC')",-0.07,"('B', 'Cholangiocyte', 'Kupffer', 'LSEC')"
"('B', 'Cholangiocyte', 'Kupffer', 'NK')",0.3179,"('B', 'Cholangiocyte', 'Kupffer', 'NK')"
"('B', 'Cholangiocyte', 'Kupffer', 'Neutrophil')",0.4595,"('B', 'Cholangiocyte', 'Kupffer', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Kupffer', 'Stellate')",0.2162,"('B', 'Cholangiocyte', 'Kupffer', 'Stellate')"
"('B', 'Cholangiocyte', 'LSEC', 'NK')",0.5711,"('B', 'Cholangiocyte', 'LSEC', 'NK')"
"('B', 'Cholangiocyte', 'LSEC', 'Neutrophil')",0.7369,"('B', 'Cholangiocyte', 'LSEC', 'Neutrophil')"
"('B', 'Cholangiocyte', 'LSEC', 'Stellate')",0.4311,"('B', 'Cholangiocyte', 'LSEC', 'Stellate')"
"('B', 'Cholangiocyte', 'NK', 'Neutrophil')",0.7211,"('B', 'Cholangiocyte', 'NK', 'Neutrophil')"
"('B', 'Cholangiocyte', 'NK', 'Stellate')",0.6789,"('B', 'Cholangiocyte', 'NK', 'Stellate')"
"('B', 'Cholangiocyte', 'Neutrophil', 'Stellate')",0.677,"('B', 'Cholangiocyte', 'Neutrophil', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer', 'LSEC')",0.0984,"('B', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('B', 'Hepatocyte', 'Kupffer', 'NK')",0.3851,"('B', 'Hepatocyte', 'Kupffer', 'NK')"
"('B', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.5033,"('B', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('B', 'Hepatocyte', 'Kupffer', 'Stellate')",0.2112,"('B', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('B', 'Hepatocyte', 'LSEC', 'NK')",0.5222,"('B', 'Hepatocyte', 'LSEC', 'NK')"
"('B', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.6311,"('B', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('B', 'Hepatocyte', 'LSEC', 'Stellate')",0.3732,"('B', 'Hepatocyte', 'LSEC', 'Stellate')"
"('B', 'Hepatocyte', 'NK', 'Neutrophil')",0.6717,"('B', 'Hepatocyte', 'NK', 'Neutrophil')"
"('B', 'Hepatocyte', 'NK', 'Stellate')",0.7,"('B', 'Hepatocyte', 'NK', 'Stellate')"
"('B', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.6171,"('B', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('B', 'Kupffer', 'LSEC', 'NK')",0.1894,"('B', 'Kupffer', 'LSEC', 'NK')"
"('B', 'Kupffer', 'LSEC', 'Neutrophil')",0.435,"('B', 'Kupffer', 'LSEC', 'Neutrophil')"
"('B', 'Kupffer', 'LSEC', 'Stellate')",0.0809,"('B', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'Kupffer', 'NK', 'Neutrophil')",0.7625,"('B', 'Kupffer', 'NK', 'Neutrophil')"
"('B', 'Kupffer', 'NK', 'Stellate')",0.5363,"('B', 'Kupffer', 'NK', 'Stellate')"
"('B', 'Kupffer', 'Neutrophil', 'Stellate')",0.5849,"('B', 'Kupffer', 'Neutrophil', 'Stellate')"
"('B', 'LSEC', 'NK', 'Neutrophil')",0.75,"('B', 'LSEC', 'NK', 'Neutrophil')"
"('B', 'LSEC', 'NK', 'Stellate')",0.5547,"('B', 'LSEC', 'NK', 'Stellate')"
"('B', 'LSEC', 'Neutrophil', 'Stellate')",0.6528,"('B', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'NK', 'Neutrophil', 'Stellate')",0.654,"('B', 'NK', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.471,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC')",0.539,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'NK')",0.7702,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'NK')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')",0.7207,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Stellate')",0.725,"('CD8', 'Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC')",0.2417,"('CD8', 'Cholangiocyte', 'Kupffer', 'LSEC')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'NK')",0.3606,"('CD8', 'Cholangiocyte', 'Kupffer', 'NK')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil')",0.677,"('CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Kupffer', 'Stellate')",0.451,"('CD8', 'Cholangiocyte', 'Kupffer', 'Stellate')"
"('CD8', 'Cholangiocyte', 'LSEC', 'NK')",0.6408,"('CD8', 'Cholangiocyte', 'LSEC', 'NK')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil')",0.7682,"('CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'LSEC', 'Stellate')",0.6422,"('CD8', 'Cholangiocyte', 'LSEC', 'Stellate')"
"('CD8', 'Cholangiocyte', 'NK', 'Neutrophil')",0.723,"('CD8', 'Cholangiocyte', 'NK', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'NK', 'Stellate')",0.6887,"('CD8', 'Cholangiocyte', 'NK', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Neutrophil', 'Stellate')",0.6899,"('CD8', 'Cholangiocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC')",0.3554,"('CD8', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('CD8', 'Hepatocyte', 'Kupffer', 'NK')",0.432,"('CD8', 'Hepatocyte', 'Kupffer', 'NK')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.6344,"('CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'Kupffer', 'Stellate')",0.4362,"('CD8', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('CD8', 'Hepatocyte', 'LSEC', 'NK')",0.5509,"('CD8', 'Hepatocyte', 'LSEC', 'NK')"
"('CD8', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.6859,"('CD8', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'LSEC', 'Stellate')",0.5516,"('CD8', 'Hepatocyte', 'LSEC', 'Stellate')"
"('CD8', 'Hepatocyte', 'NK', 'Neutrophil')",0.6923,"('CD8', 'Hepatocyte', 'NK', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'NK', 'Stellate')",0.6786,"('CD8', 'Hepatocyte', 'NK', 'Stellate')"
"('CD8', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.6578,"('CD8', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC', 'NK')",0.2381,"('CD8', 'Kupffer', 'LSEC', 'NK')"
"('CD8', 'Kupffer', 'LSEC', 'Neutrophil')",0.6514,"('CD8', 'Kupffer', 'LSEC', 'Neutrophil')"
"('CD8', 'Kupffer', 'LSEC', 'Stellate')",0.3765,"('CD8', 'Kupffer', 'LSEC', 'Stellate')"
"('CD8', 'Kupffer', 'NK', 'Neutrophil')",0.7589,"('CD8', 'Kupffer', 'NK', 'Neutrophil')"
"('CD8', 'Kupffer', 'NK', 'Stellate')",0.563,"('CD8', 'Kupffer', 'NK', 'Stellate')"
"('CD8', 'Kupffer', 'Neutrophil', 'Stellate')",0.688,"('CD8', 'Kupffer', 'Neutrophil', 'Stellate')"
"('CD8', 'LSEC', 'NK', 'Neutrophil')",0.7244,"('CD8', 'LSEC', 'NK', 'Neutrophil')"
"('CD8', 'LSEC', 'NK', 'Stellate')",0.593,"('CD8', 'LSEC', 'NK', 'Stellate')"
"('CD8', 'LSEC', 'Neutrophil', 'Stellate')",0.6651,"('CD8', 'LSEC', 'Neutrophil', 'Stellate')"
"('CD8', 'NK', 'Neutrophil', 'Stellate')",0.6128,"('CD8', 'NK', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')",0.1339,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')",0.4603,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'NK')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.5414,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')",0.2377,"('Cholangiocyte', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')",0.5736,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'NK')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.6183,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')",0.4355,"('Cholangiocyte', 'Hepatocyte', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'NK', 'Neutrophil')",0.7305,"('Cholangiocyte', 'Hepatocyte', 'NK', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')",0.7276,"('Cholangiocyte', 'Hepatocyte', 'NK', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.7089,"('Cholangiocyte', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'NK')",0.2187,"('Cholangiocyte', 'Kupffer', 'LSEC', 'NK')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.369,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')",0.1601,"('Cholangiocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'NK', 'Neutrophil')",0.6469,"('Cholangiocyte', 'Kupffer', 'NK', 'Neutrophil')"
"('Cholangiocyte', 'Kupffer', 'NK', 'Stellate')",0.4196,"('Cholangiocyte', 'Kupffer', 'NK', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.5134,"('Cholangiocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'NK', 'Neutrophil')",0.7563,"('Cholangiocyte', 'LSEC', 'NK', 'Neutrophil')"
"('Cholangiocyte', 'LSEC', 'NK', 'Stellate')",0.6121,"('Cholangiocyte', 'LSEC', 'NK', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')",0.6356,"('Cholangiocyte', 'LSEC', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'NK', 'Neutrophil', 'Stellate')",0.6891,"('Cholangiocyte', 'NK', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'NK')",0.3671,"('Hepatocyte', 'Kupffer', 'LSEC', 'NK')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')",0.4403,"('Hepatocyte', 'Kupffer', 'LSEC', 'Neutrophil')"
"('Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')",0.2417,"('Hepatocyte', 'Kupffer', 'LSEC', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'NK', 'Neutrophil')",0.6229,"('Hepatocyte', 'Kupffer', 'NK', 'Neutrophil')"
"('Hepatocyte', 'Kupffer', 'NK', 'Stellate')",0.4122,"('Hepatocyte', 'Kupffer', 'NK', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')",0.4756,"('Hepatocyte', 'Kupffer', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'LSEC', 'NK', 'Neutrophil')",0.6786,"('Hepatocyte', 'LSEC', 'NK', 'Neutrophil')"
