,Monocyte,pair
"('B',)",0.3111,"('B',)"
"('CD8',)",0.5979,"('CD8',)"
"('Cholangiocyte',)",0.4573,"('Cholangiocyte',)"
"('Hepatocyte',)",0.3783,"('Hepatocyte',)"
"('Kupffer',)",-0.2411,"('Kupffer',)"
"('LSEC',)",-0.1868,"('LSEC',)"
"('NK',)",0.5934,"('NK',)"
"('Neutrophil',)",0.6267,"('Neutrophil',)"
"('Stellate',)",0.2634,"('Stellate',)"
"('B', 'CD8')",0.6315,"('B', 'CD8')"
"('B', 'Cholangiocyte')",0.5764,"('B', 'Cholangiocyte')"
"('B', 'Hepatocyte')",0.5358,"('B', 'Hepatocyte')"
"('B', 'Kupffer')",-0.1885,"('B', 'Kupffer')"
"('B', 'LSEC')",-0.0588,"('B', 'LSEC')"
"('B', 'NK')",0.647,"('B', 'NK')"
"('B', 'Neutrophil')",0.7185,"('B', 'Neutrophil')"
"('B', 'Stellate')",0.4202,"('B', 'Stellate')"
"('CD8', 'Cholangiocyte')",0.6989,"('CD8', 'Cholangiocyte')"
"('CD8', 'Hepatocyte')",0.7199,"('CD8', 'Hepatocyte')"
"('CD8', 'Kupffer')",0.3924,"('CD8', 'Kupffer')"
"('CD8', 'LSEC')",0.5119,"('CD8', 'LSEC')"
"('CD8', 'NK')",0.6122,"('CD8', 'NK')"
"('CD8', 'Neutrophil')",0.6449,"('CD8', 'Neutrophil')"
"('CD8', 'Stellate')",0.5113,"('CD8', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte')",0.5006,"('Cholangiocyte', 'Hepatocyte')"
"('Cholangiocyte', 'Kupffer')",0.0204,"('Cholangiocyte', 'Kupffer')"
"('Cholangiocyte', 'LSEC')",0.1559,"('Cholangiocyte', 'LSEC')"
"('Cholangiocyte', 'NK')",0.6995,"('Cholangiocyte', 'NK')"
"('Cholangiocyte', 'Neutrophil')",0.7133,"('Cholangiocyte', 'Neutrophil')"
"('Cholangiocyte', 'Stellate')",0.5271,"('Cholangiocyte', 'Stellate')"
"('Hepatocyte', 'Kupffer')",0.0143,"('Hepatocyte', 'Kupffer')"
"('Hepatocyte', 'LSEC')",0.2144,"('Hepatocyte', 'LSEC')"
"('Hepatocyte', 'NK')",0.7152,"('Hepatocyte', 'NK')"
"('Hepatocyte', 'Neutrophil')",0.647,"('Hepatocyte', 'Neutrophil')"
"('Hepatocyte', 'Stellate')",0.5103,"('Hepatocyte', 'Stellate')"
"('Kupffer', 'LSEC')",-0.1389,"('Kupffer', 'LSEC')"
"('Kupffer', 'NK')",0.3584,"('Kupffer', 'NK')"
"('Kupffer', 'Neutrophil')",0.3335,"('Kupffer', 'Neutrophil')"
"('Kupffer', 'Stellate')",0.0712,"('Kupffer', 'Stellate')"
"('LSEC', 'NK')",0.4872,"('LSEC', 'NK')"
"('LSEC', 'Neutrophil')",0.5617,"('LSEC', 'Neutrophil')"
"('LSEC', 'Stellate')",0.1985,"('LSEC', 'Stellate')"
"('NK', 'Neutrophil')",0.6561,"('NK', 'Neutrophil')"
"('NK', 'Stellate')",0.5254,"('NK', 'Stellate')"
"('Neutrophil', 'Stellate')",0.5688,"('Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte')",0.7307,"('B', 'CD8', 'Cholangiocyte')"
"('B', 'CD8', 'Hepatocyte')",0.721,"('B', 'CD8', 'Hepatocyte')"
"('B', 'CD8', 'Kupffer')",0.3636,"('B', 'CD8', 'Kupffer')"
"('B', 'CD8', 'LSEC')",0.4935,"('B', 'CD8', 'LSEC')"
"('B', 'CD8', 'NK')",0.6481,"('B', 'CD8', 'NK')"
"('B', 'CD8', 'Neutrophil')",0.6907,"('B', 'CD8', 'Neutrophil')"
"('B', 'CD8', 'Stellate')",0.553,"('B', 'CD8', 'Stellate')"
"('B', 'Cholangiocyte', 'Hepatocyte')",0.5966,"('B', 'Cholangiocyte', 'Hepatocyte')"
"('B', 'Cholangiocyte', 'Kupffer')",0.0882,"('B', 'Cholangiocyte', 'Kupffer')"
"('B', 'Cholangiocyte', 'LSEC')",0.1941,"('B', 'Cholangiocyte', 'LSEC')"
"('B', 'Cholangiocyte', 'NK')",0.7716,"('B', 'Cholangiocyte', 'NK')"
"('B', 'Cholangiocyte', 'Neutrophil')",0.7606,"('B', 'Cholangiocyte', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Stellate')",0.5798,"('B', 'Cholangiocyte', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer')",0.0906,"('B', 'Hepatocyte', 'Kupffer')"
"('B', 'Hepatocyte', 'LSEC')",0.2778,"('B', 'Hepatocyte', 'LSEC')"
"('B', 'Hepatocyte', 'NK')",0.7195,"('B', 'Hepatocyte', 'NK')"
"('B', 'Hepatocyte', 'Neutrophil')",0.6764,"('B', 'Hepatocyte', 'Neutrophil')"
"('B', 'Hepatocyte', 'Stellate')",0.569,"('B', 'Hepatocyte', 'Stellate')"
"('B', 'Kupffer', 'LSEC')",-0.093,"('B', 'Kupffer', 'LSEC')"
"('B', 'Kupffer', 'NK')",0.3886,"('B', 'Kupffer', 'NK')"
"('B', 'Kupffer', 'Neutrophil')",0.5771,"('B', 'Kupffer', 'Neutrophil')"
"('B', 'Kupffer', 'Stellate')",0.127,"('B', 'Kupffer', 'Stellate')"
