,Neutrophil
B,-0.11252557095749877
Basophil,0.029107955239374705
CD4,0.042373127976917446
CD8,0.08134999389350267
Cholangiocyte,-0.03708766831033217
Eosinophil,-0.08165579582926233
Hepatocyte,-0.3742688900677821
Kupffer,0.7621242595872008
LSEC,0.09774116847826086
Monocyte,0.38790808576575475
NK,-0.10861073369565216
Stellate,-0.10462886808439181
