,NK
B,-0.053093847322300936
Basophil,0.17206869046165119
CD4,-0.17754521670432344
CD8,0.1271709075018319
Cholangiocyte,0.07975467147044457
Eosinophil,0.2639523922203224
Hepatocyte,0.2092617912646556
Kupffer,-0.03887978215070831
LSEC,0.1999209971910112
Neutrophil,0.38464444919394236
Monocyte,0.084571409761236
Stellate,0.27474037845017096
