,B,Basophil,CD4,CD8,Cholangiocyte,Eosinophil,Hepatocyte,Kupffer,LSEC,Monocyte,NK,Neutrophil,Stellate
1810014B01RIK,6.894459168896658,9.558403502577901,6.3070249566341925,6.8954759074516,5.230194755996626,5.404626372184136,6.899986543309534,7.073296299639665,3.9445445397154866,5.681578467072643,6.401633057963101,0.0,5.1349671540866195
2010003K11RIK,0.0,0.0,0.0,0.0,3.9782608609366084,0.0,9.132969936582178,0.0,0.0,0.0,0.0,0.0,0.3905095840314483
2310015A16RIK,0.0,0.0,0.0,0.0,3.389767827828305,0.0,10.27152576024293,0.6800397015025941,1.0574032249108727,0.0,0.0,0.0,1.5622330364352774
2510016D11RIK,3.686890208957004,0.0,4.928870633822839,4.6598945961913465,2.962294849409438,5.844088214047353,5.259373941470093,0.6100591623837861,3.0111084914323514,7.644205949499767,2.240239863449978,4.725220271146126,2.6338588998191352
2610301B20RIK,6.451083701823182,8.773068193167694,5.564706663375688,5.838958537060015,6.495640001757611,5.824767139401435,7.129563066763202,6.327372328033741,5.900469405537615,5.8901215237592615,6.825658885152542,4.753729382515486,6.3330575606743125
4833418N02RIK,5.3347713224314655,3.3936147264592633,4.291197888758851,4.652698638698363,3.734297293210114,5.528288085938101,6.177025215251648,4.6699962031540485,3.5966256729284263,5.047241706577413,5.201265010537243,8.841164648951974,3.5158330656805825
5330417C22RIK,0.4550546534972621,3.07294952747517,0.372532533526875,0.9345986328320061,10.727628668683707,4.051612767899711,2.510693670622083,0.16724285322431018,3.765983810971747,0.0,0.0,0.0,0.7547989145961086
9030619P08RIK,0.0,0.0,0.0,0.0,6.296621475580944,1.379282386140637,10.436378364916177,3.5624359761319133,1.5150870753844783,3.1444337633070383,0.0,0.0,2.3875689828514326
A2ML1,0.0,0.0,0.0,0.0,3.4773846675237534,0.0,10.187351846524319,1.7428558359032866,0.9642335627569728,0.0,0.0,0.0,2.2928210694292304
AA986860,1.917432814041533,0.0,0.5517516894180827,2.2597078999361244,10.67880996157351,2.0634096027393394,3.9356796627676776,2.721395814156606,4.453500570202332,4.060424993540236,1.6270938896424902,0.0,3.8681232571177153
ABHD12,8.990232662003923,8.478679438631247,8.387066136895573,9.483829347403937,8.331859841291347,9.564554653807305,9.639208201667044,12.419673593567843,9.631819098682541,10.272541654536044,9.168410639989698,8.659077742278352,9.816550190649492
ACOT4,0.0,0.0,0.0,0.0,4.667184242469917,0.0,9.535507621282829,4.765222079395571,1.0322151618469824,0.7449302057685595,0.08063324617648417,0.0,1.3427155209225876
ACTA2,0.8801676976361121,4.723197317512339,2.2639568894160744,1.5387705103695586,3.508696311176627,5.835221453988439,3.007551029553709,2.0442385460484864,2.9855487938258713,6.01224265088204,0.18672627532133296,10.806959975961483,5.575064721410322
ADAMTS13,1.983991149936432,0.0,0.0,0.0,1.42997423501693,0.0,1.2428079256947575,0.8141700491097832,2.4300989691318495,0.0,0.0,0.0,10.591480973352791
ADAMTS14,3.7708779063782583,0.0,1.9816600541762215,5.201349600803646,1.3618706014426332,0.0,1.3806910584753618,0.0,3.4564890735152156,0.0,10.47029969563464,0.0,6.7620892969343664
ADAMTSL2,0.1793240388609794,0.0,0.4549390206275833,2.825675647909621,3.1266751800010795,0.30737116240862467,2.3828378113075077,0.2578585864458143,3.1902875288435437,0.0,0.0,0.0,8.78253468101624
ADGRF5,0.0,0.0,0.0,0.0,2.811930109985083,0.0,6.250398329437808,5.219876121698068,14.777315617627483,0.0,0.0,0.0,8.577557880691892
ADGRL4,1.892531997344977,6.0857794251069945,0.0,0.16497943810251747,2.2616429001693112,4.962139545889557,5.649468856203239,4.494138212561516,13.21557975853618,6.550763968312343,7.359679139464221,5.410926495344911,8.179125970751677
ADIPOR1,10.007418441461772,11.099825938353781,9.722556322016894,9.742586542878541,9.62078624307651,11.936191507609108,10.689039093543784,11.823324384791869,11.873303721616313,10.563070282005496,10.55013920768755,14.797454724422714,10.790226581681148
AFAP1L1,0.0,6.253441119159911,0.4787933200513994,0.15438567900870573,4.643944890245092,1.0258279050043246,3.933949195935245,4.0136259066720745,10.897493092676282,5.374681707582573,1.321163577221888,1.5308526388273924,5.708597729134797
AIF1,4.3213792587281326,3.1475758477572215,3.5413101256495523,5.455277391854466,4.580282433225121,4.378231794599978,6.461107867008208,15.517591579413669,6.6860950360413645,10.439671303896171,4.205022742748834,8.465457490813673,8.672522551569434
AKAP12,6.052527552392314,0.0,4.428108796297187,4.722109204068107,2.19152223861404,1.7324742978165282,3.2911477107313294,4.256986295895863,10.119514488125308,2.4916035552354976,2.054211161897685,0.0,6.140670088010808
ANGPTL2,0.0,0.0,4.343459541496225,3.2277792481240084,4.647861138013454,1.7398980271137017,3.976035100008117,2.0737973354645476,3.642459583872671,6.440951449410527,0.0,0.0,12.118021741891376
ANGPTL6,5.3023914431421515,4.192579074067912,5.7278073654779185,5.7926522738414565,4.3094314724309015,2.730035001631637,7.739942089408775,6.406572248342031,4.899497682033431,4.569959376943776,3.8236264369278086,0.0,13.57472980453091
ANTXR2,4.2668396828902635,8.835355975160612,6.380671408718296,6.368864731237867,8.319657086511482,7.677704762338678,8.16278026467155,4.157857962968849,6.6558720658332415,8.073733973605705,8.657377024215274,11.166162173127436,7.102103849650731
AQP1,0.0,0.0,0.0,3.1948850559852224,5.219754466055062,0.0,9.150751392960629,5.736144333677911,16.916751045443,4.13296928769897,0.0,3.848223110426042,10.82971759788176
ARHGAP44,0.0,0.0,1.0141925514175945,0.0,8.313150820875427,0.0,4.055366509047535,0.0,3.046494847183858,0.0,0.0,0.0,0.1511307508109139
ARHGEF15,0.9212981651864212,2.0532800242621767,0.0,0.0,2.087400058111927,0.0,4.8259215184458775,4.2438199385729085,11.828923028274044,0.0,1.0833819519031618,0.0,6.750330830857374
ARHGEF37,0.0,0.826180012260192,0.0,2.6608225242134136,4.062451404663224,0.0,5.950904504060665,4.4177650517728715,0.1558196541450508,10.121470775325303,0.0,0.0,1.173063377007265
ARL2BP,9.680479313678177,9.765474846178007,10.22529590628667,10.758777003181738,8.396950223617411,10.636220953847404,7.519220063781475,7.885220366117011,9.404133523810017,9.409933170943688,12.391397542859336,10.253591861153932,9.373736342380191
ARRDC3,6.555466665270653,8.016509885701092,7.32198022320243,6.110277291641405,6.826380123990455,7.7335005045599825,9.121084839215026,9.597524184404234,9.421482103655173,8.223195933760374,8.484434177133597,12.594488639082702,8.499495854642173
ASIC5,0.0,0.0,0.0,0.0,3.3682451910069306,0.0,7.644319740441156,0.0,0.0,0.0,0.0,0.0,2.1719845130832023
ATF6,10.550634718778372,6.803936164046113,5.48120329415009,5.291191039757764,7.567667621347879,7.477851550351177,8.556684196031156,6.453973168566906,7.80692890139896,8.656498199449466,7.893203393543976,8.530236810992738,7.390163733223436
ATXN7,8.027578377503625,9.753596906213831,8.016509885701092,6.916362763180995,7.510838023360778,7.777836033415276,6.601510738509288,8.196718429857881,6.875867606492045,7.935842625345912,8.250468347583729,6.914038866093515,6.625125890231817
AU020206,13.204290510554042,5.3458888132216895,10.368609681452396,10.709651744906076,5.27486430992533,9.187078590019983,3.5184179464864753,7.17879908153476,8.522060624983471,9.136585702483332,8.192557768899231,4.6233491811947705,8.636314952241795
AU021092,0.0,0.0,0.0,0.0,0.0985679866910538,0.0,2.9160159819832776,1.0769114999603668,10.271267750766697,0.0,0.0,0.0,4.666295532292284
AW112010,10.623989469543387,10.326759614503114,11.568439420923001,13.621696797300128,10.601082407137453,4.8601484463064955,11.921487540890956,15.24955462916298,11.020484520538565,8.629806105051816,17.808026571865444,9.104876118345839,13.311415828834997
B3GALNT1,0.5617638377349118,0.0,0.0,0.0,2.3506961332079035,4.565769605876942,3.418843432252837,10.181008475144797,2.245404448997392,1.2406434251446843,0.0,0.0,4.279665798015346
BATF3,6.400630834356515,0.0,0.0,4.391185167905427,2.5461738580979985,6.304282958505096,2.3815121973268845,11.76346144679528,5.004695592693179,6.712768187808292,6.134636118650783,7.057291281870821,7.545421537632374
BCAR3,11.307941736464942,7.469847807030628,4.099936228435368,4.887065653831785,7.817924873988506,1.71680326370125,9.266163682959736,4.069321311079626,5.607298457470267,0.8909822146066898,1.4538762357697554,5.308322725874378,4.3251923125453775
BCL7A,9.317667478248332,4.967302266931655,6.573740696975177,6.71678698414485,6.950097051877407,5.263199659345253,5.834647962927663,4.303738993979199,6.21678402948236,6.110512197197512,5.8139988541445256,0.0,4.780509903888822
BEX4,0.0,0.0,0.0,0.0,11.008862800200045,0.0,4.927190100521823,0.0,4.205996902154965,0.0,0.0,0.0,0.3722255616495276
BHLHA15,7.556065761956398,3.9192965159871247,3.7588063130926215,2.4485086910984397,1.1815915637351169,5.800489376077736,4.1159069461416,0.0,1.7767041656598364,3.0797510443863962,0.0777741683309984,0.0,0.5885320689177302
BICC1,0.0,0.0,0.0,0.0,12.23445852283014,0.0,2.4822165869920916,2.1681043210158073,6.326023253092803,0.0,0.0,0.0,6.891656165623052
BIRC2,11.687929185197818,8.843747163985949,9.185759799054045,8.924525342247552,9.830674010636198,8.268303983887911,7.788601265435272,8.196270032314239,8.827896423710857,8.061318955156263,9.616226895395734,9.210351880700442,9.03464307547818
BMP10,0.0,0.0,0.0,0.0,1.0394341685022948,0.0,1.6380009184970574,0.0,1.1808247033536452,0.0,0.0,0.0,9.347034431225136
BOLA2,10.5091687115162,10.263082528177046,10.340529835069162,13.191220142502498,10.694436628470154,10.365922155060293,10.84752087034453,11.566675744023932,10.515982081715496,11.57864186327717,9.259016441093497,8.736618607042615,9.773138839062142
C1GALT1C1,6.781471895845123,8.44791874282145,8.137520508244762,7.162285791063477,8.377499945326363,8.066056628596995,9.739751572899028,8.282063080671417,8.286464804699179,11.905030767548412,8.5753086573513,9.324950263610692,8.545769089029243
C1QA,2.757513513330592,5.109960379505203,1.4692807319180563,5.766416002242478,6.356837791587601,1.0360886852206541,9.511909444512629,16.52844359273594,10.068475157456831,4.364646046341006,2.505850972602112,8.484584365843004,10.935385113479352
C1QB,2.3746787950542694,5.3381646531495806,3.3194048740093667,5.557634555171722,6.857030622183588,3.721940928243926,9.326718666568059,17.641237132170243,10.56427851112004,4.8813044173799,4.485642462856742,9.366527152736872,11.20137180766166
