,B,Basophil,CD4,CD8,Eosinophil,Kupffer,Monocyte,NK,Neutrophil
1700025G04RIK,2.734107243689545,3.4730939838696666,7.557749552519235,8.636026618498398,7.009849195582455,6.305772073431196,8.569203482955771,10.634595890940766,3.9874285829886364
1810014B01RIK,7.0044452030131765,9.54121444104566,6.350459737225147,7.005408863397687,5.365754407166028,7.1735999616865485,5.676584423986908,6.46416592073899,0.0
4732419C18RIK,0.0,0.0,0.0,0.0,0.0,0.10188543985458759,2.340717241289712,0.0,0.0
4732465J04RIK,0.0,0.0,1.746449680329342,0.30798425490444437,1.5303573530847916,2.095494378757855,0.0,0.0,8.686170048178838
4833422C13RIK,0.0,0.0,3.736582081470767,0.0,2.0310050202618095,0.13661088464405247,0.0,1.5847392959194964,0.0
A130010J15RIK,6.56812769073756,5.992117894026249,8.277451564502545,5.5904762096698155,5.485243159003355,5.6348397415527405,6.000784926522163,5.799150504580295,5.360402180548711
ABCA2,8.038840468673587,8.425759655204594,8.095142058973929,10.3178487182095,8.784071463478469,5.502829498994828,8.375033282741263,8.544740570604912,7.893895603915395
ABCA6,1.355704746099729,0.0,0.0,0.058497343934649004,0.0,0.0,6.482642248566343,0.0,0.0
ABCC2,0.0,5.775881694890616,0.0,0.0,8.488032142994232,1.7455604463052754,4.459721975013663,0.0,3.256567727257913
ACKR2,8.95048907484313,0.0,0.0,2.1618284034339594,0.0,1.482839554922199,0.0,0.0,0.0
ACKR3,5.58132257880373,0.0,0.0,0.7762195338003156,0.0,0.0,0.0,0.0,0.0
ACTA2,0.7516520297411722,4.6008843198213984,2.0734542264009876,1.4016289478612918,5.866955105204831,1.90537397563011,6.0324040145262625,0.1648491644002718,10.790084441199095
ADAMTS14,3.575454865448889,0.0,1.7887761232927977,5.101742308984558,0.0,0.0,0.0,10.447514862961018,0.0
ADAMTSL2,0.1349161364005999,0.0,0.41706244678378324,2.6753599523978444,0.1852650254845099,0.23392902759581408,0.0,0.0,0.0
ADCY6,3.6562076291915466,2.1167263864409165,7.8229998808950025,6.05614395299037,2.6358032924913974,2.5049943626372335,3.054959695007873,0.0,0.0
ADGRA2,0.0,0.6064463246384804,1.2797918765430143,0.4916686095405206,0.7515882953550461,0.0,4.9679343730233905,0.21909515858068446,0.0
ADTRP,1.327020355255386,0.0,0.0,1.1080420750793487,0.0,2.3860476622486178,0.0,0.0,7.8753897605041905
AGXT,0.0,0.0,0.0,0.0,0.0,7.570991618520939,0.0,0.0,0.0
AHSG,0.0,0.0,0.0,0.0,0.0,9.638410326755519,0.0,0.0,0.0
AI463170,0.0,0.0,0.0,0.0,4.077018530564514,0.0,0.0,0.0,7.858710947366561
AIFM3,0.0,0.0,0.0,0.0,4.888720980598185,0.0,0.0,0.0,0.0
AKR1C6,0.0,0.0,0.0,0.0,0.0,8.178054141478455,0.0,0.0,0.0
ALAS2,1.8693743903298383,0.0,5.193042030565439,4.164477324976422,1.5945855431181353,4.569479587199558,7.515686408749065,3.2983031867210735,4.701383338946995
ALB,0.0,0.0,0.0,0.0,0.0,10.336420875115003,0.0,0.0,0.0
ALDH1A3,1.8011535561935956,1.9052861747835892,0.0,4.609355519617251,2.9251804524736773,1.9298480669632436,2.712837450528828,2.629316643607652,0.0
ALDH1B1,5.800796443082347,6.011551262417365,5.894889610852597,5.77162454663284,3.81659525834214,6.799466901551987,9.67502758464432,4.837752725670194,0.0
ALDOB,0.0,0.0,0.0,0.0,0.0,9.599954790622673,0.0,0.0,0.0
ALPL,9.339114664219702,0.0,3.1357526155680366,2.6895386562900896,0.0,0.6306412842453998,0.0,0.11491603330383113,1.545003052451917
AMOT,2.8954437012297483,1.656648497603562,0.9592892771910022,0.3004174249208851,0.600599407490371,0.0,5.445175103528391,1.1743226948585437,0.0
AMOTL2,0.0,1.1204282793649134,0.0,0.0,0.5045322844602635,3.7168340615323747,5.033522108496738,0.0,8.580424065311986
ANGPTL2,0.0,0.0,4.1943470305818815,3.1031139574656237,1.5482644650984758,1.864118818837559,6.510677175808606,0.0,0.0
APOA1,0.0,0.0,0.0,1.588323856254509,0.0,10.506603761394537,0.0,0.0,0.0
APOC1,0.0,4.5598781094375065,0.0,2.5654639860263613,0.0,17.03728979395544,7.484635462133673,2.0252412445658,8.01755542743787
APOC3,0.0,0.0,0.0,0.0,0.0,9.2272588075725,0.0,0.0,0.0
ARHGEF16,0.0,3.3430615521434826,0.0,0.5181679783316301,0.0,1.0100094449784265,0.0,0.0,0.0
ARHGEF37,0.0,0.7001951354948504,0.0,2.500130493144481,0.0,4.283624422879715,10.104291401556061,0.0,0.0
ARL4D,2.8656509433296344,0.0,4.992606932475691,8.680452990440848,1.5272304940969526,7.522834615282123,3.493837007298257,11.633943510696028,5.961287126715007
ARSG,4.687965261922271,3.4084039681371197,4.649842980360598,4.104935310524777,4.6277790077714815,3.882558764803271,6.0484421937161255,1.0806538937169936,9.621908824457115
AS3MT,7.74641777863558,7.942669320660448,5.966517639811464,8.093954270498134,5.44506741622458,8.82019559594243,7.859873011405311,11.382883679725909,3.651351764311099
ATP8B1,0.0,4.821768463341991,0.0,0.0,1.4327795643022676,1.7596933095395195,0.0,0.0,0.0
AW112010,10.583792877961711,10.319681431811315,11.508215629009783,13.599245351467221,4.736119794450742,15.30403485892758,8.655627918238025,17.64422636235613,9.11814699978383
BCAR3,11.255808140234713,7.515064222009259,3.874717179931321,4.762586859934241,1.532596274294497,3.8476999733189183,0.7965236665062134,1.2974132442112372,5.261187156309001
BHMT,0.0,0.0,0.0,0.0,0.0,9.33060587594358,0.0,0.0,0.0
BMP4,0.0,5.471400118635621,0.0,0.0,0.0,0.5631674759419623,0.0,0.0,0.0
