,Neutrophil,pair
"('B', 'CD8', 'Cholangiocyte')",-0.2595,"('B', 'CD8', 'Cholangiocyte')"
"('B', 'CD8', 'Eosinophil')",-0.0821,"('B', 'CD8', 'Eosinophil')"
"('B', 'CD8', 'Hepatocyte')",-0.0963,"('B', 'CD8', 'Hepatocyte')"
"('B', 'CD8', 'Kupffer')",0.6102,"('B', 'CD8', 'Kupffer')"
"('B', 'CD8', 'LSEC')",0.1984,"('B', 'CD8', 'LSEC')"
"('B', 'CD8', 'Monocyte')",0.4136,"('B', 'CD8', 'Monocyte')"
"('B', 'CD8', 'NK')",-0.0847,"('B', 'CD8', 'NK')"
"('B', 'CD8', 'Stellate')",0.1938,"('B', 'CD8', 'Stellate')"
"('B', 'Cholangiocyte', 'Eosinophil')",-0.3328,"('B', 'Cholangiocyte', 'Eosinophil')"
"('B', 'Cholangiocyte', 'Hepatocyte')",-0.4327,"('B', 'Cholangiocyte', 'Hepatocyte')"
"('B', 'Cholangiocyte', 'Kupffer')",0.6568,"('B', 'Cholangiocyte', 'Kupffer')"
"('B', 'Cholangiocyte', 'LSEC')",-0.001,"('B', 'Cholangiocyte', 'LSEC')"
"('B', 'Cholangiocyte', 'Monocyte')",0.418,"('B', 'Cholangiocyte', 'Monocyte')"
"('B', 'Cholangiocyte', 'NK')",-0.4072,"('B', 'Cholangiocyte', 'NK')"
"('B', 'Cholangiocyte', 'Stellate')",0.0942,"('B', 'Cholangiocyte', 'Stellate')"
"('B', 'Eosinophil', 'Hepatocyte')",0.0549,"('B', 'Eosinophil', 'Hepatocyte')"
"('B', 'Eosinophil', 'Kupffer')",0.6751,"('B', 'Eosinophil', 'Kupffer')"
"('B', 'Eosinophil', 'LSEC')",0.1911,"('B', 'Eosinophil', 'LSEC')"
"('B', 'Eosinophil', 'Monocyte')",0.2036,"('B', 'Eosinophil', 'Monocyte')"
"('B', 'Eosinophil', 'NK')",-0.4471,"('B', 'Eosinophil', 'NK')"
"('B', 'Eosinophil', 'Stellate')",-0.1331,"('B', 'Eosinophil', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer')",0.4446,"('B', 'Hepatocyte', 'Kupffer')"
"('B', 'Hepatocyte', 'LSEC')",-0.1743,"('B', 'Hepatocyte', 'LSEC')"
"('B', 'Hepatocyte', 'Monocyte')",0.3189,"('B', 'Hepatocyte', 'Monocyte')"
"('B', 'Hepatocyte', 'NK')",-0.3039,"('B', 'Hepatocyte', 'NK')"
"('B', 'Hepatocyte', 'Stellate')",-0.0174,"('B', 'Hepatocyte', 'Stellate')"
"('B', 'Kupffer', 'LSEC')",0.7377,"('B', 'Kupffer', 'LSEC')"
"('B', 'Kupffer', 'Monocyte')",0.6961,"('B', 'Kupffer', 'Monocyte')"
"('B', 'Kupffer', 'NK')",0.693,"('B', 'Kupffer', 'NK')"
"('B', 'Kupffer', 'Stellate')",0.779,"('B', 'Kupffer', 'Stellate')"
"('B', 'LSEC', 'Monocyte')",0.5238,"('B', 'LSEC', 'Monocyte')"
"('B', 'LSEC', 'NK')",-0.0374,"('B', 'LSEC', 'NK')"
"('B', 'LSEC', 'Stellate')",0.3194,"('B', 'LSEC', 'Stellate')"
"('B', 'Monocyte', 'NK')",0.3173,"('B', 'Monocyte', 'NK')"
"('B', 'Monocyte', 'Stellate')",0.4326,"('B', 'Monocyte', 'Stellate')"
"('B', 'NK', 'Stellate')",0.0677,"('B', 'NK', 'Stellate')"
"('Basophil', 'CD4', 'CD8')",0.2086,"('Basophil', 'CD4', 'CD8')"
"('Basophil', 'CD4', 'Cholangiocyte')",-0.197,"('Basophil', 'CD4', 'Cholangiocyte')"
"('Basophil', 'CD4', 'Eosinophil')",-0.3651,"('Basophil', 'CD4', 'Eosinophil')"
"('Basophil', 'CD4', 'Hepatocyte')",-0.2593,"('Basophil', 'CD4', 'Hepatocyte')"
"('Basophil', 'CD4', 'Kupffer')",0.5591,"('Basophil', 'CD4', 'Kupffer')"
"('Basophil', 'CD4', 'LSEC')",0.0919,"('Basophil', 'CD4', 'LSEC')"
"('Basophil', 'CD4', 'Monocyte')",0.5233,"('Basophil', 'CD4', 'Monocyte')"
"('Basophil', 'CD4', 'NK')",-0.0831,"('Basophil', 'CD4', 'NK')"
"('Basophil', 'CD4', 'Stellate')",-0.0371,"('Basophil', 'CD4', 'Stellate')"
"('Basophil', 'CD8', 'Cholangiocyte')",-0.1073,"('Basophil', 'CD8', 'Cholangiocyte')"
"('Basophil', 'CD8', 'Eosinophil')",-0.1336,"('Basophil', 'CD8', 'Eosinophil')"
"('Basophil', 'CD8', 'Hepatocyte')",-0.0908,"('Basophil', 'CD8', 'Hepatocyte')"
"('Basophil', 'CD8', 'Kupffer')",0.7073,"('Basophil', 'CD8', 'Kupffer')"
"('Basophil', 'CD8', 'LSEC')",0.0164,"('Basophil', 'CD8', 'LSEC')"
"('Basophil', 'CD8', 'Monocyte')",0.5248,"('Basophil', 'CD8', 'Monocyte')"
"('Basophil', 'CD8', 'NK')",0.0693,"('Basophil', 'CD8', 'NK')"
"('Basophil', 'CD8', 'Stellate')",0.0035,"('Basophil', 'CD8', 'Stellate')"
"('Basophil', 'Cholangiocyte', 'Eosinophil')",-0.0296,"('Basophil', 'Cholangiocyte', 'Eosinophil')"
"('Basophil', 'Cholangiocyte', 'Hepatocyte')",-0.3302,"('Basophil', 'Cholangiocyte', 'Hepatocyte')"
"('Basophil', 'Cholangiocyte', 'Kupffer')",0.5049,"('Basophil', 'Cholangiocyte', 'Kupffer')"
"('Basophil', 'Cholangiocyte', 'LSEC')",0.0166,"('Basophil', 'Cholangiocyte', 'LSEC')"
"('Basophil', 'Cholangiocyte', 'Monocyte')",0.5038,"('Basophil', 'Cholangiocyte', 'Monocyte')"
"('Basophil', 'Cholangiocyte', 'NK')",-0.2674,"('Basophil', 'Cholangiocyte', 'NK')"
"('Basophil', 'Cholangiocyte', 'Stellate')",0.0922,"('Basophil', 'Cholangiocyte', 'Stellate')"
"('Basophil', 'Eosinophil', 'Hepatocyte')",0.0795,"('Basophil', 'Eosinophil', 'Hepatocyte')"
"('Basophil', 'Eosinophil', 'Kupffer')",0.4313,"('Basophil', 'Eosinophil', 'Kupffer')"
"('Basophil', 'Eosinophil', 'LSEC')",0.0073,"('Basophil', 'Eosinophil', 'LSEC')"
"('Basophil', 'Eosinophil', 'Monocyte')",0.2086,"('Basophil', 'Eosinophil', 'Monocyte')"
"('Basophil', 'Eosinophil', 'NK')",-0.3752,"('Basophil', 'Eosinophil', 'NK')"
"('Basophil', 'Eosinophil', 'Stellate')",-0.0233,"('Basophil', 'Eosinophil', 'Stellate')"
"('Basophil', 'Hepatocyte', 'Kupffer')",0.3822,"('Basophil', 'Hepatocyte', 'Kupffer')"
"('Basophil', 'Hepatocyte', 'LSEC')",-0.0319,"('Basophil', 'Hepatocyte', 'LSEC')"
"('Basophil', 'Hepatocyte', 'Monocyte')",0.3755,"('Basophil', 'Hepatocyte', 'Monocyte')"
"('Basophil', 'Hepatocyte', 'NK')",-0.2716,"('Basophil', 'Hepatocyte', 'NK')"
"('Basophil', 'Hepatocyte', 'Stellate')",-0.0571,"('Basophil', 'Hepatocyte', 'Stellate')"
"('Basophil', 'Kupffer', 'LSEC')",0.7451,"('Basophil', 'Kupffer', 'LSEC')"
"('Basophil', 'Kupffer', 'Monocyte')",0.7197,"('Basophil', 'Kupffer', 'Monocyte')"
"('Basophil', 'Kupffer', 'NK')",0.6945,"('Basophil', 'Kupffer', 'NK')"
"('Basophil', 'Kupffer', 'Stellate')",0.6942,"('Basophil', 'Kupffer', 'Stellate')"
"('Basophil', 'LSEC', 'Monocyte')",0.525,"('Basophil', 'LSEC', 'Monocyte')"
"('Basophil', 'LSEC', 'NK')",0.0331,"('Basophil', 'LSEC', 'NK')"
"('Basophil', 'LSEC', 'Stellate')",0.3628,"('Basophil', 'LSEC', 'Stellate')"
"('Basophil', 'Monocyte', 'NK')",0.51,"('Basophil', 'Monocyte', 'NK')"
"('Basophil', 'Monocyte', 'Stellate')",0.5195,"('Basophil', 'Monocyte', 'Stellate')"
"('Basophil', 'NK', 'Stellate')",0.0106,"('Basophil', 'NK', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte')",-0.0735,"('CD4', 'CD8', 'Cholangiocyte')"
"('CD4', 'CD8', 'Eosinophil')",0.0024,"('CD4', 'CD8', 'Eosinophil')"
"('CD4', 'CD8', 'Hepatocyte')",-0.0883,"('CD4', 'CD8', 'Hepatocyte')"
"('CD4', 'CD8', 'Kupffer')",0.6753,"('CD4', 'CD8', 'Kupffer')"
"('CD4', 'CD8', 'LSEC')",0.1247,"('CD4', 'CD8', 'LSEC')"
"('CD4', 'CD8', 'Monocyte')",0.4286,"('CD4', 'CD8', 'Monocyte')"
"('CD4', 'CD8', 'NK')",0.0719,"('CD4', 'CD8', 'NK')"
"('CD4', 'CD8', 'Stellate')",0.2605,"('CD4', 'CD8', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Eosinophil')",-0.2985,"('CD4', 'Cholangiocyte', 'Eosinophil')"
"('CD4', 'Cholangiocyte', 'Hepatocyte')",-0.4003,"('CD4', 'Cholangiocyte', 'Hepatocyte')"
"('CD4', 'Cholangiocyte', 'Kupffer')",0.4507,"('CD4', 'Cholangiocyte', 'Kupffer')"
"('CD4', 'Cholangiocyte', 'LSEC')",-0.0258,"('CD4', 'Cholangiocyte', 'LSEC')"
"('CD4', 'Cholangiocyte', 'Monocyte')",0.2893,"('CD4', 'Cholangiocyte', 'Monocyte')"
"('CD4', 'Cholangiocyte', 'NK')",-0.3527,"('CD4', 'Cholangiocyte', 'NK')"
"('CD4', 'Cholangiocyte', 'Stellate')",0.0585,"('CD4', 'Cholangiocyte', 'Stellate')"
"('CD4', 'Eosinophil', 'Hepatocyte')",-0.037,"('CD4', 'Eosinophil', 'Hepatocyte')"
"('CD4', 'Eosinophil', 'Kupffer')",0.6968,"('CD4', 'Eosinophil', 'Kupffer')"
"('CD4', 'Eosinophil', 'LSEC')",0.1724,"('CD4', 'Eosinophil', 'LSEC')"
"('CD4', 'Eosinophil', 'Monocyte')",0.2556,"('CD4', 'Eosinophil', 'Monocyte')"
"('CD4', 'Eosinophil', 'NK')",-0.3383,"('CD4', 'Eosinophil', 'NK')"
"('CD4', 'Eosinophil', 'Stellate')",-0.1581,"('CD4', 'Eosinophil', 'Stellate')"
"('CD4', 'Hepatocyte', 'Kupffer')",0.401,"('CD4', 'Hepatocyte', 'Kupffer')"
"('CD4', 'Hepatocyte', 'LSEC')",-0.061,"('CD4', 'Hepatocyte', 'LSEC')"
"('CD4', 'Hepatocyte', 'Monocyte')",0.3882,"('CD4', 'Hepatocyte', 'Monocyte')"
"('CD4', 'Hepatocyte', 'NK')",-0.3793,"('CD4', 'Hepatocyte', 'NK')"
"('CD4', 'Hepatocyte', 'Stellate')",-0.0522,"('CD4', 'Hepatocyte', 'Stellate')"
"('CD4', 'Kupffer', 'LSEC')",0.689,"('CD4', 'Kupffer', 'LSEC')"
"('CD4', 'Kupffer', 'Monocyte')",0.6441,"('CD4', 'Kupffer', 'Monocyte')"
"('CD4', 'Kupffer', 'NK')",0.6488,"('CD4', 'Kupffer', 'NK')"
"('CD4', 'Kupffer', 'Stellate')",0.6272,"('CD4', 'Kupffer', 'Stellate')"
"('CD4', 'LSEC', 'Monocyte')",0.6528,"('CD4', 'LSEC', 'Monocyte')"
"('CD4', 'LSEC', 'NK')",0.1845,"('CD4', 'LSEC', 'NK')"
"('CD4', 'LSEC', 'Stellate')",0.2408,"('CD4', 'LSEC', 'Stellate')"
"('CD4', 'Monocyte', 'NK')",0.4342,"('CD4', 'Monocyte', 'NK')"
"('CD4', 'Monocyte', 'Stellate')",0.4438,"('CD4', 'Monocyte', 'Stellate')"
"('CD4', 'NK', 'Stellate')",0.2103,"('CD4', 'NK', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Eosinophil')",-0.0507,"('CD8', 'Cholangiocyte', 'Eosinophil')"
"('CD8', 'Cholangiocyte', 'Hepatocyte')",-0.3019,"('CD8', 'Cholangiocyte', 'Hepatocyte')"
"('CD8', 'Cholangiocyte', 'Kupffer')",0.6241,"('CD8', 'Cholangiocyte', 'Kupffer')"
"('CD8', 'Cholangiocyte', 'LSEC')",0.1162,"('CD8', 'Cholangiocyte', 'LSEC')"
"('CD8', 'Cholangiocyte', 'Monocyte')",0.5505,"('CD8', 'Cholangiocyte', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'NK')",-0.1115,"('CD8', 'Cholangiocyte', 'NK')"
"('CD8', 'Cholangiocyte', 'Stellate')",0.0844,"('CD8', 'Cholangiocyte', 'Stellate')"
"('CD8', 'Eosinophil', 'Hepatocyte')",0.0092,"('CD8', 'Eosinophil', 'Hepatocyte')"
"('CD8', 'Eosinophil', 'Kupffer')",0.6223,"('CD8', 'Eosinophil', 'Kupffer')"
"('CD8', 'Eosinophil', 'LSEC')",0.2917,"('CD8', 'Eosinophil', 'LSEC')"
"('CD8', 'Eosinophil', 'Monocyte')",0.4154,"('CD8', 'Eosinophil', 'Monocyte')"
"('CD8', 'Eosinophil', 'NK')",-0.175,"('CD8', 'Eosinophil', 'NK')"
"('CD8', 'Eosinophil', 'Stellate')",-0.0137,"('CD8', 'Eosinophil', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer')",0.4651,"('CD8', 'Hepatocyte', 'Kupffer')"
"('CD8', 'Hepatocyte', 'LSEC')",-0.019,"('CD8', 'Hepatocyte', 'LSEC')"
"('CD8', 'Hepatocyte', 'Monocyte')",0.3888,"('CD8', 'Hepatocyte', 'Monocyte')"
"('CD8', 'Hepatocyte', 'NK')",-0.0946,"('CD8', 'Hepatocyte', 'NK')"
"('CD8', 'Hepatocyte', 'Stellate')",0.0946,"('CD8', 'Hepatocyte', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC')",0.7656,"('CD8', 'Kupffer', 'LSEC')"
"('CD8', 'Kupffer', 'Monocyte')",0.6992,"('CD8', 'Kupffer', 'Monocyte')"
"('CD8', 'Kupffer', 'NK')",0.7047,"('CD8', 'Kupffer', 'NK')"
"('CD8', 'Kupffer', 'Stellate')",0.7348,"('CD8', 'Kupffer', 'Stellate')"
"('CD8', 'LSEC', 'Monocyte')",0.6399,"('CD8', 'LSEC', 'Monocyte')"
"('CD8', 'LSEC', 'NK')",0.364,"('CD8', 'LSEC', 'NK')"
"('CD8', 'LSEC', 'Stellate')",0.5034,"('CD8', 'LSEC', 'Stellate')"
"('CD8', 'Monocyte', 'NK')",0.5148,"('CD8', 'Monocyte', 'NK')"
"('CD8', 'Monocyte', 'Stellate')",0.4701,"('CD8', 'Monocyte', 'Stellate')"
"('CD8', 'NK', 'Stellate')",0.2556,"('CD8', 'NK', 'Stellate')"
"('Cholangiocyte', 'Eosinophil', 'Hepatocyte')",-0.1285,"('Cholangiocyte', 'Eosinophil', 'Hepatocyte')"
"('Cholangiocyte', 'Eosinophil', 'Kupffer')",0.6456,"('Cholangiocyte', 'Eosinophil', 'Kupffer')"
"('Cholangiocyte', 'Eosinophil', 'LSEC')",0.2271,"('Cholangiocyte', 'Eosinophil', 'LSEC')"
"('Cholangiocyte', 'Eosinophil', 'Monocyte')",0.3921,"('Cholangiocyte', 'Eosinophil', 'Monocyte')"
"('Cholangiocyte', 'Eosinophil', 'NK')",-0.2531,"('Cholangiocyte', 'Eosinophil', 'NK')"
"('Cholangiocyte', 'Eosinophil', 'Stellate')",-0.0085,"('Cholangiocyte', 'Eosinophil', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.289,"('Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC')",-0.189,"('Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('Cholangiocyte', 'Hepatocyte', 'Monocyte')",0.2757,"('Cholangiocyte', 'Hepatocyte', 'Monocyte')"
"('Cholangiocyte', 'Hepatocyte', 'NK')",-0.3748,"('Cholangiocyte', 'Hepatocyte', 'NK')"
"('Cholangiocyte', 'Hepatocyte', 'Stellate')",-0.1548,"('Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'LSEC')",0.5759,"('Cholangiocyte', 'Kupffer', 'LSEC')"
"('Cholangiocyte', 'Kupffer', 'Monocyte')",0.6243,"('Cholangiocyte', 'Kupffer', 'Monocyte')"
"('Cholangiocyte', 'Kupffer', 'NK')",0.5507,"('Cholangiocyte', 'Kupffer', 'NK')"
"('Cholangiocyte', 'Kupffer', 'Stellate')",0.661,"('Cholangiocyte', 'Kupffer', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'Monocyte')",0.5704,"('Cholangiocyte', 'LSEC', 'Monocyte')"
"('Cholangiocyte', 'LSEC', 'NK')",0.0155,"('Cholangiocyte', 'LSEC', 'NK')"
"('Cholangiocyte', 'LSEC', 'Stellate')",0.1878,"('Cholangiocyte', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Monocyte', 'NK')",0.3803,"('Cholangiocyte', 'Monocyte', 'NK')"
"('Cholangiocyte', 'Monocyte', 'Stellate')",0.5658,"('Cholangiocyte', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'NK', 'Stellate')",0.0872,"('Cholangiocyte', 'NK', 'Stellate')"
"('Eosinophil', 'Hepatocyte', 'Kupffer')",0.4233,"('Eosinophil', 'Hepatocyte', 'Kupffer')"
"('Eosinophil', 'Hepatocyte', 'LSEC')",0.2335,"('Eosinophil', 'Hepatocyte', 'LSEC')"
"('Eosinophil', 'Hepatocyte', 'Monocyte')",0.2436,"('Eosinophil', 'Hepatocyte', 'Monocyte')"
"('Eosinophil', 'Hepatocyte', 'NK')",-0.0668,"('Eosinophil', 'Hepatocyte', 'NK')"
"('Eosinophil', 'Hepatocyte', 'Stellate')",0.0622,"('Eosinophil', 'Hepatocyte', 'Stellate')"
"('Eosinophil', 'Kupffer', 'LSEC')",0.7305,"('Eosinophil', 'Kupffer', 'LSEC')"
"('Eosinophil', 'Kupffer', 'Monocyte')",0.4795,"('Eosinophil', 'Kupffer', 'Monocyte')"
"('Eosinophil', 'Kupffer', 'NK')",0.6874,"('Eosinophil', 'Kupffer', 'NK')"
"('Eosinophil', 'Kupffer', 'Stellate')",0.6199,"('Eosinophil', 'Kupffer', 'Stellate')"
"('Eosinophil', 'LSEC', 'Monocyte')",0.5596,"('Eosinophil', 'LSEC', 'Monocyte')"
"('Eosinophil', 'LSEC', 'NK')",0.2622,"('Eosinophil', 'LSEC', 'NK')"
"('Eosinophil', 'LSEC', 'Stellate')",0.4441,"('Eosinophil', 'LSEC', 'Stellate')"
"('Eosinophil', 'Monocyte', 'NK')",0.186,"('Eosinophil', 'Monocyte', 'NK')"
"('Eosinophil', 'Monocyte', 'Stellate')",0.416,"('Eosinophil', 'Monocyte', 'Stellate')"
"('Eosinophil', 'NK', 'Stellate')",0.0506,"('Eosinophil', 'NK', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC')",0.4803,"('Hepatocyte', 'Kupffer', 'LSEC')"
"('Hepatocyte', 'Kupffer', 'Monocyte')",0.5111,"('Hepatocyte', 'Kupffer', 'Monocyte')"
"('Hepatocyte', 'Kupffer', 'NK')",0.4505,"('Hepatocyte', 'Kupffer', 'NK')"
"('Hepatocyte', 'Kupffer', 'Stellate')",0.4897,"('Hepatocyte', 'Kupffer', 'Stellate')"
"('Hepatocyte', 'LSEC', 'Monocyte')",0.4999,"('Hepatocyte', 'LSEC', 'Monocyte')"
"('Hepatocyte', 'LSEC', 'NK')",-0.0119,"('Hepatocyte', 'LSEC', 'NK')"
"('Hepatocyte', 'LSEC', 'Stellate')",0.0338,"('Hepatocyte', 'LSEC', 'Stellate')"
"('Hepatocyte', 'Monocyte', 'NK')",0.3082,"('Hepatocyte', 'Monocyte', 'NK')"
"('Hepatocyte', 'Monocyte', 'Stellate')",0.3975,"('Hepatocyte', 'Monocyte', 'Stellate')"
"('Hepatocyte', 'NK', 'Stellate')",0.0414,"('Hepatocyte', 'NK', 'Stellate')"
"('Kupffer', 'LSEC', 'Monocyte')",0.7833,"('Kupffer', 'LSEC', 'Monocyte')"
"('Kupffer', 'LSEC', 'NK')",0.7336,"('Kupffer', 'LSEC', 'NK')"
"('Kupffer', 'LSEC', 'Stellate')",0.6515,"('Kupffer', 'LSEC', 'Stellate')"
