,Neutrophil,pair
"('B',)",-0.1629,"('B',)"
"('Basophil',)",0.2718,"('Basophil',)"
"('CD4',)",0.039,"('CD4',)"
"('CD8',)",-0.1349,"('CD8',)"
"('Cholangiocyte',)",-0.3395,"('Cholangiocyte',)"
"('Eosinophil',)",-0.4756,"('Eosinophil',)"
"('Hepatocyte',)",-0.2707,"('Hepatocyte',)"
"('Kupffer',)",0.2737,"('Kupffer',)"
"('LSEC',)",0.1255,"('LSEC',)"
"('Monocyte',)",0.3451,"('Monocyte',)"
"('NK',)",-0.1268,"('NK',)"
"('Stellate',)",0.1108,"('Stellate',)"
"('B', 'Basophil')",-0.1875,"('B', 'Basophil')"
"('B', 'CD4')",-0.2514,"('B', 'CD4')"
"('B', 'CD8')",-0.1012,"('B', 'CD8')"
"('B', 'Cholangiocyte')",-0.4019,"('B', 'Cholangiocyte')"
"('B', 'Eosinophil')",-0.3832,"('B', 'Eosinophil')"
"('B', 'Hepatocyte')",-0.2576,"('B', 'Hepatocyte')"
"('B', 'Kupffer')",0.6543,"('B', 'Kupffer')"
"('B', 'LSEC')",-0.0793,"('B', 'LSEC')"
"('B', 'Monocyte')",0.2566,"('B', 'Monocyte')"
"('B', 'NK')",-0.1068,"('B', 'NK')"
"('B', 'Stellate')",0.2026,"('B', 'Stellate')"
"('Basophil', 'CD4')",-0.1033,"('Basophil', 'CD4')"
"('Basophil', 'CD8')",0.2826,"('Basophil', 'CD8')"
"('Basophil', 'Cholangiocyte')",0.0877,"('Basophil', 'Cholangiocyte')"
"('Basophil', 'Eosinophil')",-0.3693,"('Basophil', 'Eosinophil')"
"('Basophil', 'Hepatocyte')",-0.0797,"('Basophil', 'Hepatocyte')"
"('Basophil', 'Kupffer')",0.4905,"('Basophil', 'Kupffer')"
"('Basophil', 'LSEC')",-0.0299,"('Basophil', 'LSEC')"
"('Basophil', 'Monocyte')",0.5416,"('Basophil', 'Monocyte')"
"('Basophil', 'NK')",0.1203,"('Basophil', 'NK')"
"('Basophil', 'Stellate')",0.0038,"('Basophil', 'Stellate')"
"('CD4', 'CD8')",0.1864,"('CD4', 'CD8')"
"('CD4', 'Cholangiocyte')",-0.3832,"('CD4', 'Cholangiocyte')"
"('CD4', 'Eosinophil')",-0.4001,"('CD4', 'Eosinophil')"
"('CD4', 'Hepatocyte')",-0.2013,"('CD4', 'Hepatocyte')"
"('CD4', 'Kupffer')",0.6239,"('CD4', 'Kupffer')"
"('CD4', 'LSEC')",-0.0665,"('CD4', 'LSEC')"
"('CD4', 'Monocyte')",0.3491,"('CD4', 'Monocyte')"
"('CD4', 'NK')",-0.0251,"('CD4', 'NK')"
"('CD4', 'Stellate')",-0.0366,"('CD4', 'Stellate')"
"('CD8', 'Cholangiocyte')",-0.0601,"('CD8', 'Cholangiocyte')"
"('CD8', 'Eosinophil')",0.1092,"('CD8', 'Eosinophil')"
"('CD8', 'Hepatocyte')",-0.1684,"('CD8', 'Hepatocyte')"
"('CD8', 'Kupffer')",0.6669,"('CD8', 'Kupffer')"
"('CD8', 'LSEC')",0.2231,"('CD8', 'LSEC')"
"('CD8', 'Monocyte')",0.4575,"('CD8', 'Monocyte')"
"('CD8', 'NK')",0.0971,"('CD8', 'NK')"
"('CD8', 'Stellate')",0.3264,"('CD8', 'Stellate')"
"('Cholangiocyte', 'Eosinophil')",-0.1701,"('Cholangiocyte', 'Eosinophil')"
"('Cholangiocyte', 'Hepatocyte')",-0.3438,"('Cholangiocyte', 'Hepatocyte')"
"('Cholangiocyte', 'Kupffer')",0.2556,"('Cholangiocyte', 'Kupffer')"
"('Cholangiocyte', 'LSEC')",0.0239,"('Cholangiocyte', 'LSEC')"
"('Cholangiocyte', 'Monocyte')",0.6169,"('Cholangiocyte', 'Monocyte')"
"('Cholangiocyte', 'NK')",-0.3208,"('Cholangiocyte', 'NK')"
"('Cholangiocyte', 'Stellate')",0.1078,"('Cholangiocyte', 'Stellate')"
"('Eosinophil', 'Hepatocyte')",0.1673,"('Eosinophil', 'Hepatocyte')"
"('Eosinophil', 'Kupffer')",0.5776,"('Eosinophil', 'Kupffer')"
"('Eosinophil', 'LSEC')",0.2213,"('Eosinophil', 'LSEC')"
"('Eosinophil', 'Monocyte')",0.3194,"('Eosinophil', 'Monocyte')"
"('Eosinophil', 'NK')",-0.3506,"('Eosinophil', 'NK')"
"('Eosinophil', 'Stellate')",-0.0359,"('Eosinophil', 'Stellate')"
"('Hepatocyte', 'Kupffer')",0.2202,"('Hepatocyte', 'Kupffer')"
"('Hepatocyte', 'LSEC')",-0.0718,"('Hepatocyte', 'LSEC')"
"('Hepatocyte', 'Monocyte')",0.4683,"('Hepatocyte', 'Monocyte')"
"('Hepatocyte', 'NK')",-0.3701,"('Hepatocyte', 'NK')"
"('Hepatocyte', 'Stellate')",0.0004,"('Hepatocyte', 'Stellate')"
"('Kupffer', 'LSEC')",0.7349,"('Kupffer', 'LSEC')"
"('Kupffer', 'Monocyte')",0.6779,"('Kupffer', 'Monocyte')"
"('Kupffer', 'NK')",0.5479,"('Kupffer', 'NK')"
"('Kupffer', 'Stellate')",0.7307,"('Kupffer', 'Stellate')"
"('LSEC', 'Monocyte')",0.7147,"('LSEC', 'Monocyte')"
"('LSEC', 'NK')",0.0227,"('LSEC', 'NK')"
"('LSEC', 'Stellate')",0.2099,"('LSEC', 'Stellate')"
"('Monocyte', 'NK')",0.3781,"('Monocyte', 'NK')"
"('Monocyte', 'Stellate')",0.5871,"('Monocyte', 'Stellate')"
"('NK', 'Stellate')",0.1288,"('NK', 'Stellate')"
"('B', 'Basophil', 'CD4')",-0.2703,"('B', 'Basophil', 'CD4')"
"('B', 'Basophil', 'CD8')",0.0502,"('B', 'Basophil', 'CD8')"
"('B', 'Basophil', 'Cholangiocyte')",-0.3157,"('B', 'Basophil', 'Cholangiocyte')"
"('B', 'Basophil', 'Eosinophil')",-0.2907,"('B', 'Basophil', 'Eosinophil')"
"('B', 'Basophil', 'Hepatocyte')",-0.2093,"('B', 'Basophil', 'Hepatocyte')"
"('B', 'Basophil', 'Kupffer')",0.6048,"('B', 'Basophil', 'Kupffer')"
"('B', 'Basophil', 'LSEC')",0.0414,"('B', 'Basophil', 'LSEC')"
"('B', 'Basophil', 'Monocyte')",0.5647,"('B', 'Basophil', 'Monocyte')"
"('B', 'Basophil', 'NK')",-0.0579,"('B', 'Basophil', 'NK')"
"('B', 'Basophil', 'Stellate')",0.099,"('B', 'Basophil', 'Stellate')"
"('B', 'CD4', 'CD8')",-0.0031,"('B', 'CD4', 'CD8')"
"('B', 'CD4', 'Cholangiocyte')",-0.3871,"('B', 'CD4', 'Cholangiocyte')"
"('B', 'CD4', 'Eosinophil')",-0.3856,"('B', 'CD4', 'Eosinophil')"
"('B', 'CD4', 'Hepatocyte')",-0.279,"('B', 'CD4', 'Hepatocyte')"
"('B', 'CD4', 'Kupffer')",0.5671,"('B', 'CD4', 'Kupffer')"
"('B', 'CD4', 'LSEC')",0.0624,"('B', 'CD4', 'LSEC')"
"('B', 'CD4', 'Monocyte')",0.3053,"('B', 'CD4', 'Monocyte')"
"('B', 'CD4', 'NK')",-0.0187,"('B', 'CD4', 'NK')"
"('B', 'CD4', 'Stellate')",0.0753,"('B', 'CD4', 'Stellate')"
