,NK,pair
"('B',)",0.1616,"('B',)"
"('Basophil',)",0.334,"('Basophil',)"
"('CD4',)",0.1967,"('CD4',)"
"('CD8',)",0.1607,"('CD8',)"
"('Cholangiocyte',)",0.186,"('Cholangiocyte',)"
"('Eosinophil',)",0.6837,"('Eosinophil',)"
"('Hepatocyte',)",0.1101,"('Hepatocyte',)"
"('Kupffer',)",0.7025,"('Kupffer',)"
"('LSEC',)",0.4543,"('LSEC',)"
"('Monocyte',)",0.5116,"('Monocyte',)"
"('Neutrophil',)",0.5836,"('Neutrophil',)"
"('Stellate',)",0.0812,"('Stellate',)"
"('B', 'Basophil')",0.5239,"('B', 'Basophil')"
"('B', 'CD4')",-0.0126,"('B', 'CD4')"
"('B', 'CD8')",0.1907,"('B', 'CD8')"
"('B', 'Cholangiocyte')",0.1843,"('B', 'Cholangiocyte')"
"('B', 'Eosinophil')",0.6279,"('B', 'Eosinophil')"
"('B', 'Hepatocyte')",0.027,"('B', 'Hepatocyte')"
"('B', 'Kupffer')",0.0871,"('B', 'Kupffer')"
"('B', 'LSEC')",0.5327,"('B', 'LSEC')"
"('B', 'Monocyte')",0.4073,"('B', 'Monocyte')"
"('B', 'Neutrophil')",0.534,"('B', 'Neutrophil')"
"('B', 'Stellate')",0.1941,"('B', 'Stellate')"
"('Basophil', 'CD4')",0.598,"('Basophil', 'CD4')"
"('Basophil', 'CD8')",0.6392,"('Basophil', 'CD8')"
"('Basophil', 'Cholangiocyte')",0.6361,"('Basophil', 'Cholangiocyte')"
"('Basophil', 'Eosinophil')",0.6381,"('Basophil', 'Eosinophil')"
"('Basophil', 'Hepatocyte')",0.6541,"('Basophil', 'Hepatocyte')"
"('Basophil', 'Kupffer')",0.5516,"('Basophil', 'Kupffer')"
"('Basophil', 'LSEC')",0.6833,"('Basophil', 'LSEC')"
"('Basophil', 'Monocyte')",0.5559,"('Basophil', 'Monocyte')"
"('Basophil', 'Neutrophil')",0.7252,"('Basophil', 'Neutrophil')"
"('Basophil', 'Stellate')",0.4385,"('Basophil', 'Stellate')"
"('CD4', 'CD8')",0.1953,"('CD4', 'CD8')"
"('CD4', 'Cholangiocyte')",0.2978,"('CD4', 'Cholangiocyte')"
"('CD4', 'Eosinophil')",0.5985,"('CD4', 'Eosinophil')"
"('CD4', 'Hepatocyte')",0.4263,"('CD4', 'Hepatocyte')"
"('CD4', 'Kupffer')",0.2796,"('CD4', 'Kupffer')"
"('CD4', 'LSEC')",0.4531,"('CD4', 'LSEC')"
"('CD4', 'Monocyte')",0.5442,"('CD4', 'Monocyte')"
"('CD4', 'Neutrophil')",0.5184,"('CD4', 'Neutrophil')"
"('CD4', 'Stellate')",0.2473,"('CD4', 'Stellate')"
"('CD8', 'Cholangiocyte')",0.6853,"('CD8', 'Cholangiocyte')"
"('CD8', 'Eosinophil')",0.4686,"('CD8', 'Eosinophil')"
"('CD8', 'Hepatocyte')",0.4876,"('CD8', 'Hepatocyte')"
"('CD8', 'Kupffer')",0.3564,"('CD8', 'Kupffer')"
"('CD8', 'LSEC')",0.3947,"('CD8', 'LSEC')"
"('CD8', 'Monocyte')",0.3162,"('CD8', 'Monocyte')"
"('CD8', 'Neutrophil')",0.5383,"('CD8', 'Neutrophil')"
"('CD8', 'Stellate')",0.3054,"('CD8', 'Stellate')"
"('Cholangiocyte', 'Eosinophil')",0.7071,"('Cholangiocyte', 'Eosinophil')"
"('Cholangiocyte', 'Hepatocyte')",-0.0212,"('Cholangiocyte', 'Hepatocyte')"
"('Cholangiocyte', 'Kupffer')",0.4642,"('Cholangiocyte', 'Kupffer')"
"('Cholangiocyte', 'LSEC')",0.0259,"('Cholangiocyte', 'LSEC')"
"('Cholangiocyte', 'Monocyte')",0.6715,"('Cholangiocyte', 'Monocyte')"
"('Cholangiocyte', 'Neutrophil')",0.6862,"('Cholangiocyte', 'Neutrophil')"
"('Cholangiocyte', 'Stellate')",0.0199,"('Cholangiocyte', 'Stellate')"
"('Eosinophil', 'Hepatocyte')",0.6651,"('Eosinophil', 'Hepatocyte')"
"('Eosinophil', 'Kupffer')",0.5248,"('Eosinophil', 'Kupffer')"
"('Eosinophil', 'LSEC')",0.631,"('Eosinophil', 'LSEC')"
"('Eosinophil', 'Monocyte')",0.4647,"('Eosinophil', 'Monocyte')"
"('Eosinophil', 'Neutrophil')",0.6056,"('Eosinophil', 'Neutrophil')"
"('Eosinophil', 'Stellate')",0.6245,"('Eosinophil', 'Stellate')"
"('Hepatocyte', 'Kupffer')",0.425,"('Hepatocyte', 'Kupffer')"
"('Hepatocyte', 'LSEC')",0.1516,"('Hepatocyte', 'LSEC')"
"('Hepatocyte', 'Monocyte')",0.6471,"('Hepatocyte', 'Monocyte')"
"('Hepatocyte', 'Neutrophil')",0.6557,"('Hepatocyte', 'Neutrophil')"
"('Hepatocyte', 'Stellate')",0.0234,"('Hepatocyte', 'Stellate')"
"('Kupffer', 'LSEC')",0.4514,"('Kupffer', 'LSEC')"
"('Kupffer', 'Monocyte')",0.4763,"('Kupffer', 'Monocyte')"
"('Kupffer', 'Neutrophil')",0.5848,"('Kupffer', 'Neutrophil')"
"('Kupffer', 'Stellate')",0.5473,"('Kupffer', 'Stellate')"
"('LSEC', 'Monocyte')",0.5936,"('LSEC', 'Monocyte')"
"('LSEC', 'Neutrophil')",0.6202,"('LSEC', 'Neutrophil')"
"('LSEC', 'Stellate')",0.1011,"('LSEC', 'Stellate')"
"('Monocyte', 'Neutrophil')",0.5375,"('Monocyte', 'Neutrophil')"
"('Monocyte', 'Stellate')",0.5856,"('Monocyte', 'Stellate')"
"('Neutrophil', 'Stellate')",0.6762,"('Neutrophil', 'Stellate')"
"('B', 'Basophil', 'CD4')",0.4925,"('B', 'Basophil', 'CD4')"
"('B', 'Basophil', 'CD8')",0.7031,"('B', 'Basophil', 'CD8')"
"('B', 'Basophil', 'Cholangiocyte')",0.7002,"('B', 'Basophil', 'Cholangiocyte')"
"('B', 'Basophil', 'Eosinophil')",0.5718,"('B', 'Basophil', 'Eosinophil')"
"('B', 'Basophil', 'Hepatocyte')",0.5176,"('B', 'Basophil', 'Hepatocyte')"
"('B', 'Basophil', 'Kupffer')",0.4888,"('B', 'Basophil', 'Kupffer')"
"('B', 'Basophil', 'LSEC')",0.6971,"('B', 'Basophil', 'LSEC')"
"('B', 'Basophil', 'Monocyte')",0.4839,"('B', 'Basophil', 'Monocyte')"
"('B', 'Basophil', 'Neutrophil')",0.6532,"('B', 'Basophil', 'Neutrophil')"
"('B', 'Basophil', 'Stellate')",0.6224,"('B', 'Basophil', 'Stellate')"
"('B', 'CD4', 'CD8')",0.3715,"('B', 'CD4', 'CD8')"
"('B', 'CD4', 'Cholangiocyte')",0.255,"('B', 'CD4', 'Cholangiocyte')"
"('B', 'CD4', 'Eosinophil')",0.5096,"('B', 'CD4', 'Eosinophil')"
"('B', 'CD4', 'Hepatocyte')",0.0511,"('B', 'CD4', 'Hepatocyte')"
"('B', 'CD4', 'Kupffer')",0.1911,"('B', 'CD4', 'Kupffer')"
"('B', 'CD4', 'LSEC')",0.4082,"('B', 'CD4', 'LSEC')"
"('B', 'CD4', 'Monocyte')",0.4475,"('B', 'CD4', 'Monocyte')"
"('B', 'CD4', 'Neutrophil')",0.3382,"('B', 'CD4', 'Neutrophil')"
"('B', 'CD4', 'Stellate')",0.3806,"('B', 'CD4', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte')",0.6127,"('B', 'CD8', 'Cholangiocyte')"
"('B', 'CD8', 'Eosinophil')",0.4666,"('B', 'CD8', 'Eosinophil')"
"('B', 'CD8', 'Hepatocyte')",0.2394,"('B', 'CD8', 'Hepatocyte')"
"('B', 'CD8', 'Kupffer')",0.0775,"('B', 'CD8', 'Kupffer')"
"('B', 'CD8', 'LSEC')",0.2034,"('B', 'CD8', 'LSEC')"
