,NK,pair
"('B', 'CD8', 'Monocyte')",0.3768,"('B', 'CD8', 'Monocyte')"
"('B', 'CD8', 'Neutrophil')",0.5878,"('B', 'CD8', 'Neutrophil')"
"('B', 'CD8', 'Stellate')",0.2757,"('B', 'CD8', 'Stellate')"
"('B', 'Cholangiocyte', 'Eosinophil')",0.7183,"('B', 'Cholangiocyte', 'Eosinophil')"
"('B', 'Cholangiocyte', 'Hepatocyte')",-0.1407,"('B', 'Cholangiocyte', 'Hepatocyte')"
"('B', 'Cholangiocyte', 'Kupffer')",0.3352,"('B', 'Cholangiocyte', 'Kupffer')"
"('B', 'Cholangiocyte', 'LSEC')",0.4032,"('B', 'Cholangiocyte', 'LSEC')"
"('B', 'Cholangiocyte', 'Monocyte')",0.6534,"('B', 'Cholangiocyte', 'Monocyte')"
"('B', 'Cholangiocyte', 'Neutrophil')",0.7056,"('B', 'Cholangiocyte', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Stellate')",0.0908,"('B', 'Cholangiocyte', 'Stellate')"
"('B', 'Eosinophil', 'Hepatocyte')",0.5529,"('B', 'Eosinophil', 'Hepatocyte')"
"('B', 'Eosinophil', 'Kupffer')",0.4778,"('B', 'Eosinophil', 'Kupffer')"
"('B', 'Eosinophil', 'LSEC')",0.6879,"('B', 'Eosinophil', 'LSEC')"
"('B', 'Eosinophil', 'Monocyte')",0.4619,"('B', 'Eosinophil', 'Monocyte')"
"('B', 'Eosinophil', 'Neutrophil')",0.6521,"('B', 'Eosinophil', 'Neutrophil')"
"('B', 'Eosinophil', 'Stellate')",0.5455,"('B', 'Eosinophil', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer')",0.224,"('B', 'Hepatocyte', 'Kupffer')"
"('B', 'Hepatocyte', 'LSEC')",0.3267,"('B', 'Hepatocyte', 'LSEC')"
"('B', 'Hepatocyte', 'Monocyte')",0.5329,"('B', 'Hepatocyte', 'Monocyte')"
"('B', 'Hepatocyte', 'Neutrophil')",0.5944,"('B', 'Hepatocyte', 'Neutrophil')"
"('B', 'Hepatocyte', 'Stellate')",0.2291,"('B', 'Hepatocyte', 'Stellate')"
"('B', 'Kupffer', 'LSEC')",0.4979,"('B', 'Kupffer', 'LSEC')"
"('B', 'Kupffer', 'Monocyte')",0.3167,"('B', 'Kupffer', 'Monocyte')"
"('B', 'Kupffer', 'Neutrophil')",0.4446,"('B', 'Kupffer', 'Neutrophil')"
"('B', 'Kupffer', 'Stellate')",0.3762,"('B', 'Kupffer', 'Stellate')"
"('B', 'LSEC', 'Monocyte')",0.5982,"('B', 'LSEC', 'Monocyte')"
"('B', 'LSEC', 'Neutrophil')",0.7064,"('B', 'LSEC', 'Neutrophil')"
"('B', 'LSEC', 'Stellate')",0.5638,"('B', 'LSEC', 'Stellate')"
"('B', 'Monocyte', 'Neutrophil')",0.5424,"('B', 'Monocyte', 'Neutrophil')"
"('B', 'Monocyte', 'Stellate')",0.4306,"('B', 'Monocyte', 'Stellate')"
"('B', 'Neutrophil', 'Stellate')",0.5262,"('B', 'Neutrophil', 'Stellate')"
"('Basophil', 'CD4', 'CD8')",0.5615,"('Basophil', 'CD4', 'CD8')"
"('Basophil', 'CD4', 'Cholangiocyte')",0.6299,"('Basophil', 'CD4', 'Cholangiocyte')"
"('Basophil', 'CD4', 'Eosinophil')",0.5873,"('Basophil', 'CD4', 'Eosinophil')"
"('Basophil', 'CD4', 'Hepatocyte')",0.6304,"('Basophil', 'CD4', 'Hepatocyte')"
"('Basophil', 'CD4', 'Kupffer')",0.3475,"('Basophil', 'CD4', 'Kupffer')"
"('Basophil', 'CD4', 'LSEC')",0.625,"('Basophil', 'CD4', 'LSEC')"
"('Basophil', 'CD4', 'Monocyte')",0.5115,"('Basophil', 'CD4', 'Monocyte')"
"('Basophil', 'CD4', 'Neutrophil')",0.6599,"('Basophil', 'CD4', 'Neutrophil')"
"('Basophil', 'CD4', 'Stellate')",0.6279,"('Basophil', 'CD4', 'Stellate')"
"('Basophil', 'CD8', 'Cholangiocyte')",0.7411,"('Basophil', 'CD8', 'Cholangiocyte')"
"('Basophil', 'CD8', 'Eosinophil')",0.4255,"('Basophil', 'CD8', 'Eosinophil')"
"('Basophil', 'CD8', 'Hepatocyte')",0.606,"('Basophil', 'CD8', 'Hepatocyte')"
"('Basophil', 'CD8', 'Kupffer')",0.5441,"('Basophil', 'CD8', 'Kupffer')"
"('Basophil', 'CD8', 'LSEC')",0.6657,"('Basophil', 'CD8', 'LSEC')"
"('Basophil', 'CD8', 'Monocyte')",0.3172,"('Basophil', 'CD8', 'Monocyte')"
"('Basophil', 'CD8', 'Neutrophil')",0.583,"('Basophil', 'CD8', 'Neutrophil')"
"('Basophil', 'CD8', 'Stellate')",0.6843,"('Basophil', 'CD8', 'Stellate')"
"('Basophil', 'Cholangiocyte', 'Eosinophil')",0.6704,"('Basophil', 'Cholangiocyte', 'Eosinophil')"
"('Basophil', 'Cholangiocyte', 'Hepatocyte')",0.5835,"('Basophil', 'Cholangiocyte', 'Hepatocyte')"
"('Basophil', 'Cholangiocyte', 'Kupffer')",0.5047,"('Basophil', 'Cholangiocyte', 'Kupffer')"
"('Basophil', 'Cholangiocyte', 'LSEC')",0.6374,"('Basophil', 'Cholangiocyte', 'LSEC')"
"('Basophil', 'Cholangiocyte', 'Monocyte')",0.6728,"('Basophil', 'Cholangiocyte', 'Monocyte')"
"('Basophil', 'Cholangiocyte', 'Neutrophil')",0.7582,"('Basophil', 'Cholangiocyte', 'Neutrophil')"
"('Basophil', 'Cholangiocyte', 'Stellate')",0.7048,"('Basophil', 'Cholangiocyte', 'Stellate')"
"('Basophil', 'Eosinophil', 'Hepatocyte')",0.7367,"('Basophil', 'Eosinophil', 'Hepatocyte')"
"('Basophil', 'Eosinophil', 'Kupffer')",0.7098,"('Basophil', 'Eosinophil', 'Kupffer')"
"('Basophil', 'Eosinophil', 'LSEC')",0.7434,"('Basophil', 'Eosinophil', 'LSEC')"
"('Basophil', 'Eosinophil', 'Monocyte')",0.6319,"('Basophil', 'Eosinophil', 'Monocyte')"
"('Basophil', 'Eosinophil', 'Neutrophil')",0.6877,"('Basophil', 'Eosinophil', 'Neutrophil')"
"('Basophil', 'Eosinophil', 'Stellate')",0.7076,"('Basophil', 'Eosinophil', 'Stellate')"
"('Basophil', 'Hepatocyte', 'Kupffer')",0.5638,"('Basophil', 'Hepatocyte', 'Kupffer')"
"('Basophil', 'Hepatocyte', 'LSEC')",0.6195,"('Basophil', 'Hepatocyte', 'LSEC')"
"('Basophil', 'Hepatocyte', 'Monocyte')",0.7146,"('Basophil', 'Hepatocyte', 'Monocyte')"
"('Basophil', 'Hepatocyte', 'Neutrophil')",0.7229,"('Basophil', 'Hepatocyte', 'Neutrophil')"
"('Basophil', 'Hepatocyte', 'Stellate')",0.6238,"('Basophil', 'Hepatocyte', 'Stellate')"
"('Basophil', 'Kupffer', 'LSEC')",0.5983,"('Basophil', 'Kupffer', 'LSEC')"
"('Basophil', 'Kupffer', 'Monocyte')",0.6829,"('Basophil', 'Kupffer', 'Monocyte')"
"('Basophil', 'Kupffer', 'Neutrophil')",0.7365,"('Basophil', 'Kupffer', 'Neutrophil')"
"('Basophil', 'Kupffer', 'Stellate')",0.6249,"('Basophil', 'Kupffer', 'Stellate')"
"('Basophil', 'LSEC', 'Monocyte')",0.6943,"('Basophil', 'LSEC', 'Monocyte')"
"('Basophil', 'LSEC', 'Neutrophil')",0.7686,"('Basophil', 'LSEC', 'Neutrophil')"
"('Basophil', 'LSEC', 'Stellate')",0.6893,"('Basophil', 'LSEC', 'Stellate')"
"('Basophil', 'Monocyte', 'Neutrophil')",0.7235,"('Basophil', 'Monocyte', 'Neutrophil')"
"('Basophil', 'Monocyte', 'Stellate')",0.6264,"('Basophil', 'Monocyte', 'Stellate')"
"('Basophil', 'Neutrophil', 'Stellate')",0.7212,"('Basophil', 'Neutrophil', 'Stellate')"
"('CD4', 'CD8', 'Cholangiocyte')",0.6607,"('CD4', 'CD8', 'Cholangiocyte')"
"('CD4', 'CD8', 'Eosinophil')",0.5101,"('CD4', 'CD8', 'Eosinophil')"
"('CD4', 'CD8', 'Hepatocyte')",0.0989,"('CD4', 'CD8', 'Hepatocyte')"
"('CD4', 'CD8', 'Kupffer')",-0.0236,"('CD4', 'CD8', 'Kupffer')"
"('CD4', 'CD8', 'LSEC')",0.2474,"('CD4', 'CD8', 'LSEC')"
"('CD4', 'CD8', 'Monocyte')",0.4827,"('CD4', 'CD8', 'Monocyte')"
"('CD4', 'CD8', 'Neutrophil')",0.4981,"('CD4', 'CD8', 'Neutrophil')"
"('CD4', 'CD8', 'Stellate')",-0.0183,"('CD4', 'CD8', 'Stellate')"
"('CD4', 'Cholangiocyte', 'Eosinophil')",0.593,"('CD4', 'Cholangiocyte', 'Eosinophil')"
"('CD4', 'Cholangiocyte', 'Hepatocyte')",0.1907,"('CD4', 'Cholangiocyte', 'Hepatocyte')"
"('CD4', 'Cholangiocyte', 'Kupffer')",0.3042,"('CD4', 'Cholangiocyte', 'Kupffer')"
"('CD4', 'Cholangiocyte', 'LSEC')",0.2729,"('CD4', 'Cholangiocyte', 'LSEC')"
"('CD4', 'Cholangiocyte', 'Monocyte')",0.5675,"('CD4', 'Cholangiocyte', 'Monocyte')"
"('CD4', 'Cholangiocyte', 'Neutrophil')",0.5683,"('CD4', 'Cholangiocyte', 'Neutrophil')"
"('CD4', 'Cholangiocyte', 'Stellate')",0.3277,"('CD4', 'Cholangiocyte', 'Stellate')"
"('CD4', 'Eosinophil', 'Hepatocyte')",0.5774,"('CD4', 'Eosinophil', 'Hepatocyte')"
"('CD4', 'Eosinophil', 'Kupffer')",0.4604,"('CD4', 'Eosinophil', 'Kupffer')"
"('CD4', 'Eosinophil', 'LSEC')",0.5783,"('CD4', 'Eosinophil', 'LSEC')"
"('CD4', 'Eosinophil', 'Monocyte')",0.5352,"('CD4', 'Eosinophil', 'Monocyte')"
"('CD4', 'Eosinophil', 'Neutrophil')",0.5895,"('CD4', 'Eosinophil', 'Neutrophil')"
"('CD4', 'Eosinophil', 'Stellate')",0.592,"('CD4', 'Eosinophil', 'Stellate')"
"('CD4', 'Hepatocyte', 'Kupffer')",0.2365,"('CD4', 'Hepatocyte', 'Kupffer')"
"('CD4', 'Hepatocyte', 'LSEC')",0.27,"('CD4', 'Hepatocyte', 'LSEC')"
"('CD4', 'Hepatocyte', 'Monocyte')",0.5831,"('CD4', 'Hepatocyte', 'Monocyte')"
"('CD4', 'Hepatocyte', 'Neutrophil')",0.6387,"('CD4', 'Hepatocyte', 'Neutrophil')"
"('CD4', 'Hepatocyte', 'Stellate')",0.1543,"('CD4', 'Hepatocyte', 'Stellate')"
"('CD4', 'Kupffer', 'LSEC')",0.3557,"('CD4', 'Kupffer', 'LSEC')"
"('CD4', 'Kupffer', 'Monocyte')",0.397,"('CD4', 'Kupffer', 'Monocyte')"
"('CD4', 'Kupffer', 'Neutrophil')",0.406,"('CD4', 'Kupffer', 'Neutrophil')"
"('CD4', 'Kupffer', 'Stellate')",0.3737,"('CD4', 'Kupffer', 'Stellate')"
"('CD4', 'LSEC', 'Monocyte')",0.5845,"('CD4', 'LSEC', 'Monocyte')"
"('CD4', 'LSEC', 'Neutrophil')",0.6378,"('CD4', 'LSEC', 'Neutrophil')"
"('CD4', 'LSEC', 'Stellate')",0.4194,"('CD4', 'LSEC', 'Stellate')"
"('CD4', 'Monocyte', 'Neutrophil')",0.5486,"('CD4', 'Monocyte', 'Neutrophil')"
"('CD4', 'Monocyte', 'Stellate')",0.5494,"('CD4', 'Monocyte', 'Stellate')"
"('CD4', 'Neutrophil', 'Stellate')",0.5103,"('CD4', 'Neutrophil', 'Stellate')"
"('CD8', 'Cholangiocyte', 'Eosinophil')",0.6802,"('CD8', 'Cholangiocyte', 'Eosinophil')"
"('CD8', 'Cholangiocyte', 'Hepatocyte')",0.5432,"('CD8', 'Cholangiocyte', 'Hepatocyte')"
"('CD8', 'Cholangiocyte', 'Kupffer')",0.3122,"('CD8', 'Cholangiocyte', 'Kupffer')"
"('CD8', 'Cholangiocyte', 'LSEC')",0.4617,"('CD8', 'Cholangiocyte', 'LSEC')"
"('CD8', 'Cholangiocyte', 'Monocyte')",0.6171,"('CD8', 'Cholangiocyte', 'Monocyte')"
"('CD8', 'Cholangiocyte', 'Neutrophil')",0.625,"('CD8', 'Cholangiocyte', 'Neutrophil')"
"('CD8', 'Cholangiocyte', 'Stellate')",0.5061,"('CD8', 'Cholangiocyte', 'Stellate')"
"('CD8', 'Eosinophil', 'Hepatocyte')",0.5086,"('CD8', 'Eosinophil', 'Hepatocyte')"
"('CD8', 'Eosinophil', 'Kupffer')",0.3155,"('CD8', 'Eosinophil', 'Kupffer')"
"('CD8', 'Eosinophil', 'LSEC')",0.5687,"('CD8', 'Eosinophil', 'LSEC')"
"('CD8', 'Eosinophil', 'Monocyte')",0.317,"('CD8', 'Eosinophil', 'Monocyte')"
"('CD8', 'Eosinophil', 'Neutrophil')",0.6175,"('CD8', 'Eosinophil', 'Neutrophil')"
"('CD8', 'Eosinophil', 'Stellate')",0.6382,"('CD8', 'Eosinophil', 'Stellate')"
"('CD8', 'Hepatocyte', 'Kupffer')",0.2633,"('CD8', 'Hepatocyte', 'Kupffer')"
"('CD8', 'Hepatocyte', 'LSEC')",0.3027,"('CD8', 'Hepatocyte', 'LSEC')"
"('CD8', 'Hepatocyte', 'Monocyte')",0.5325,"('CD8', 'Hepatocyte', 'Monocyte')"
"('CD8', 'Hepatocyte', 'Neutrophil')",0.6159,"('CD8', 'Hepatocyte', 'Neutrophil')"
"('CD8', 'Hepatocyte', 'Stellate')",0.1782,"('CD8', 'Hepatocyte', 'Stellate')"
"('CD8', 'Kupffer', 'LSEC')",0.3812,"('CD8', 'Kupffer', 'LSEC')"
"('CD8', 'Kupffer', 'Monocyte')",0.2533,"('CD8', 'Kupffer', 'Monocyte')"
"('CD8', 'Kupffer', 'Neutrophil')",0.3496,"('CD8', 'Kupffer', 'Neutrophil')"
"('CD8', 'Kupffer', 'Stellate')",0.4425,"('CD8', 'Kupffer', 'Stellate')"
"('CD8', 'LSEC', 'Monocyte')",0.5797,"('CD8', 'LSEC', 'Monocyte')"
"('CD8', 'LSEC', 'Neutrophil')",0.6028,"('CD8', 'LSEC', 'Neutrophil')"
"('CD8', 'LSEC', 'Stellate')",0.4517,"('CD8', 'LSEC', 'Stellate')"
"('CD8', 'Monocyte', 'Neutrophil')",0.2876,"('CD8', 'Monocyte', 'Neutrophil')"
"('CD8', 'Monocyte', 'Stellate')",0.5306,"('CD8', 'Monocyte', 'Stellate')"
"('CD8', 'Neutrophil', 'Stellate')",0.6439,"('CD8', 'Neutrophil', 'Stellate')"
"('Cholangiocyte', 'Eosinophil', 'Hepatocyte')",0.5864,"('Cholangiocyte', 'Eosinophil', 'Hepatocyte')"
"('Cholangiocyte', 'Eosinophil', 'Kupffer')",0.6365,"('Cholangiocyte', 'Eosinophil', 'Kupffer')"
"('Cholangiocyte', 'Eosinophil', 'LSEC')",0.6637,"('Cholangiocyte', 'Eosinophil', 'LSEC')"
"('Cholangiocyte', 'Eosinophil', 'Monocyte')",0.6199,"('Cholangiocyte', 'Eosinophil', 'Monocyte')"
"('Cholangiocyte', 'Eosinophil', 'Neutrophil')",0.7538,"('Cholangiocyte', 'Eosinophil', 'Neutrophil')"
"('Cholangiocyte', 'Eosinophil', 'Stellate')",0.7051,"('Cholangiocyte', 'Eosinophil', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.3489,"('Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('Cholangiocyte', 'Hepatocyte', 'LSEC')",-0.0036,"('Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('Cholangiocyte', 'Hepatocyte', 'Monocyte')",0.5125,"('Cholangiocyte', 'Hepatocyte', 'Monocyte')"
"('Cholangiocyte', 'Hepatocyte', 'Neutrophil')",0.6221,"('Cholangiocyte', 'Hepatocyte', 'Neutrophil')"
"('Cholangiocyte', 'Hepatocyte', 'Stellate')",0.0105,"('Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('Cholangiocyte', 'Kupffer', 'LSEC')",0.3988,"('Cholangiocyte', 'Kupffer', 'LSEC')"
"('Cholangiocyte', 'Kupffer', 'Monocyte')",0.4754,"('Cholangiocyte', 'Kupffer', 'Monocyte')"
"('Cholangiocyte', 'Kupffer', 'Neutrophil')",0.6881,"('Cholangiocyte', 'Kupffer', 'Neutrophil')"
"('Cholangiocyte', 'Kupffer', 'Stellate')",0.5174,"('Cholangiocyte', 'Kupffer', 'Stellate')"
"('Cholangiocyte', 'LSEC', 'Monocyte')",0.6115,"('Cholangiocyte', 'LSEC', 'Monocyte')"
"('Cholangiocyte', 'LSEC', 'Neutrophil')",0.6906,"('Cholangiocyte', 'LSEC', 'Neutrophil')"
"('Cholangiocyte', 'LSEC', 'Stellate')",0.0885,"('Cholangiocyte', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'Monocyte', 'Neutrophil')",0.6228,"('Cholangiocyte', 'Monocyte', 'Neutrophil')"
"('Cholangiocyte', 'Monocyte', 'Stellate')",0.711,"('Cholangiocyte', 'Monocyte', 'Stellate')"
"('Cholangiocyte', 'Neutrophil', 'Stellate')",0.7107,"('Cholangiocyte', 'Neutrophil', 'Stellate')"
"('Eosinophil', 'Hepatocyte', 'Kupffer')",0.6306,"('Eosinophil', 'Hepatocyte', 'Kupffer')"
"('Eosinophil', 'Hepatocyte', 'LSEC')",0.6729,"('Eosinophil', 'Hepatocyte', 'LSEC')"
"('Eosinophil', 'Hepatocyte', 'Monocyte')",0.7207,"('Eosinophil', 'Hepatocyte', 'Monocyte')"
"('Eosinophil', 'Hepatocyte', 'Neutrophil')",0.7518,"('Eosinophil', 'Hepatocyte', 'Neutrophil')"
"('Eosinophil', 'Hepatocyte', 'Stellate')",0.6716,"('Eosinophil', 'Hepatocyte', 'Stellate')"
"('Eosinophil', 'Kupffer', 'LSEC')",0.6655,"('Eosinophil', 'Kupffer', 'LSEC')"
"('Eosinophil', 'Kupffer', 'Monocyte')",0.6555,"('Eosinophil', 'Kupffer', 'Monocyte')"
"('Eosinophil', 'Kupffer', 'Neutrophil')",0.6805,"('Eosinophil', 'Kupffer', 'Neutrophil')"
"('Eosinophil', 'Kupffer', 'Stellate')",0.5726,"('Eosinophil', 'Kupffer', 'Stellate')"
"('Eosinophil', 'LSEC', 'Monocyte')",0.6775,"('Eosinophil', 'LSEC', 'Monocyte')"
"('Eosinophil', 'LSEC', 'Neutrophil')",0.656,"('Eosinophil', 'LSEC', 'Neutrophil')"
"('Eosinophil', 'LSEC', 'Stellate')",0.7851,"('Eosinophil', 'LSEC', 'Stellate')"
"('Eosinophil', 'Monocyte', 'Neutrophil')",0.6698,"('Eosinophil', 'Monocyte', 'Neutrophil')"
"('Eosinophil', 'Monocyte', 'Stellate')",0.584,"('Eosinophil', 'Monocyte', 'Stellate')"
"('Eosinophil', 'Neutrophil', 'Stellate')",0.7063,"('Eosinophil', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC')",0.3976,"('Hepatocyte', 'Kupffer', 'LSEC')"
"('Hepatocyte', 'Kupffer', 'Monocyte')",0.4569,"('Hepatocyte', 'Kupffer', 'Monocyte')"
"('Hepatocyte', 'Kupffer', 'Neutrophil')",0.6572,"('Hepatocyte', 'Kupffer', 'Neutrophil')"
"('Hepatocyte', 'Kupffer', 'Stellate')",0.4512,"('Hepatocyte', 'Kupffer', 'Stellate')"
"('Hepatocyte', 'LSEC', 'Monocyte')",0.5818,"('Hepatocyte', 'LSEC', 'Monocyte')"
"('Hepatocyte', 'LSEC', 'Neutrophil')",0.7089,"('Hepatocyte', 'LSEC', 'Neutrophil')"
