,Monocyte,pair
"('B', 'Basophil', 'Cholangiocyte', 'NK', 'Stellate')",0.4697,"('B', 'Basophil', 'Cholangiocyte', 'NK', 'Stellate')"
"('B', 'Basophil', 'Cholangiocyte', 'Neutrophil', 'Stellate')",0.3631,"('B', 'Basophil', 'Cholangiocyte', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Eosinophil', 'Hepatocyte', 'Kupffer')",0.5145,"('B', 'Basophil', 'Eosinophil', 'Hepatocyte', 'Kupffer')"
"('B', 'Basophil', 'Eosinophil', 'Hepatocyte', 'LSEC')",0.4462,"('B', 'Basophil', 'Eosinophil', 'Hepatocyte', 'LSEC')"
"('B', 'Basophil', 'Eosinophil', 'Hepatocyte', 'NK')",0.5213,"('B', 'Basophil', 'Eosinophil', 'Hepatocyte', 'NK')"
"('B', 'Basophil', 'Eosinophil', 'Hepatocyte', 'Neutrophil')",0.3509,"('B', 'Basophil', 'Eosinophil', 'Hepatocyte', 'Neutrophil')"
"('B', 'Basophil', 'Eosinophil', 'Hepatocyte', 'Stellate')",0.4768,"('B', 'Basophil', 'Eosinophil', 'Hepatocyte', 'Stellate')"
"('B', 'Basophil', 'Eosinophil', 'Kupffer', 'LSEC')",0.0058,"('B', 'Basophil', 'Eosinophil', 'Kupffer', 'LSEC')"
"('B', 'Basophil', 'Eosinophil', 'Kupffer', 'NK')",0.4315,"('B', 'Basophil', 'Eosinophil', 'Kupffer', 'NK')"
"('B', 'Basophil', 'Eosinophil', 'Kupffer', 'Neutrophil')",0.2159,"('B', 'Basophil', 'Eosinophil', 'Kupffer', 'Neutrophil')"
"('B', 'Basophil', 'Eosinophil', 'Kupffer', 'Stellate')",0.3732,"('B', 'Basophil', 'Eosinophil', 'Kupffer', 'Stellate')"
"('B', 'Basophil', 'Eosinophil', 'LSEC', 'NK')",0.6542,"('B', 'Basophil', 'Eosinophil', 'LSEC', 'NK')"
"('B', 'Basophil', 'Eosinophil', 'LSEC', 'Neutrophil')",0.3916,"('B', 'Basophil', 'Eosinophil', 'LSEC', 'Neutrophil')"
"('B', 'Basophil', 'Eosinophil', 'LSEC', 'Stellate')",0.4335,"('B', 'Basophil', 'Eosinophil', 'LSEC', 'Stellate')"
"('B', 'Basophil', 'Eosinophil', 'NK', 'Neutrophil')",0.6113,"('B', 'Basophil', 'Eosinophil', 'NK', 'Neutrophil')"
"('B', 'Basophil', 'Eosinophil', 'NK', 'Stellate')",0.6017,"('B', 'Basophil', 'Eosinophil', 'NK', 'Stellate')"
"('B', 'Basophil', 'Eosinophil', 'Neutrophil', 'Stellate')",0.4202,"('B', 'Basophil', 'Eosinophil', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'LSEC')",0.2185,"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'NK')",0.5014,"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'NK')"
"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.3853,"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'Stellate')",0.0177,"('B', 'Basophil', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('B', 'Basophil', 'Hepatocyte', 'LSEC', 'NK')",0.6114,"('B', 'Basophil', 'Hepatocyte', 'LSEC', 'NK')"
"('B', 'Basophil', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.4785,"('B', 'Basophil', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('B', 'Basophil', 'Hepatocyte', 'LSEC', 'Stellate')",0.5006,"('B', 'Basophil', 'Hepatocyte', 'LSEC', 'Stellate')"
"('B', 'Basophil', 'Hepatocyte', 'NK', 'Neutrophil')",0.3584,"('B', 'Basophil', 'Hepatocyte', 'NK', 'Neutrophil')"
"('B', 'Basophil', 'Hepatocyte', 'NK', 'Stellate')",0.5079,"('B', 'Basophil', 'Hepatocyte', 'NK', 'Stellate')"
"('B', 'Basophil', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.1963,"('B', 'Basophil', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'Kupffer', 'LSEC', 'NK')",0.4895,"('B', 'Basophil', 'Kupffer', 'LSEC', 'NK')"
"('B', 'Basophil', 'Kupffer', 'LSEC', 'Neutrophil')",0.3745,"('B', 'Basophil', 'Kupffer', 'LSEC', 'Neutrophil')"
"('B', 'Basophil', 'Kupffer', 'LSEC', 'Stellate')",0.381,"('B', 'Basophil', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'Basophil', 'Kupffer', 'NK', 'Neutrophil')",0.6306,"('B', 'Basophil', 'Kupffer', 'NK', 'Neutrophil')"
"('B', 'Basophil', 'Kupffer', 'NK', 'Stellate')",0.5466,"('B', 'Basophil', 'Kupffer', 'NK', 'Stellate')"
"('B', 'Basophil', 'Kupffer', 'Neutrophil', 'Stellate')",0.3083,"('B', 'Basophil', 'Kupffer', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'LSEC', 'NK', 'Neutrophil')",0.6764,"('B', 'Basophil', 'LSEC', 'NK', 'Neutrophil')"
"('B', 'Basophil', 'LSEC', 'NK', 'Stellate')",0.6428,"('B', 'Basophil', 'LSEC', 'NK', 'Stellate')"
"('B', 'Basophil', 'LSEC', 'Neutrophil', 'Stellate')",0.6962,"('B', 'Basophil', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'Basophil', 'NK', 'Neutrophil', 'Stellate')",0.6309,"('B', 'Basophil', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Eosinophil')",0.694,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Eosinophil')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte')",0.7113,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Hepatocyte')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer')",0.3478,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Kupffer')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'LSEC')",0.7617,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'LSEC')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'NK')",0.694,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'NK')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Neutrophil')",0.5969,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Stellate')",0.6103,"('B', 'CD4', 'CD8', 'Cholangiocyte', 'Stellate')"
"('B', 'CD4', 'CD8', 'Eosinophil', 'Hepatocyte')",0.6661,"('B', 'CD4', 'CD8', 'Eosinophil', 'Hepatocyte')"
"('B', 'CD4', 'CD8', 'Eosinophil', 'Kupffer')",0.3186,"('B', 'CD4', 'CD8', 'Eosinophil', 'Kupffer')"
"('B', 'CD4', 'CD8', 'Eosinophil', 'LSEC')",0.772,"('B', 'CD4', 'CD8', 'Eosinophil', 'LSEC')"
"('B', 'CD4', 'CD8', 'Eosinophil', 'NK')",0.5438,"('B', 'CD4', 'CD8', 'Eosinophil', 'NK')"
"('B', 'CD4', 'CD8', 'Eosinophil', 'Neutrophil')",0.6082,"('B', 'CD4', 'CD8', 'Eosinophil', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Eosinophil', 'Stellate')",0.6047,"('B', 'CD4', 'CD8', 'Eosinophil', 'Stellate')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer')",0.1867,"('B', 'CD4', 'CD8', 'Hepatocyte', 'Kupffer')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'LSEC')",0.7304,"('B', 'CD4', 'CD8', 'Hepatocyte', 'LSEC')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'NK')",0.6768,"('B', 'CD4', 'CD8', 'Hepatocyte', 'NK')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'Neutrophil')",0.4413,"('B', 'CD4', 'CD8', 'Hepatocyte', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Hepatocyte', 'Stellate')",0.5646,"('B', 'CD4', 'CD8', 'Hepatocyte', 'Stellate')"
"('B', 'CD4', 'CD8', 'Kupffer', 'LSEC')",0.3699,"('B', 'CD4', 'CD8', 'Kupffer', 'LSEC')"
"('B', 'CD4', 'CD8', 'Kupffer', 'NK')",0.3854,"('B', 'CD4', 'CD8', 'Kupffer', 'NK')"
"('B', 'CD4', 'CD8', 'Kupffer', 'Neutrophil')",0.3711,"('B', 'CD4', 'CD8', 'Kupffer', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'Kupffer', 'Stellate')",0.3684,"('B', 'CD4', 'CD8', 'Kupffer', 'Stellate')"
"('B', 'CD4', 'CD8', 'LSEC', 'NK')",0.7213,"('B', 'CD4', 'CD8', 'LSEC', 'NK')"
"('B', 'CD4', 'CD8', 'LSEC', 'Neutrophil')",0.6472,"('B', 'CD4', 'CD8', 'LSEC', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'LSEC', 'Stellate')",0.6472,"('B', 'CD4', 'CD8', 'LSEC', 'Stellate')"
"('B', 'CD4', 'CD8', 'NK', 'Neutrophil')",0.5036,"('B', 'CD4', 'CD8', 'NK', 'Neutrophil')"
"('B', 'CD4', 'CD8', 'NK', 'Stellate')",0.6566,"('B', 'CD4', 'CD8', 'NK', 'Stellate')"
"('B', 'CD4', 'CD8', 'Neutrophil', 'Stellate')",0.6347,"('B', 'CD4', 'CD8', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte')",0.4388,"('B', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte')"
"('B', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Kupffer')",0.2366,"('B', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Kupffer')"
"('B', 'CD4', 'Cholangiocyte', 'Eosinophil', 'LSEC')",0.1132,"('B', 'CD4', 'Cholangiocyte', 'Eosinophil', 'LSEC')"
"('B', 'CD4', 'Cholangiocyte', 'Eosinophil', 'NK')",0.7067,"('B', 'CD4', 'Cholangiocyte', 'Eosinophil', 'NK')"
"('B', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Neutrophil')",0.5051,"('B', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Neutrophil')"
"('B', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Stellate')",0.5403,"('B', 'CD4', 'Cholangiocyte', 'Eosinophil', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')",-0.0296,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC')",0.7062,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'NK')",0.7048,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'NK')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')",0.6084,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')"
"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Stellate')",0.5503,"('B', 'CD4', 'Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'LSEC')",-0.0308,"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'LSEC')"
"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'NK')",0.2139,"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'NK')"
"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'Neutrophil')",0.3212,"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'Neutrophil')"
"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'Stellate')",0.0438,"('B', 'CD4', 'Cholangiocyte', 'Kupffer', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'LSEC', 'NK')",0.7611,"('B', 'CD4', 'Cholangiocyte', 'LSEC', 'NK')"
"('B', 'CD4', 'Cholangiocyte', 'LSEC', 'Neutrophil')",0.3931,"('B', 'CD4', 'Cholangiocyte', 'LSEC', 'Neutrophil')"
"('B', 'CD4', 'Cholangiocyte', 'LSEC', 'Stellate')",0.6043,"('B', 'CD4', 'Cholangiocyte', 'LSEC', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'NK', 'Neutrophil')",0.6519,"('B', 'CD4', 'Cholangiocyte', 'NK', 'Neutrophil')"
"('B', 'CD4', 'Cholangiocyte', 'NK', 'Stellate')",0.5856,"('B', 'CD4', 'Cholangiocyte', 'NK', 'Stellate')"
"('B', 'CD4', 'Cholangiocyte', 'Neutrophil', 'Stellate')",0.3168,"('B', 'CD4', 'Cholangiocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'Eosinophil', 'Hepatocyte', 'Kupffer')",0.3399,"('B', 'CD4', 'Eosinophil', 'Hepatocyte', 'Kupffer')"
"('B', 'CD4', 'Eosinophil', 'Hepatocyte', 'LSEC')",0.1948,"('B', 'CD4', 'Eosinophil', 'Hepatocyte', 'LSEC')"
"('B', 'CD4', 'Eosinophil', 'Hepatocyte', 'NK')",0.5568,"('B', 'CD4', 'Eosinophil', 'Hepatocyte', 'NK')"
"('B', 'CD4', 'Eosinophil', 'Hepatocyte', 'Neutrophil')",0.2698,"('B', 'CD4', 'Eosinophil', 'Hepatocyte', 'Neutrophil')"
"('B', 'CD4', 'Eosinophil', 'Hepatocyte', 'Stellate')",0.2473,"('B', 'CD4', 'Eosinophil', 'Hepatocyte', 'Stellate')"
"('B', 'CD4', 'Eosinophil', 'Kupffer', 'LSEC')",0.0657,"('B', 'CD4', 'Eosinophil', 'Kupffer', 'LSEC')"
"('B', 'CD4', 'Eosinophil', 'Kupffer', 'NK')",0.5082,"('B', 'CD4', 'Eosinophil', 'Kupffer', 'NK')"
"('B', 'CD4', 'Eosinophil', 'Kupffer', 'Neutrophil')",0.3316,"('B', 'CD4', 'Eosinophil', 'Kupffer', 'Neutrophil')"
"('B', 'CD4', 'Eosinophil', 'Kupffer', 'Stellate')",0.2994,"('B', 'CD4', 'Eosinophil', 'Kupffer', 'Stellate')"
"('B', 'CD4', 'Eosinophil', 'LSEC', 'NK')",0.6755,"('B', 'CD4', 'Eosinophil', 'LSEC', 'NK')"
"('B', 'CD4', 'Eosinophil', 'LSEC', 'Neutrophil')",0.4214,"('B', 'CD4', 'Eosinophil', 'LSEC', 'Neutrophil')"
"('B', 'CD4', 'Eosinophil', 'LSEC', 'Stellate')",0.6357,"('B', 'CD4', 'Eosinophil', 'LSEC', 'Stellate')"
"('B', 'CD4', 'Eosinophil', 'NK', 'Neutrophil')",0.6622,"('B', 'CD4', 'Eosinophil', 'NK', 'Neutrophil')"
"('B', 'CD4', 'Eosinophil', 'NK', 'Stellate')",0.7052,"('B', 'CD4', 'Eosinophil', 'NK', 'Stellate')"
"('B', 'CD4', 'Eosinophil', 'Neutrophil', 'Stellate')",0.4116,"('B', 'CD4', 'Eosinophil', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'Hepatocyte', 'Kupffer', 'LSEC')",0.2473,"('B', 'CD4', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('B', 'CD4', 'Hepatocyte', 'Kupffer', 'NK')",0.0619,"('B', 'CD4', 'Hepatocyte', 'Kupffer', 'NK')"
"('B', 'CD4', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.3637,"('B', 'CD4', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('B', 'CD4', 'Hepatocyte', 'Kupffer', 'Stellate')",0.0854,"('B', 'CD4', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('B', 'CD4', 'Hepatocyte', 'LSEC', 'NK')",0.7113,"('B', 'CD4', 'Hepatocyte', 'LSEC', 'NK')"
"('B', 'CD4', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.4587,"('B', 'CD4', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('B', 'CD4', 'Hepatocyte', 'LSEC', 'Stellate')",0.5634,"('B', 'CD4', 'Hepatocyte', 'LSEC', 'Stellate')"
"('B', 'CD4', 'Hepatocyte', 'NK', 'Neutrophil')",0.4091,"('B', 'CD4', 'Hepatocyte', 'NK', 'Neutrophil')"
"('B', 'CD4', 'Hepatocyte', 'NK', 'Stellate')",0.5375,"('B', 'CD4', 'Hepatocyte', 'NK', 'Stellate')"
"('B', 'CD4', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.3151,"('B', 'CD4', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'Kupffer', 'LSEC', 'NK')",0.3065,"('B', 'CD4', 'Kupffer', 'LSEC', 'NK')"
"('B', 'CD4', 'Kupffer', 'LSEC', 'Neutrophil')",0.317,"('B', 'CD4', 'Kupffer', 'LSEC', 'Neutrophil')"
"('B', 'CD4', 'Kupffer', 'LSEC', 'Stellate')",0.1775,"('B', 'CD4', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'CD4', 'Kupffer', 'NK', 'Neutrophil')",0.5703,"('B', 'CD4', 'Kupffer', 'NK', 'Neutrophil')"
"('B', 'CD4', 'Kupffer', 'NK', 'Stellate')",0.4669,"('B', 'CD4', 'Kupffer', 'NK', 'Stellate')"
"('B', 'CD4', 'Kupffer', 'Neutrophil', 'Stellate')",0.1396,"('B', 'CD4', 'Kupffer', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'LSEC', 'NK', 'Neutrophil')",0.6314,"('B', 'CD4', 'LSEC', 'NK', 'Neutrophil')"
"('B', 'CD4', 'LSEC', 'NK', 'Stellate')",0.6686,"('B', 'CD4', 'LSEC', 'NK', 'Stellate')"
"('B', 'CD4', 'LSEC', 'Neutrophil', 'Stellate')",0.4958,"('B', 'CD4', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'CD4', 'NK', 'Neutrophil', 'Stellate')",0.5746,"('B', 'CD4', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte')",0.7389,"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte')"
"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Kupffer')",0.4313,"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Kupffer')"
"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'LSEC')",0.5401,"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'LSEC')"
"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'NK')",0.7426,"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Neutrophil')",0.5807,"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Stellate')",0.6614,"('B', 'CD8', 'Cholangiocyte', 'Eosinophil', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')",0.4497,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Kupffer')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC')",0.7366,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'LSEC')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'NK')",0.7194,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')",0.722,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Stellate')",0.6199,"('B', 'CD8', 'Cholangiocyte', 'Hepatocyte', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC')",0.1781,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'LSEC')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'NK')",0.388,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil')",0.2568,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Stellate')",-0.0368,"('B', 'CD8', 'Cholangiocyte', 'Kupffer', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'NK')",0.7554,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'NK')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil')",0.4888,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Stellate')",0.5754,"('B', 'CD8', 'Cholangiocyte', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'NK', 'Neutrophil')",0.5141,"('B', 'CD8', 'Cholangiocyte', 'NK', 'Neutrophil')"
"('B', 'CD8', 'Cholangiocyte', 'NK', 'Stellate')",0.6032,"('B', 'CD8', 'Cholangiocyte', 'NK', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte', 'Neutrophil', 'Stellate')",0.3686,"('B', 'CD8', 'Cholangiocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'Kupffer')",0.5288,"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'Kupffer')"
"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'LSEC')",0.6652,"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'LSEC')"
"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'NK')",0.6047,"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'NK')"
"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'Neutrophil')",0.6968,"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'Neutrophil')"
"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'Stellate')",0.6244,"('B', 'CD8', 'Eosinophil', 'Hepatocyte', 'Stellate')"
"('B', 'CD8', 'Eosinophil', 'Kupffer', 'LSEC')",0.4806,"('B', 'CD8', 'Eosinophil', 'Kupffer', 'LSEC')"
"('B', 'CD8', 'Eosinophil', 'Kupffer', 'NK')",0.3597,"('B', 'CD8', 'Eosinophil', 'Kupffer', 'NK')"
"('B', 'CD8', 'Eosinophil', 'Kupffer', 'Neutrophil')",0.5161,"('B', 'CD8', 'Eosinophil', 'Kupffer', 'Neutrophil')"
"('B', 'CD8', 'Eosinophil', 'Kupffer', 'Stellate')",0.5658,"('B', 'CD8', 'Eosinophil', 'Kupffer', 'Stellate')"
"('B', 'CD8', 'Eosinophil', 'LSEC', 'NK')",0.7243,"('B', 'CD8', 'Eosinophil', 'LSEC', 'NK')"
"('B', 'CD8', 'Eosinophil', 'LSEC', 'Neutrophil')",0.6902,"('B', 'CD8', 'Eosinophil', 'LSEC', 'Neutrophil')"
"('B', 'CD8', 'Eosinophil', 'LSEC', 'Stellate')",0.692,"('B', 'CD8', 'Eosinophil', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Eosinophil', 'NK', 'Neutrophil')",0.5685,"('B', 'CD8', 'Eosinophil', 'NK', 'Neutrophil')"
"('B', 'CD8', 'Eosinophil', 'NK', 'Stellate')",0.6493,"('B', 'CD8', 'Eosinophil', 'NK', 'Stellate')"
"('B', 'CD8', 'Eosinophil', 'Neutrophil', 'Stellate')",0.6465,"('B', 'CD8', 'Eosinophil', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC')",0.4061,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'LSEC')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'NK')",0.3891,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'NK')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil')",0.5821,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Neutrophil')"
"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Stellate')",0.298,"('B', 'CD8', 'Hepatocyte', 'Kupffer', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'NK')",0.7419,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'NK')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Neutrophil')",0.5986,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Neutrophil')"
"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Stellate')",0.621,"('B', 'CD8', 'Hepatocyte', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'NK', 'Neutrophil')",0.6215,"('B', 'CD8', 'Hepatocyte', 'NK', 'Neutrophil')"
"('B', 'CD8', 'Hepatocyte', 'NK', 'Stellate')",0.5996,"('B', 'CD8', 'Hepatocyte', 'NK', 'Stellate')"
"('B', 'CD8', 'Hepatocyte', 'Neutrophil', 'Stellate')",0.5204,"('B', 'CD8', 'Hepatocyte', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'NK')",0.1825,"('B', 'CD8', 'Kupffer', 'LSEC', 'NK')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'Neutrophil')",0.5119,"('B', 'CD8', 'Kupffer', 'LSEC', 'Neutrophil')"
"('B', 'CD8', 'Kupffer', 'LSEC', 'Stellate')",0.1164,"('B', 'CD8', 'Kupffer', 'LSEC', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'NK', 'Neutrophil')",0.3592,"('B', 'CD8', 'Kupffer', 'NK', 'Neutrophil')"
"('B', 'CD8', 'Kupffer', 'NK', 'Stellate')",0.2043,"('B', 'CD8', 'Kupffer', 'NK', 'Stellate')"
"('B', 'CD8', 'Kupffer', 'Neutrophil', 'Stellate')",0.2275,"('B', 'CD8', 'Kupffer', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'LSEC', 'NK', 'Neutrophil')",0.6047,"('B', 'CD8', 'LSEC', 'NK', 'Neutrophil')"
"('B', 'CD8', 'LSEC', 'NK', 'Stellate')",0.6028,"('B', 'CD8', 'LSEC', 'NK', 'Stellate')"
"('B', 'CD8', 'LSEC', 'Neutrophil', 'Stellate')",0.6102,"('B', 'CD8', 'LSEC', 'Neutrophil', 'Stellate')"
"('B', 'CD8', 'NK', 'Neutrophil', 'Stellate')",0.5721,"('B', 'CD8', 'NK', 'Neutrophil', 'Stellate')"
"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer')",0.299,"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Kupffer')"
"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'LSEC')",0.3875,"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'LSEC')"
"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'NK')",0.6119,"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'NK')"
"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Neutrophil')",0.4985,"('B', 'Cholangiocyte', 'Eosinophil', 'Hepatocyte', 'Neutrophil')"
