,Monocyte,pair
"('B', 'Basophil', 'Neutrophil')",0.6044,"('B', 'Basophil', 'Neutrophil')"
"('B', 'Basophil', 'Stellate')",0.7239,"('B', 'Basophil', 'Stellate')"
"('B', 'CD4', 'CD8')",0.805,"('B', 'CD4', 'CD8')"
"('B', 'CD4', 'Cholangiocyte')",0.734,"('B', 'CD4', 'Cholangiocyte')"
"('B', 'CD4', 'Eosinophil')",0.6645,"('B', 'CD4', 'Eosinophil')"
"('B', 'CD4', 'Hepatocyte')",0.6346,"('B', 'CD4', 'Hepatocyte')"
"('B', 'CD4', 'Kupffer')",0.5614,"('B', 'CD4', 'Kupffer')"
"('B', 'CD4', 'LSEC')",0.7017,"('B', 'CD4', 'LSEC')"
"('B', 'CD4', 'NK')",0.8563,"('B', 'CD4', 'NK')"
"('B', 'CD4', 'Neutrophil')",0.4662,"('B', 'CD4', 'Neutrophil')"
"('B', 'CD4', 'Stellate')",0.6698,"('B', 'CD4', 'Stellate')"
"('B', 'CD8', 'Cholangiocyte')",0.6668,"('B', 'CD8', 'Cholangiocyte')"
"('B', 'CD8', 'Eosinophil')",0.6823,"('B', 'CD8', 'Eosinophil')"
"('B', 'CD8', 'Hepatocyte')",0.6681,"('B', 'CD8', 'Hepatocyte')"
"('B', 'CD8', 'Kupffer')",0.6183,"('B', 'CD8', 'Kupffer')"
"('B', 'CD8', 'LSEC')",0.7861,"('B', 'CD8', 'LSEC')"
"('B', 'CD8', 'NK')",0.8194,"('B', 'CD8', 'NK')"
"('B', 'CD8', 'Neutrophil')",0.7446,"('B', 'CD8', 'Neutrophil')"
"('B', 'CD8', 'Stellate')",0.7095,"('B', 'CD8', 'Stellate')"
"('B', 'Cholangiocyte', 'Eosinophil')",0.5924,"('B', 'Cholangiocyte', 'Eosinophil')"
"('B', 'Cholangiocyte', 'Hepatocyte')",0.7057,"('B', 'Cholangiocyte', 'Hepatocyte')"
"('B', 'Cholangiocyte', 'Kupffer')",-0.1617,"('B', 'Cholangiocyte', 'Kupffer')"
"('B', 'Cholangiocyte', 'LSEC')",0.237,"('B', 'Cholangiocyte', 'LSEC')"
"('B', 'Cholangiocyte', 'NK')",0.8002,"('B', 'Cholangiocyte', 'NK')"
"('B', 'Cholangiocyte', 'Neutrophil')",0.4705,"('B', 'Cholangiocyte', 'Neutrophil')"
"('B', 'Cholangiocyte', 'Stellate')",0.528,"('B', 'Cholangiocyte', 'Stellate')"
"('B', 'Eosinophil', 'Hepatocyte')",0.6084,"('B', 'Eosinophil', 'Hepatocyte')"
"('B', 'Eosinophil', 'Kupffer')",0.4599,"('B', 'Eosinophil', 'Kupffer')"
"('B', 'Eosinophil', 'LSEC')",0.371,"('B', 'Eosinophil', 'LSEC')"
"('B', 'Eosinophil', 'NK')",0.5456,"('B', 'Eosinophil', 'NK')"
"('B', 'Eosinophil', 'Neutrophil')",0.5569,"('B', 'Eosinophil', 'Neutrophil')"
"('B', 'Eosinophil', 'Stellate')",0.5345,"('B', 'Eosinophil', 'Stellate')"
"('B', 'Hepatocyte', 'Kupffer')",0.0045,"('B', 'Hepatocyte', 'Kupffer')"
"('B', 'Hepatocyte', 'LSEC')",0.6325,"('B', 'Hepatocyte', 'LSEC')"
"('B', 'Hepatocyte', 'NK')",0.6424,"('B', 'Hepatocyte', 'NK')"
"('B', 'Hepatocyte', 'Neutrophil')",0.5002,"('B', 'Hepatocyte', 'Neutrophil')"
"('B', 'Hepatocyte', 'Stellate')",0.5213,"('B', 'Hepatocyte', 'Stellate')"
"('B', 'Kupffer', 'LSEC')",-0.17,"('B', 'Kupffer', 'LSEC')"
"('B', 'Kupffer', 'NK')",0.6306,"('B', 'Kupffer', 'NK')"
"('B', 'Kupffer', 'Neutrophil')",0.4463,"('B', 'Kupffer', 'Neutrophil')"
"('B', 'Kupffer', 'Stellate')",-0.0071,"('B', 'Kupffer', 'Stellate')"
"('B', 'LSEC', 'NK')",0.8035,"('B', 'LSEC', 'NK')"
"('B', 'LSEC', 'Neutrophil')",0.025,"('B', 'LSEC', 'Neutrophil')"
"('B', 'LSEC', 'Stellate')",0.7128,"('B', 'LSEC', 'Stellate')"
"('B', 'NK', 'Neutrophil')",0.519,"('B', 'NK', 'Neutrophil')"
"('B', 'NK', 'Stellate')",0.8209,"('B', 'NK', 'Stellate')"
"('B', 'Neutrophil', 'Stellate')",0.4552,"('B', 'Neutrophil', 'Stellate')"
"('Basophil', 'CD4', 'CD8')",0.6558,"('Basophil', 'CD4', 'CD8')"
"('Basophil', 'CD4', 'Cholangiocyte')",0.2618,"('Basophil', 'CD4', 'Cholangiocyte')"
"('Basophil', 'CD4', 'Eosinophil')",0.6668,"('Basophil', 'CD4', 'Eosinophil')"
