,gdT,NKT,NK,CD4T,CD8T,B,Monocyte,Neutrophils,Kupffer,Eosinophil,MonoMac
APAP#12hr,0.4962044754396426,1.4888314730986412,0.5647548976791084,0.6198209343297933,0.7194667885895706,0.30732469856371053,3.5575112523547108,18.404554119504134,0.3843714808499431,0.6297815710968705,0.4642996649193703
APAP#12hr,0.493917450741092,1.0516076131351935,0.6033015372052406,0.5076961896819753,0.7171341666817066,0.29496172199028176,5.557239230468703,16.80710599420358,0.5392433067806953,0.3334516448878265,0.47086376695543153
APAP#12hr,0.4186515791062272,1.2706894520753262,0.5228249978644692,0.4441116175622552,0.5405740747902142,0.2175375129629871,7.576403036647263,18.494758630477964,0.2031152271912064,0.7682320612915547,0.5102222834553405
APAP#12hr,0.5540430147623567,2.1902081691881508,0.9238299325930978,0.61653754352078,0.8274784909764733,0.3512647898231319,3.6959290134813347,14.489489433619832,0.23270307779523086,0.8437035822138637,0.5403904480036384
APAP#24hr,0.2023175498906509,0.6693483679504335,0.42035024118164527,0.23264153597449252,0.6428398892166571,0.44365195005799335,20.370527763744164,10.872161235344658,0.3549291598761523,1.2404718090961828,0.9269117308536674
APAP#24hr,0.22194305383909949,0.6537438216585744,0.37245209339937085,0.30269243198769613,0.6864495673213707,0.4373766336937652,19.072350999670004,9.651543086642151,0.5234775477385232,2.0840925146673777,0.6111493632628098
APAP#24hr,0.2786110588721406,0.47552384862905944,0.49318507869026484,0.27433168233464794,0.669825036761692,0.5799270422455272,17.74858315845743,12.031304587090748,0.1711602940610949,2.242814414338322,0.7167076407391504
APAP#24hr,0.3903498251700256,0.3117257533225177,0.8252563488980947,0.3801733761646923,0.9035059301111747,0.8403321096610122,11.941203460777258,2.2237999164374425,0.47206049603093947,3.862365589930673,1.19659876844722
APAP#48hr,0.26217227832575507,0.4735878225360408,0.7359060873117478,0.21919348197125246,0.4992298126121257,0.6573278921513485,12.271814840507846,6.604992000794463,0.4262266548978938,5.412455827961598,1.5931377898535402
APAP#48hr,0.2660388740164967,0.6381766237664427,0.6693767481765318,0.28821698321997286,0.7397567144184406,0.6327598722769074,10.46432246086805,4.318871211384455,0.3732472737757045,7.894751691270912,1.661151438723207
APAP#48hr,0.23113993799834023,0.24836146752856272,0.830448897570591,0.1933251110540564,0.48749464338626697,0.6456989051367068,12.287850146650939,7.423077390274946,0.4355284973372608,5.903765959938922,1.7437112022009178
APAP#48hr,0.2294912986979029,0.254395903683932,0.8843377636410655,0.1866193428401458,0.41992151531079364,0.5816766076029406,13.647830173368952,7.96708937218265,0.28941079794381797,6.558698795490869,1.7413799673808057
