,gdT,NKT,NK,CD4T,CD8T,B,Monocyte,Neutrophil,Kupffer,Eosinophil,MonoMac
APAP#12hr,0.5188763897044179,1.0990672783063242,0.6926026440200619,0.6202673052347528,0.5780007623016641,0.28955680118625565,12.666451202090878,10.78255304853572,0.7325963203978414,0.7568751600611818,0.851120437126875
APAP#12hr,0.406906227169537,1.9604446624498861,0.6141329650680707,0.5528344045532282,0.8071322672504695,0.275328443503905,13.895431404064501,9.892086542708036,0.3740717134816068,0.936005617302429,0.8031976555676482
APAP#12hr,0.5956323235777389,2.2547368667998753,0.995021220389902,0.6004697548539245,1.228141927542372,0.4297434456796481,6.330875862716323,14.942170577100667,0.3148066879515025,0.8512005280613703,0.8151949091062972
APAP#12hr,0.7683947688540057,2.6200777043736614,1.2213520041839583,0.7744826017353226,1.77844763454891,0.7047966447700301,6.373595505171058,6.887049749699337,0.2974417699958774,0.6697418618535684,0.8143264408275014
APAP#24hr,0.21978377611141037,0.9060705430948859,0.6733634488374582,0.3382073164339391,1.3182043521601399,0.48865989844227603,3.410594725936275,6.660456708056452,1.9527267338295424,0.5440110206037172,0.8923120966906726
APAP#24hr,0.28650577420657547,0.8978247134280708,0.6262500852677322,0.39126011121434673,1.3368206487737588,0.4916804817701587,3.2490320079076045,6.255845927828182,0.8110926475258045,0.3043977688158979,0.8102623076218036
APAP#24hr,0.17456749774114055,0.370768686354465,0.36406077125767045,0.25995781347779845,0.40104485252226885,0.3051719357315598,15.757893707076917,6.598803593334046,0.9277915451282792,1.31795053811659,0.9434609407892536
APAP#24hr,0.0984323475588563,0.29681806250361614,0.52535540321518,0.26168310142487167,0.48071041106342594,0.8016680415363767,14.16974237723738,1.993410447470726,0.434275825162515,8.152122665982777,1.5506073383745016
APAP#48hr,0.907843839540475,1.6424135727153184,1.4681626972746362,1.1421078040600101,0.9519708327387378,0.9715534848069344,18.030502702924267,3.734093318820599,0.7079940096293713,7.194295838059206,2.088730550861043
APAP#48hr,0.9368568465016305,1.452380869052233,1.4537478129936743,1.007097301207045,1.0299545881134735,0.9429412219997663,15.466830263802924,7.855853768350904,1.0071420254798917,5.22562154263005,2.0609249885904934
APAP#48hr,0.9164272202940263,1.2307364910844956,1.367779579340741,1.0329902377948497,0.9116921150191909,1.0792951427871489,12.77619153605795,4.804849006381911,0.6851733172367486,5.099804074095974,1.9030289754163467
APAP#48hr,1.264392048150035,1.3966713569797906,1.104174616398555,1.0453933191996387,1.0812080714183825,1.0348824467453657,14.09981214189679,3.6119312563724955,1.0140720905869602,5.4187610436006635,2.2345495800239275
