,Neutrophil
B,0.13416053921568627
CD8,0.04771752450980393
Cholangiocyte,-0.12964154411764706
Hepatocyte,-0.8745404411764706
Kupffer,0.3178768382352941
LSEC,0.19276960784313724
Monocyte,0.4178768382352941
NK,0.057337622549019585
Stellate,0.1146599264705882
