,Monocyte
B,0.10091911764705883
CD8,0.21674325980392162
Cholangiocyte,0.16374080882352943
Hepatocyte,0.08673406862745103
Kupffer,-0.4603094362745098
LSEC,-0.25621936274509804
Neutrophil,0.5772212009803921
NK,0.22835477941176474
Stellate,-0.15352328431372547
