,NK
B,0.11158088235294117
CD8,-0.14416360294117647
Cholangiocyte,0.08818933823529412
Hepatocyte,-0.2291360294117647
Kupffer,0.18884803921568627
LSEC,-0.3501378676470588
Monocyte,0.21706495098039214
Neutrophil,0.10677083333333337
Stellate,0.260922181372549
